,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.7583892617449663,0.7516778523489933,0.6979865771812082,0.7181208053691275,0.7583892617449663,0.7718120805369129,0.7651006711409396,0.6912751677852349,0.7718120805369129,0.785234899328859,0.7114093959731542,0.7248322147651006,0.7583892617449663,0.7919463087248322,0.7248322147651006,0.7785234899328859,0.7181208053691275,0.6979865771812082,0.7248322147651006,0.6845637583892616,0.7248322147651006,0.6845637583892616,0.7718120805369129,0.7516778523489933,0.731543624161074,0.7651006711409396,0.785234899328859,0.8053691275167786,0.7248322147651006,0.7651006711409396,0.7718120805369129,0.6711409395973154,0.7449664429530202,0.7919463087248322,0.7181208053691275,0.7651006711409396,0.7516778523489933,0.7181208053691275,0.731543624161074,0.7449664429530202,0.7516778523489933,0.7651006711409396,0.7114093959731542,0.7718120805369129,0.6979865771812082,0.7046979865771811,0.7449664429530202,0.731543624161074,0.7651006711409396,0.7449664429530202,0.731543624161074,0.7583892617449663,0.7718120805369129,0.7516778523489933,0.7718120805369129,0.731543624161074,0.785234899328859,0.785234899328859,0.7651006711409396,0.7651006711409396,0.731543624161074,0.6912751677852349,0.7181208053691275,0.731543624161074,0.6979865771812082,0.7449664429530202,0.738255033557047,0.7181208053691275,0.7449664429530202,0.7248322147651006,0.7651006711409396,0.6845637583892616,0.738255033557047,0.6577181208053691,0.731543624161074,0.7181208053691275,0.7248322147651006,0.6979865771812082,0.7248322147651006,0.7919463087248322,0.7583892617449663,0.7651006711409396,0.7651006711409396,0.785234899328859,0.7516778523489933,0.7583892617449663,0.7248322147651006,0.7986577181208052,0.731543624161074,0.785234899328859,0.7248322147651006,0.8120805369127515,0.6510067114093959,0.738255033557047,0.731543624161074,0.7785234899328859,0.7046979865771811,0.7785234899328859,0.7516778523489933,0.7583892617449663,0.785234899328859,0.7449664429530202,0.7046979865771811,0.7449664429530202,0.731543624161074,0.7583892617449663,0.7046979865771811,0.7516778523489933,0.7449664429530202,0.7516778523489933,0.7516778523489933,0.7583892617449663,0.7583892617449663,0.731543624161074,0.7919463087248322,0.7181208053691275,0.7449664429530202,0.7583892617449663,0.7583892617449663,0.785234899328859,0.7651006711409396,0.7181208053691275,0.7449664429530202,0.7114093959731542,0.738255033557047,0.7583892617449663,0.738255033557047,0.7114093959731542,0.7718120805369129,0.7449664429530202,0.832214765100671,0.7248322147651006,0.7583892617449663,0.7718120805369129,0.7248322147651006,0.7181208053691275,0.7449664429530202,0.7449664429530202,0.7449664429530202,0.738255033557047,0.7651006711409396,0.7583892617449663,0.7516778523489933,0.7583892617449663,0.738255033557047,0.7785234899328859,0.738255033557047,0.6912751677852349,0.8053691275167786,0.738255033557047
arc,0.8510638297872339,0.8476456984273821,0.7659574468085109,0.8297872340425534,0.8043478260869565,0.7659574468085109,0.7607076780758557,0.7021276595744681,0.7659574468085109,0.8695652173913042,0.7872340425531914,0.8297872340425534,0.8297872340425534,0.7659574468085109,0.8695652173913042,0.7872340425531914,0.7824421831637374,0.7659574468085109,0.7872340425531914,0.8664782608695653,0.8723404255319149,0.7872340425531914,0.7872340425531914,0.7659574468085109,0.8478260869565217,0.7446808510638296,0.7021276595744681,0.7659574468085109,0.7824421831637374,0.7776086956521739,0.8936170212765957,0.8297872340425534,0.7659574468085109,0.8297872340425534,0.6815810276679841,0.8259111933395004,0.7607076780758557,0.7659574468085109,0.7872340425531914,0.826086956521739,0.7872340425531914,0.8661985815602837,0.7872340425531914,0.8476456984273821,0.8043478260869565,0.7446808510638296,0.7607076780758557,0.9128492136910269,0.8085106382978722,0.7826086956521741,0.8693802035152635,0.7996170212765958,0.8297872340425534,0.7872340425531914,0.8478260869565217,0.8297872340425534,0.7607076780758557,0.7234042553191489,0.7172386679000924,0.7776086956521739,0.7234042553191489,0.8259111933395004,0.7659574468085109,0.8440047281323877,0.755391304347826,0.7172386679000924,0.7824421831637374,0.8041766882516189,0.7872340425531914,0.8478260869565217,0.6737696577243294,0.7659574468085109,0.7172386679000924,0.8259111933395004,0.7826086956521741,0.8297872340425534,0.7659574468085109,0.8259111933395004,0.7774231678486998,0.826086956521739,0.8936170212765957,0.8085106382978722,0.8041766882516189,0.7872340425531914,0.8442608695652174,0.7996170212765958,0.7872340425531914,0.7774231678486998,0.8297872340425534,0.8478260869565217,0.8723404255319149,0.6886477541371159,0.8476456984273821,0.6595744680851063,0.7173913043478259,0.7021276595744681,0.8693802035152635,0.8911147086031452,0.7234042553191489,0.8043478260869565,0.7659574468085109,0.6595744680851063,0.7659574468085109,0.8510638297872339,0.9109130434782609,0.8510638297872339,0.8085106382978722,0.7446808510638296,0.8085106382978722,0.7173913043478259,0.8476456984273821,0.7659574468085109,0.8085106382978722,0.7872340425531914,0.7608695652173914,0.6808510638297873,0.8510638297872339,0.7446808510638296,0.8085106382978722,0.8043478260869565,0.8259111933395004,0.8510638297872339,0.8259111933395004,0.7330354609929077,0.826086956521739,0.8297872340425534,0.7234042553191489,0.7872340425531914,0.8085106382978722,0.7723715415019764,0.8259111933395004,0.7234042553191489,0.7659574468085109,0.8476456984273821,0.7608695652173914,0.8259111933395004,0.8936170212765957,0.7824421831637374,0.7872340425531914,0.7998260869565218,0.8218108747044918,0.7872340425531914,0.8297872340425534,0.8041766882516189,0.8043478260869565,0.7872340425531914,0.7234042553191489,0.8085106382978722,0.8218108747044918,0.888695652173913
camel-1.6,0.687464378238342,0.7141894892672096,0.7409326424870466,0.7187127590673575,0.7119680980929388,0.7551692033678757,0.7135046955958548,0.6719220330619295,0.7030885686528496,0.6926724417098447,0.6354355569948187,0.7461139896373057,0.7150259067357512,0.6894183256067632,0.7239726360103629,0.689119170984456,0.7603772668393783,0.6334940183924259,0.7046632124352332,0.7407426597582037,0.7119680980929388,0.7142413027387122,0.6994818652849741,0.6613940291142364,0.759187260939153,0.7409326424870466,0.7301110288675055,0.661424060880829,0.7447530764248703,0.6649043756612322,0.7202072538860105,0.7578805563130625,0.6632124352331608,0.6789454595036815,0.7291288860103627,0.7262547041178076,0.7564766839378239,0.7329601497436453,0.7305699481865284,0.6632124352331608,0.6994818652849741,0.7564766839378239,0.7030885686528496,0.7187127590673575,0.7409326424870466,0.7315688573766022,0.7135565090673575,0.7173067845807448,0.6927242551813473,0.7224382171825408,0.749961139896373,0.6823081282383421,0.7150259067357512,0.7707933937823833,0.7239208225388603,0.7500129533678757,0.687464378238342,0.6562678108808291,0.7409326424870466,0.7395968264248705,0.744804889896373,0.7015497924748392,0.7135046955958548,0.7539003879228496,0.7177558519825085,0.7720207253886009,0.7305699481865284,0.7305699481865284,0.6911314868567399,0.7031403821243523,0.7082966321243522,0.7150259067357512,0.6457998704663213,0.7323929517376637,0.7172549711092423,0.7187127590673575,0.7277250901988446,0.722541844125546,0.7202072538860105,0.7083484455958549,0.7082966321243522,0.694300518134715,0.7812095207253886,0.6994818652849741,0.7461139896373057,0.7239208225388603,0.6994818652849741,0.7135046955958548,0.7395968264248705,0.7329601497436453,0.7253886010362693,0.6842077992909736,0.6491473835553265,0.687464378238342,0.6787564766839378,0.6666321243523317,0.7015497924748392,0.6979323186528497,0.697880505181347,0.7150259067357512,0.7090032075006167,0.6718401878238343,0.7276732767273419,0.7224382171825408,0.6580310880829014,0.7343369494818652,0.7082966321243522,0.7409326424870466,0.7447530764248703,0.7082966321243522,0.7459807549962989,0.7381433958169439,0.6105350422688846,0.7591354474676505,0.7239208225388603,0.7014979790033367,0.7150259067357512,0.7357512953367875,0.7551692033678757,0.6528497409326425,0.7016016059463417,0.6787564766839378,0.7390698838790284,0.7305699481865284,0.7224900306540434,0.694300518134715,0.684155985819471,0.6994818652849741,0.7500129533678757,0.697880505181347,0.7305699481865284,0.7305699481865284,0.694300518134715,0.7105713116989363,0.6894183256067632,0.6718401878238343,0.7202072538860105,0.7315688573766022,0.7224382171825408,0.6666839378238341,0.7461139896373057,0.687464378238342,0.76179866765359,0.7172549711092423,0.7224382171825408,0.689119170984456,0.706836665491143,0.6858446138404362,0.6857928003689335,0.749961139896373
ivy-2.0,0.8169014084507042,0.7605633802816902,0.7857142857142856,0.8714285714285716,0.8142857142857143,0.7323943661971832,0.7746478873239435,0.7571428571428569,0.8285714285714285,0.7,0.8450704225352113,0.8169014084507042,0.8142857142857143,0.7714285714285716,0.8142857142857143,0.9014084507042254,0.788732394366197,0.857142857142857,0.8285714285714285,0.7285714285714284,0.8450704225352113,0.8309859154929579,0.9,0.842857142857143,0.7857142857142856,0.8028169014084507,0.788732394366197,0.7857142857142856,0.857142857142857,0.842857142857143,0.788732394366197,0.7605633802816902,0.8285714285714285,0.857142857142857,0.7857142857142856,0.7746478873239435,0.8591549295774648,0.842857142857143,0.7714285714285716,0.857142857142857,0.8169014084507042,0.8732394366197183,0.7714285714285716,0.8,0.6857142857142857,0.8309859154929579,0.8028169014084507,0.7714285714285716,0.8142857142857143,0.8142857142857143,0.8309859154929579,0.8450704225352113,0.857142857142857,0.8,0.7857142857142856,0.8450704225352113,0.7605633802816902,0.8142857142857143,0.8,0.8,0.788732394366197,0.8591549295774648,0.8285714285714285,0.7714285714285716,0.842857142857143,0.7605633802816902,0.8028169014084507,0.857142857142857,0.8714285714285716,0.7714285714285716,0.8028169014084507,0.7464788732394367,0.842857142857143,0.7857142857142856,0.7857142857142856,0.8450704225352113,0.8169014084507042,0.842857142857143,0.8285714285714285,0.8285714285714285,0.8169014084507042,0.7746478873239435,0.7857142857142856,0.8285714285714285,0.8714285714285716,0.8169014084507042,0.7605633802816902,0.7857142857142856,0.8285714285714285,0.8,0.7323943661971832,0.8732394366197183,0.842857142857143,0.857142857142857,0.7285714285714284,0.8450704225352113,0.7183098591549296,0.7857142857142856,0.8285714285714285,0.8,0.8450704225352113,0.8169014084507042,0.8285714285714285,0.7714285714285716,0.842857142857143,0.8309859154929579,0.8169014084507042,0.8,0.857142857142857,0.8142857142857143,0.8309859154929579,0.788732394366197,0.7714285714285716,0.842857142857143,0.7857142857142856,0.8873239436619718,0.8873239436619718,0.8285714285714285,0.8,0.7714285714285716,0.8732394366197183,0.788732394366197,0.9,0.8,0.7571428571428569,0.8309859154929579,0.7605633802816902,0.857142857142857,0.8285714285714285,0.8285714285714285,0.9014084507042254,0.8169014084507042,0.842857142857143,0.7571428571428569,0.7714285714285716,0.8873239436619718,0.7746478873239435,0.7857142857142856,0.8,0.7857142857142856,0.7464788732394367,0.8028169014084507,0.8714285714285716,0.6714285714285715,0.8142857142857143,0.8450704225352113,0.7183098591549296,0.8,0.7571428571428569,0.8
jedit-4.3,0.9675502392344497,0.9489847454133169,0.9483568272669893,0.9649401064773734,0.9484588680833158,0.9586702072269082,0.9369507575757576,0.9061670918367348,0.9483568272669893,0.9765086679833224,0.9678532695374801,0.9488837353123067,0.9668996960486322,0.968973280033663,0.9462613981762917,0.9574621212121214,0.9473579545454545,0.9464983888292158,0.9582397959183675,0.9891772287862515,0.9885773524720896,0.9284776334776335,0.9783544575725026,0.9373086734693877,0.9681439312567133,0.9586702072269082,0.9689774028949287,0.9277403745003157,0.9362878625134264,0.9672058184976119,0.9276476101218369,0.9251929824561403,0.9681439312567133,0.9789668367346938,0.9375127551020408,0.9590867862296433,0.9783668261562998,0.9672058184976119,0.9581377551020409,0.9790688775510203,0.997979797979798,0.9783668261562998,0.9373086734693877,0.9586650536503261,0.9165816326530609,0.9590867862296433,0.9785795454545454,0.9140794615718627,0.9582397959183675,0.9573211600429646,0.9653144346692735,0.9586702072269082,0.9278424153166422,0.9477232142857142,0.9582397959183675,0.9488837353123067,0.9369507575757576,0.956580547112462,0.9573211600429646,0.9484588680833158,0.9379548057898573,0.9577651515151516,0.9778310898827617,0.9478252551020407,0.938150641699979,0.9689774028949287,0.9369507575757576,0.9456491532783324,0.9174321481169787,0.9687563775510204,0.9360095693779905,0.9054261363636364,0.9662936142198817,0.9587670944666526,0.9483568272669893,0.9161363636363633,0.9585691971258982,0.9686543367346938,0.9678378088077336,0.9629120879120878,0.9661454975284763,0.979284598562949,0.9257712137486573,0.9783544575725026,0.968973280033663,0.9276476101218369,0.925799043062201,0.9686543367346938,0.9468045112781953,0.9380486008836524,0.9675502392344497,0.9482620014578778,0.9894834183673469,0.9582397959183675,0.9573211600429646,0.9277486202228471,0.9577651515151516,0.9884563612679116,0.9685522959183673,0.9374107142857142,0.96928983714698,0.9591877963306533,0.9484588680833158,0.965783410138249,0.9778310898827617,0.9681723484848485,0.9573397129186604,0.9790688775510203,0.9285714285714286,0.9330974325213954,0.9785795454545454,0.9262405303030303,0.9362878625134264,0.9277403745003157,0.9675119409465915,0.9343111970771546,0.9386806843949701,0.9686543367346938,0.9687563775510204,0.9330974325213954,0.9577651515151516,0.9182745825602967,0.9587670944666526,0.977018872064955,0.9562744246634823,0.95703668261563,0.9595959595959596,0.9582397959183675,0.9678378088077336,0.9047379162191191,0.958068181818182,0.9586702072269082,0.9359817400644469,0.9268941326530613,0.9152545649838882,0.9386806843949701,0.9468261562998403,0.9254650912996778,0.9783544575725026,0.9362878625134264,0.9895917942309694,0.9585691971258982,0.9685522959183673,0.9478252551020407,0.9437777284826974,0.9690784129959389,0.9468261562998403,0.9685522959183673,0.9164795918367344,0.9581377551020409
log4j-1.2,0.8292682926829269,0.9024390243902439,0.9268292682926829,0.853658536585366,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9268292682926829,0.853658536585366,0.7804878048780488,0.853658536585366,0.9268292682926829,0.8780487804878049,0.9024390243902439,0.8292682926829269,0.9268292682926829,0.8048780487804879,0.7560975609756098,0.853658536585366,0.8780487804878049,0.8292682926829269,0.853658536585366,0.8780487804878049,0.8780487804878049,0.8048780487804879,0.9024390243902439,0.853658536585366,0.9024390243902439,0.8780487804878049,0.9268292682926829,0.9268292682926829,0.7317073170731707,0.8780487804878049,0.9268292682926829,0.853658536585366,0.8292682926829269,0.853658536585366,0.9024390243902439,0.975609756097561,0.9512195121951219,0.9512195121951219,0.8780487804878049,0.8048780487804879,0.8048780487804879,0.853658536585366,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.8292682926829269,0.853658536585366,0.8780487804878049,0.853658536585366,0.9024390243902439,0.9268292682926829,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8780487804878049,0.9024390243902439,0.853658536585366,0.975609756097561,0.853658536585366,0.8780487804878049,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.8780487804878049,0.8048780487804879,0.8780487804878049,0.853658536585366,0.9268292682926829,0.8780487804878049,0.853658536585366,0.9024390243902439,0.8780487804878049,0.9024390243902439,0.853658536585366,0.975609756097561,0.8292682926829269,0.8048780487804879,0.7804878048780488,0.8292682926829269,0.8780487804878049,0.853658536585366,0.8292682926829269,0.8292682926829269,0.9268292682926829,0.8780487804878049,0.975609756097561,0.7804878048780488,0.9024390243902439,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.9024390243902439,0.9268292682926829,0.8048780487804879,0.8780487804878049,0.9268292682926829,0.9024390243902439,0.9268292682926829,0.9268292682926829,0.8048780487804879,0.7804878048780488,0.8292682926829269,0.8292682926829269,0.8780487804878049,0.853658536585366,0.853658536585366,0.8780487804878049,0.853658536585366,0.9024390243902439,0.7073170731707317,0.8780487804878049,0.8292682926829269,0.9024390243902439,0.8780487804878049,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.853658536585366,0.8048780487804879,0.853658536585366,0.8292682926829269,0.9024390243902439,0.7804878048780488,0.9512195121951219,0.8292682926829269,0.8048780487804879,0.853658536585366,0.8292682926829269,0.7560975609756098,0.9268292682926829,0.8780487804878049,0.853658536585366,0.8780487804878049,0.8292682926829269,0.9024390243902439,0.8780487804878049,0.853658536585366,0.8780487804878049,0.9512195121951219,0.8292682926829269,0.853658536585366,0.7804878048780488,0.8780487804878049,0.7804878048780488,0.7804878048780488,0.8780487804878049,0.8780487804878049
lucene-2.4,0.5441176470588235,0.7352941176470591,0.6911764705882353,0.6176470588235294,0.661764705882353,0.75,0.588235294117647,0.661764705882353,0.6911764705882353,0.588235294117647,0.6176470588235294,0.661764705882353,0.6029411764705883,0.6470588235294119,0.6911764705882353,0.6470588235294119,0.6323529411764706,0.661764705882353,0.661764705882353,0.588235294117647,0.6176470588235294,0.6029411764705883,0.5735294117647058,0.588235294117647,0.6176470588235294,0.6470588235294119,0.6029411764705883,0.7352941176470591,0.6176470588235294,0.6470588235294119,0.7058823529411765,0.5588235294117647,0.5441176470588235,0.6029411764705883,0.6176470588235294,0.5735294117647058,0.6323529411764706,0.6323529411764706,0.5735294117647058,0.6029411764705883,0.7058823529411765,0.6323529411764706,0.5735294117647058,0.6029411764705883,0.5294117647058825,0.661764705882353,0.6176470588235294,0.5,0.6176470588235294,0.6176470588235294,0.7205882352941175,0.6323529411764706,0.5735294117647058,0.661764705882353,0.7058823529411765,0.661764705882353,0.6470588235294119,0.588235294117647,0.6029411764705883,0.661764705882353,0.7058823529411765,0.7205882352941175,0.6029411764705883,0.5735294117647058,0.6323529411764706,0.588235294117647,0.5735294117647058,0.5588235294117647,0.6764705882352942,0.6764705882352942,0.514705882352941,0.6029411764705883,0.6029411764705883,0.7205882352941175,0.6470588235294119,0.7205882352941175,0.6470588235294119,0.6323529411764706,0.6176470588235294,0.6764705882352942,0.5294117647058825,0.6764705882352942,0.661764705882353,0.5588235294117647,0.661764705882353,0.5735294117647058,0.6176470588235294,0.7058823529411765,0.6176470588235294,0.588235294117647,0.4852941176470589,0.5735294117647058,0.661764705882353,0.7352941176470591,0.6029411764705883,0.6470588235294119,0.5294117647058825,0.588235294117647,0.7058823529411765,0.7058823529411765,0.6323529411764706,0.6911764705882353,0.5441176470588235,0.7352941176470591,0.661764705882353,0.6323529411764706,0.6764705882352942,0.5735294117647058,0.6176470588235294,0.6176470588235294,0.6764705882352942,0.661764705882353,0.6029411764705883,0.6323529411764706,0.6764705882352942,0.6764705882352942,0.6029411764705883,0.5735294117647058,0.6029411764705883,0.5735294117647058,0.6764705882352942,0.6764705882352942,0.6029411764705883,0.6029411764705883,0.7352941176470591,0.661764705882353,0.6029411764705883,0.5588235294117647,0.6911764705882353,0.588235294117647,0.7058823529411765,0.6470588235294119,0.588235294117647,0.5735294117647058,0.6323529411764706,0.6764705882352942,0.6764705882352942,0.661764705882353,0.6323529411764706,0.6323529411764706,0.661764705882353,0.5735294117647058,0.6764705882352942,0.661764705882353,0.6911764705882353,0.6764705882352942,0.6176470588235294,0.7058823529411765,0.6911764705882353,0.588235294117647
poi-3.0,0.7786190227332113,0.7700542425416506,0.7586481191222569,0.8159992163009405,0.8619710031347962,0.7840028089887643,0.752808988764045,0.7760173796791443,0.7788927061310781,0.7355485893416928,0.784115168539326,0.7977528089887641,0.7727272727272729,0.8409090909090908,0.7241692789968652,0.7700542425416506,0.8202447833065811,0.7815203761755487,0.747155172413793,0.8295454545454546,0.7500280898876405,0.7303370786516856,0.625,0.7586481191222569,0.8255073995771671,0.7670028743140843,0.7499157303370787,0.8329131430584921,0.7356622257053291,0.7998874207188161,0.7840028089887643,0.7584502130956992,0.7840909090909092,0.7877832670065912,0.8255073995771671,0.8118652887099682,0.7408512888301387,0.7010697492163009,0.8022568710359408,0.7701410658307211,0.7953651685393257,0.724087562960093,0.7760173796791443,0.8159992163009405,0.7701410658307211,0.7752808988764044,0.8044168926772568,0.846533422459893,0.7931269592476489,0.8112991854246985,0.799546986721144,0.7415730337078652,0.8068181818181817,0.7790063424947145,0.7730978808013693,0.6629213483146066,0.8018513195714658,0.7524519484909951,0.7815203761755487,0.8022568710359408,0.8371892391927893,0.7124835335141417,0.7355485893416928,0.7815203761755487,0.7556421775898519,0.752808988764045,0.7840028089887643,0.7931269592476489,0.7954545454545454,0.7790063424947145,0.8160209221232081,0.7470709027508716,0.7647271794552915,0.7930133228840126,0.7208800211416491,0.793149941882991,0.7499157303370787,0.7672674418604652,0.848644291754757,0.6704545454545454,0.7158286516853932,0.7273033707865169,0.7585344827586206,0.7701410658307211,0.7255226265982079,0.782178150805469,0.752808988764045,0.7930133228840126,0.7557558139534882,0.8487579281183932,0.6972788625284952,0.8749016853932585,0.6976294926004227,0.7470415360501567,0.8353123578585041,0.758562572646261,0.8275125920185974,0.8068181818181817,0.8295454545454546,0.7613636363636365,0.7930375823324294,0.752808988764045,0.8109344919786097,0.7790063424947145,0.7700274294670846,0.7526001321877065,0.7522630535360211,0.7272727272727272,0.8636363636363638,0.7840909090909092,0.831554307116105,0.7840028089887643,0.7972132034632035,0.7727272727272729,0.7727272727272729,0.7205382806375753,0.8067275280898876,0.7613636363636365,0.7290066844919786,0.8161128526645769,0.8015142409197804,0.7977528089887641,0.7727272727272729,0.7931269592476489,0.7055013368983958,0.7469585432003099,0.7415730337078652,0.8181818181818182,0.7356622257053291,0.7673810782241017,0.8408146067415729,0.8021883982231512,0.7051604278074868,0.7272727272727272,0.7557558139534882,0.8426966292134832,0.7815459124370401,0.7790063424947145,0.8138821353065538,0.7585344827586206,0.7385533707865168,0.8160209221232081,0.732505285412262,0.7701410658307211,0.8468743315508022,0.7124835335141417,0.7471832623014334,0.8522727272727273,0.7700274294670846,0.7815203761755487
synapse-1.2,0.6538461538461539,0.6862745098039216,0.6470588235294119,0.6666666666666665,0.6862745098039216,0.75,0.7058823529411765,0.7647058823529409,0.6862745098039216,0.6274509803921569,0.7115384615384616,0.6274509803921569,0.7843137254901962,0.607843137254902,0.6862745098039216,0.6923076923076923,0.8039215686274511,0.7058823529411765,0.7254901960784315,0.6666666666666665,0.5961538461538461,0.6862745098039216,0.6666666666666665,0.7254901960784315,0.6666666666666665,0.6923076923076923,0.7254901960784315,0.6470588235294119,0.6470588235294119,0.6666666666666665,0.6346153846153846,0.6862745098039216,0.6470588235294119,0.7058823529411765,0.5490196078431373,0.6153846153846154,0.6666666666666665,0.7450980392156863,0.8235294117647058,0.6274509803921569,0.7307692307692306,0.8235294117647058,0.7254901960784315,0.6470588235294119,0.6274509803921569,0.5576923076923077,0.6666666666666665,0.7058823529411765,0.8235294117647058,0.6666666666666665,0.5384615384615383,0.607843137254902,0.7254901960784315,0.6862745098039216,0.6666666666666665,0.6346153846153846,0.607843137254902,0.7254901960784315,0.7450980392156863,0.7254901960784315,0.5961538461538461,0.6470588235294119,0.6666666666666665,0.7647058823529409,0.6274509803921569,0.6538461538461539,0.7058823529411765,0.7058823529411765,0.588235294117647,0.6274509803921569,0.6346153846153846,0.607843137254902,0.7450980392156863,0.7254901960784315,0.7254901960784315,0.6923076923076923,0.6862745098039216,0.7254901960784315,0.8431372549019607,0.6470588235294119,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.7058823529411765,0.7254901960784315,0.8076923076923078,0.7058823529411765,0.6470588235294119,0.7843137254901962,0.7254901960784315,0.6346153846153846,0.7450980392156863,0.6862745098039216,0.7254901960784315,0.7843137254901962,0.75,0.7058823529411765,0.6862745098039216,0.6666666666666665,0.6666666666666665,0.6923076923076923,0.6862745098039216,0.6862745098039216,0.7058823529411765,0.6862745098039216,0.6346153846153846,0.7058823529411765,0.7058823529411765,0.6470588235294119,0.7254901960784315,0.6923076923076923,0.7058823529411765,0.8039215686274511,0.6666666666666665,0.607843137254902,0.6346153846153846,0.7058823529411765,0.6666666666666665,0.6470588235294119,0.6862745098039216,0.75,0.7254901960784315,0.6666666666666665,0.7450980392156863,0.7450980392156863,0.75,0.6470588235294119,0.6862745098039216,0.6274509803921569,0.7058823529411765,0.6346153846153846,0.7450980392156863,0.7254901960784315,0.6470588235294119,0.6862745098039216,0.6153846153846154,0.7058823529411765,0.7450980392156863,0.588235294117647,0.7254901960784315,0.7115384615384616,0.7647058823529409,0.6666666666666665,0.6666666666666665,0.5490196078431373,0.6153846153846154,0.7647058823529409,0.6862745098039216,0.6470588235294119,0.7254901960784315
tomcat,0.8720930232558141,0.8023255813953487,0.8197674418604651,0.8421052631578947,0.8654970760233918,0.8837209302325579,0.8779069767441859,0.8604651162790696,0.8479532163742691,0.8362573099415205,0.8604651162790696,0.8430232558139534,0.8779069767441859,0.8479532163742691,0.8245614035087718,0.8372093023255814,0.8255813953488373,0.7965116279069767,0.8654970760233918,0.8187134502923976,0.8546511627906976,0.8720930232558141,0.8255813953488373,0.8245614035087718,0.8245614035087718,0.8953488372093024,0.8546511627906976,0.8430232558139534,0.8538011695906433,0.830409356725146,0.8139534883720929,0.8313953488372092,0.8430232558139534,0.8421052631578947,0.8362573099415205,0.8546511627906976,0.8779069767441859,0.8662790697674421,0.8070175438596492,0.8654970760233918,0.8313953488372092,0.8837209302325579,0.8720930232558141,0.871345029239766,0.8654970760233918,0.8953488372093024,0.8488372093023256,0.8255813953488373,0.8070175438596492,0.8128654970760236,0.8720930232558141,0.8604651162790696,0.8313953488372092,0.8421052631578947,0.8654970760233918,0.8313953488372092,0.8488372093023256,0.8604651162790696,0.8245614035087718,0.8771929824561403,0.8255813953488373,0.8662790697674421,0.8720930232558141,0.8011695906432748,0.8245614035087718,0.8372093023255814,0.8255813953488373,0.8662790697674421,0.8421052631578947,0.8538011695906433,0.8197674418604651,0.8488372093023256,0.8313953488372092,0.8421052631578947,0.8421052631578947,0.8546511627906976,0.8313953488372092,0.8779069767441859,0.8479532163742691,0.8245614035087718,0.8313953488372092,0.8081395348837208,0.8604651162790696,0.8538011695906433,0.8596491228070176,0.8662790697674421,0.8313953488372092,0.8313953488372092,0.8479532163742691,0.8538011695906433,0.8372093023255814,0.8313953488372092,0.8372093023255814,0.8011695906432748,0.8421052631578947,0.8604651162790696,0.8197674418604651,0.7906976744186047,0.8596491228070176,0.8596491228070176,0.8720930232558141,0.8313953488372092,0.8081395348837208,0.8187134502923976,0.8538011695906433,0.8662790697674421,0.8081395348837208,0.8720930232558141,0.8421052631578947,0.8362573099415205,0.8488372093023256,0.8430232558139534,0.8139534883720929,0.8888888888888888,0.830409356725146,0.8604651162790696,0.8139534883720929,0.8488372093023256,0.8596491228070176,0.8538011695906433,0.8604651162790696,0.8139534883720929,0.8023255813953487,0.8654970760233918,0.871345029239766,0.8488372093023256,0.8662790697674421,0.8255813953488373,0.8654970760233918,0.8362573099415205,0.8837209302325579,0.8430232558139534,0.7965116279069767,0.8654970760233918,0.8596491228070176,0.8430232558139534,0.8604651162790696,0.8720930232558141,0.8187134502923976,0.8421052631578947,0.8255813953488373,0.8023255813953487,0.8662790697674421,0.8362573099415205,0.8421052631578947,0.8488372093023256,0.8720930232558141,0.8662790697674421,0.8245614035087718,0.8421052631578947
