,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.22021651329884298,0.3553867227726289,0.20220476292628536,0.6887431545354155,0.746156659272408,0.2613868495944239,0.2294004973460769,0.7705321363435289,0.2033464241569877,0.7198373177600557,0.7561236915549867,0.24111493839382667,0.22915206049147954,0.7314026393627163,0.26000671140939596,0.30287821099935247,0.21758463832960478,0.24712373762638373,0.7637219057775357,0.22694344893165808,0.2793816980931075,0.7733171705865041,0.20656196526689508,0.30263351270733824,0.22567715414359713,0.26669998579428156,0.6531172066827027,0.7592522872546337,0.26196924862015075,0.3429792273196245,0.6505943076993159,0.2529664904597791,0.730866492480943,0.24933340965699546,0.2238194559365838,0.22327977339690128,0.23030823800125996,0.33113951871334424,0.25545726391242407,0.7461013135546755,0.2899303748344975,0.2458872983090334,0.7595934691011275,0.37824139767763937,0.2085945858549993,0.23924150420794713,0.7315312447745509,0.25857410690875804,0.7849121412991347,0.3339575339303895,0.21576894159950152,0.2597835217768104,0.3105135234698882,0.22191361913893076,0.7456252881644005,0.715514610617341,0.3496116925580013,0.28032265544379686,0.2058153588976886,0.3097384140993592,0.25815507237493995,0.3024722574923917,0.7258885725045296,0.6843561412351538,0.7198907542190459,0.22570858970842597,0.2708407129851589,0.27712060252374676,0.26393862990507294,0.7111991786111864,0.22272761982403402,0.7683056986388388,0.7654327440271215,0.20430817426627312,0.2880043038244381,0.20215306613801065,0.7616804606432724,0.2507608378605171,0.23017436449819,0.6922651627048176,0.2297318025053614,0.7586723505555271,0.3131124201862457,0.26737283583077465,0.2677645511619478,0.21316866456433453,0.26753809042234156,0.7218320495134758,0.28095898583146905,0.2039049306825855,0.2856410385183156,0.7144365807653557,0.3152221993942991,0.32196317505069916,0.284279139843857,0.3007368978666211,0.19516179290508145,0.7465673234467496,0.2054500554148435,0.6191584559087546,0.24683242198843927,0.3685698237545668,0.2647576435495899,0.1999325856310516,0.716384047213776,0.29031866512451365,0.25449909449238306,0.19936954123379605,0.28258914369913024,0.7920842107002848,0.3291600392338648,0.2528061300582873,0.3944595030546535,0.711324505788655,0.6240376000779024,0.25850699281479833,0.3002469220350333,0.3443592605284248,0.7226052686634207,0.21900643644603376,0.279362694092399,0.21278240272542467,0.762837280468681,0.7077887638544644,0.23956155372265053,0.24974806165915844,0.7341709785516417,0.23283474522474246,0.26380683700143304,0.7213422818791946,0.22360141940690345,0.4930621449996444,0.7337821701290641,0.37341357656793894,0.2242450518131312,0.27495941195270057,0.656275167785235,0.26966667653880155,0.2473772945971622,0.7721482525460764,0.7754863860914543,0.30070750352790443,0.1987189684023722,0.3113617360645953,0.35083615638649196,0.31042017075286493,0.19698269021314224,0.25977217773862077,0.2804528933124331,0.6195014997493867
arc,0.8783899537558826,0.8560092728180732,0.801879635556955,0.8591460994093517,0.8862763343574473,0.8825211603565858,0.9116036971939382,0.8293501447108214,0.8429996467632641,0.8713156844168132,0.8664029323793263,0.9146566147247217,0.8848806611036695,0.8557871250503772,0.9036837873252719,0.878251347821602,0.8516164656094766,0.825752330677266,0.8547240339794475,0.8642241498221561,0.9063199451665529,0.8600759373995777,0.8511961604594127,0.8754012183408425,0.8849196592247592,0.9037418574700062,0.8683894402916726,0.8983739264286973,0.8327327423975509,0.8756619008052212,0.8234205670652701,0.8292513478216019,0.871838284417326,0.8739195886939507,0.8677988617943116,0.8703222498925041,0.8690594437282398,0.9057641344484393,0.8629246310432317,0.8766305121628519,0.892621749507793,0.8341573345685497,0.8610137616553548,0.8523902091818223,0.8972398314404026,0.8935889170908312,0.5714284377559693,0.8220437713279595,0.865087179605751,0.8764103424545728,0.756335081245922,0.8687794660394859,0.8360061214116539,0.9055072385538147,0.8654530355651082,0.8857415088042871,0.8802391068138645,0.8135632769864689,0.8833490208033508,0.825003963488724,0.8719720125406198,0.8871133588614538,0.8556869340494277,0.8203688665096932,0.9317304266419341,,0.9189675533707329,0.865087179605751,0.8574084819330297,0.8520303134372174,0.8873938256701133,0.8654102807011638,0.8387899261345845,0.7778961299180888,0.9053478426849794,0.8587407971268406,0.8934800233055966,0.858820214995549,0.7929254194423944,0.8780178810501104,0.9059210778442823,0.8828022911883346,0.840549109105428,0.8585600516226974,0.8649709485151791,0.8637962081050083,0.842455510634025,0.8362780056208473,0.8563736115462586,0.8594883579428219,0.9094491859919802,0.9163069587020778,0.7973899542825075,0.8709475056518357,0.8594419764907338,0.8746024863181183,0.9029066336070743,0.8948878725413687,0.8757997809328573,0.851364065330675,0.8196122471976895,0.8980526183614186,0.8914616891459939,0.8800588693539406,0.8763570184734925,0.899767513274086,0.8906302162021744,0.8842823508399211,0.893751147217087,0.851708937579255,0.8257688801549237,0.8750092491086429,,0.8477137873297838,0.8689559542290176,0.8798520896964119,0.8663520595696365,0.9182113187015402,0.8684563724774027,0.8468612828185568,0.8465678943099562,0.9047346555719187,0.7078518571204555,0.8364564174833246,0.8936049327269664,0.9236095543858418,0.8996344836274943,0.866391058830683,0.8518507957561166,0.8943122557896723,0.8634550828411265,0.8788237309337446,0.852301169074988,0.8720307296842258,0.8530895991622177,0.8295976543204232,0.8772319919326808,0.8494552723948967,0.8725444689310482,0.8712487262929567,0.8148344764047305,0.8853214101469835,0.8467765619320824,0.8675845452994606,0.9078320389540725,0.8995634534587941,0.8756572490751636,0.832457570915187,0.845820418876322,0.903240941645584
camel-1.6,0.7789513270909101,0.6770231788416776,0.7418079243683247,0.7118568091005141,0.6890594580186274,0.7462263588705734,0.6997809830577518,0.7110368467345598,0.7376023059264731,0.6884407273576905,0.7072524074509595,0.7241638197971672,0.7371749455953812,0.7013691683291239,0.6901400694652317,0.7851594642771895,0.7459590935512604,0.687630191764112,0.7172309709239745,0.6907865575458405,0.646612786304258,0.7577619785188486,0.7542813853322445,0.7155001015244813,0.7101281645380566,0.7541174337325436,0.7772406268159487,0.6558013445945678,0.7382576528104782,0.7019672403933015,0.7352366101417168,0.6838231125705174,0.6702999985149465,0.7366628424333174,0.7988958205579201,0.7671715788115832,0.6857513085714301,0.7173280458358183,0.7374731301454294,0.7075927972178264,0.7223196046081783,0.7918486744390274,0.6872142996162464,0.7034800211980023,0.7834050806333714,0.7277988254899036,0.7126893836344041,0.6898876765744143,0.7054983640129675,0.7626919042390562,0.7922934684707255,0.727159417164815,0.6747688846225098,0.7144503762201561,0.7397041659804461,0.7859238499879521,0.7682858347699854,0.735768158381944,0.6998572882318789,0.6800592979767919,0.7370397128485976,0.7333514208558709,0.7570314854349081,0.7016901001725291,0.7760247046708506,0.6897878450408448,0.7141901259791923,0.7244643299630906,0.7351141122038747,0.7571204227152253,0.6654778187653556,0.778700894112519,0.6947816705022531,0.737777592265086,0.7498065808470492,0.749900835056029,0.7426018457741314,0.7307320121851596,0.7123718527012808,0.7134048992841581,0.7564558404066652,0.7333230104711119,0.7420859863763467,0.7282081453271846,0.7181022971502337,0.6831189118046779,0.7360994340191502,0.7363342872123882,0.7202924766629029,0.7441640423871372,0.7565066664331943,0.7143942752265102,0.6715520247470365,0.7621263285481209,0.7469846245518811,0.7368502892160436,0.739059196494117,0.7110958798864566,0.6762497018188469,0.74904849445711,0.705737269636848,0.7564368770562984,0.7100510007184716,0.7148909701501298,0.7519206695593157,0.7675582087187234,0.7043669173489773,0.7243864810222698,0.7683638296658892,0.6602082602070674,0.7061704035490526,0.6838328870637955,0.7585203666111217,0.6681203304158646,0.7603778853449598,0.7427019661046996,0.699866293239948,0.741717025052484,0.7149381644776236,0.7912003775598506,0.7323468636853561,0.7270416935353674,0.6879884774392027,0.7462507320618039,0.7548668992550684,0.7480155616718085,0.6841464202716401,0.7405306396735964,0.7459896010069726,0.7172103293778092,0.7478838482076282,0.6789118003054897,0.7224768978468115,0.7631269037140129,0.7241444959470458,0.759275930443881,0.6895833545047365,0.7824600202889374,0.6395568491797008,0.7073483797712674,0.711213789339485,0.7260037446236935,0.7222494604207559,0.7589722081312411,0.7150540908902301,0.7868224137686475,0.6551094912728809,0.6833495489129395,0.7428408824776425,0.7181896871111707
ivy-2.0,0.8172434265889071,0.8513530911267867,0.8963374416314562,0.8102807017258381,0.8565352601636386,0.8383512770356214,0.8615917223305773,0.8871882366866765,0.8511210793609175,0.8674095032064448,0.873334578173401,0.8522206211077704,0.8477083493584755,0.872322690468189,0.856468627449947,0.8695555638818692,0.9001153132525403,,0.8728861031755748,0.867851725962984,0.865652968063445,0.886815676794658,0.8423485299909975,0.7464194638973733,0.8593098972912168,0.8715163963552193,0.8789692092465419,0.8667198410415725,0.8197989379336282,,0.8580708887345972,0.8525236514108008,,0.8709799580722792,0.8585966038364422,0.9138475008271687,0.8649895591408395,0.8755625916272133,0.8284941411627658,0.8439419543775911,0.8256013376642996,0.8637588205976436,0.8566242777697765,0.8571233987865094,0.8023883567281376,0.8198081117266625,0.8682885955560774,0.8809863204407725,0.8204439091296539,,0.8706842195190037,0.8170104525719389,0.8535702872008026,0.8681752496736894,0.8116203469601277,0.8591062013360136,0.8835898703430453,0.8462852796908772,0.8639237770461311,0.856468627449947,0.8587371969395513,0.8737151822669477,0.8339274035568424,0.8585576778809226,,0.8523200074519395,0.8825093153861243,0.843023932442449,0.8508177899754973,0.7761283130608428,0.8831814802010604,0.8506034563493792,,0.8977764470704618,0.8169681886609105,0.8567353483339295,0.8434223627623424,0.8083678590110798,0.8701388628136539,0.87139241177448,0.8624236858891984,0.844886484982704,0.8709414834399232,0.8522927143520811,0.8540868285510279,0.8279181808918734,0.8546111748135294,0.8965908249692316,0.8512667154877089,0.8803815740056977,0.8811774504325387,0.8464563929458894,0.7053677843139307,0.8531333124108866,0.8753939733350468,0.8570401337628196,0.8843261128074558,0.7727107941129651,0.855196668342167,0.888599264255599,0.8784655860257591,0.8696695466565948,0.8580752261260067,,,0.8576920496012951,0.7893461931009935,0.8709804759054129,0.8598153615920607,,,0.7669489957973571,0.8826586368249534,0.8126846173532419,,0.8671181807470325,0.873334578173401,0.8583500444257035,0.862999882345873,,0.8513655186330005,0.817483592220377,0.8592283838211632,0.8908035380228709,0.8534274300579454,0.8685553888207089,0.8467826834620957,0.8533857758799251,0.8737390965950682,0.8585719253966334,0.8704774353162581,0.8803713928984721,,,0.8697286660224854,0.8772585658445047,0.8635517949258587,0.8591913448197231,0.8671882366866766,0.7963324140121824,0.8423359560387322,0.8576920496012951,0.7644225187553224,0.8792563379743785,0.8534495287840933,0.8496521623144052,0.8599058901029493,0.8745386617570097,0.8791134808315214,0.8571321230418596
jedit-4.3,0.9791772753306258,0.9745821012379606,0.9776293500630455,0.9787409538283399,0.9888511849109021,0.9860811385102657,0.9681276851124002,0.989429643403712,0.9791980882382646,0.9783015458727433,0.9980996658968029,0.9684468340485703,0.980313883683287,0.979593599547556,,0.9789645560323801,0.9672735655997057,0.9795404584617976,0.9901831940652831,0.9980744927326466,0.9877925580898135,0.9661272657046271,0.9780793767375305,0.9756970084842982,0.997058136346832,0.9886799326223115,0.9753216455456294,0.9770527901827047,,0.9789581990691012,0.9802285392437693,0.9678016727582479,0.9971601771631586,0.9759469332057678,0.9980744927326466,0.9757393366421171,,0.9790688775510203,0.97994552867345,0.9865508821023996,0.977993877964928,0.9868879595201375,0.9764376766674191,0.9769196043782624,0.9388522705104244,0.9771912819896447,0.9687659129959387,0.9793835472333263,0.9869053914614466,0.9789581990691012,0.9869634617581002,0.9674755858017259,,,0.986663585133498,0.9804306946668083,0.9690784129959389,0.9783015458727433,0.9789581990691012,0.8720960074696196,0.9769784801553396,0.9776091927068362,0.9877419393123871,0.9795918367346939,0.9771601771631586,0.9879980029146787,0.9760077323884797,0.9773926745508283,0.9781252012791578,0.99797245191632,0.9791772753306258,0.965433069083356,0.9980841545683954,0.9875226754120637,0.9812563109144647,0.9880779190110126,0.9684468340485703,0.9789581990691012,0.9518692563801747,0.9785236122589049,0.9776454498636911,0.967142332098907,0.9793835472333263,0.9873842517530759,0.9787486500360174,0.9776502276945556,,0.9771601771631586,,0.9782992118337702,0.9783170572011508,0.9684468340485703,0.9869104987137448,0.9866728333219116,0.9783015458727433,0.9873838061540545,0.9487934697892355,,0.9783015458727433,0.9860653403247128,0.9793856086639592,0.9769227789541313,0.9778522705104243,0.9870865175590431,0.9786389130120134,0.9892122187053588,0.967142332098907,0.9865637971148361,,0.9771601771631586,0.9793856086639592,0.9658017396284971,0.9785236122589049,,0.9970527901827048,0.9758720508489126,0.9668089987655738,0.9780793767375305,0.9971548309990313,,0.97886354593137,0.9671499929773545,0.9890759040120256,,0.9785501798362406,0.9785344485054985,0.9664761940417272,0.9788561582527747,0.9787409538283399,0.9884297944639928,0.9971909044091454,0.9762458927689109,0.9789581990691012,,0.9873974901486673,0.9789837769548271,0.9684468340485703,0.9751901087717645,0.9876195458707231,0.9785368721956869,0.9864677328558298,0.96939084724799,0.9806842427637372,0.9871781794860389,,0.9976454498636909,0.9846166609962314,0.9815613643851426,0.9760887948284656,0.9771548309990312
log4j-1.2,0.9331529080675423,0.919041231126597,0.9023507549361207,0.9267682926829268,0.9287804878048781,0.9347682926829268,0.8191970576848626,0.9116913696060038,0.9349111498257839,0.9092682926829269,0.9234929890392021,0.9378048780487804,0.9317682926829269,0.9120540069686411,0.8933577235772359,0.8471016260162602,0.9270731707317073,0.9347682926829268,0.9214715447154471,0.8713577235772358,0.9267682926829268,0.9378048780487804,0.9192113821138213,0.908254487379648,0.877111691831204,0.9363414634146341,0.9287682926829268,0.9313203639179249,0.9116913696060038,0.9071219512195122,0.9236016260162603,0.9346508837760442,0.9527682926829268,0.9136016260162602,0.8185005807200929,0.9572682926829268,0.9347682926829268,0.933988072902707,0.9267682926829268,0.8404866434378628,0.9184093183239526,0.9363414634146341,0.9118708567854908,0.9407317073170731,0.8715323267518389,0.9317682926829269,0.8502682926829268,0.9317682926829269,0.929079083518108,0.9290243902439025,0.9302682926829269,0.9099349593495936,0.911911149825784,0.9302682926829269,0.9116672473867596,0.9036747967479675,0.9407317073170731,0.9117479674796748,0.9197409738661342,0.9190243902439025,0.9142206736353078,0.9113635307781649,0.911911149825784,0.9363414634146341,0.9070243902439025,0.9076939781086122,,0.9267682926829268,0.9274634146341464,0.9114963072158194,0.8835619434765777,0.9626829268292683,0.9347682926829268,0.8818708567854908,0.8575040650406505,0.9319512195121951,0.9210778164924507,0.9329349593495935,0.8971016260162602,0.9170731707317074,0.9334146341463414,0.7854606003752346,0.9587682926829268,0.9237682926829268,0.8749767711962834,0.9151771995655179,0.915024702939337,0.9597560975609756,0.8896400875547218,0.9170731707317074,0.9334146341463414,0.9084093183239524,0.9175778164924506,0.9027781649245064,0.9121672473867596,0.8984349593495936,0.9025222609368951,0.9317682926829269,0.9347682926829268,0.9150243902439025,0.9617682926829269,0.9353238482384825,0.8767682926829268,0.9302682926829269,0.8903101045296168,0.9617682926829269,0.9267682926829268,0.9626829268292683,0.869577490290886,0.8954552845528456,0.9217479674796749,0.963922138836773,0.9151016260162602,0.9267682926829268,0.882691056910569,0.9313580362726704,0.8773821138211382,0.9612195121951219,0.9363414634146341,0.8906672473867596,0.9250778164924507,0.9572682926829268,0.9329349593495935,0.9331529080675423,0.8803101045296168,0.9407317073170731,0.9304878048780487,0.9330778164924507,0.8802682926829268,0.9116910569105692,0.9334146341463414,0.8569825783972125,0.8724349593495935,0.9392682926829268,0.9028705440900564,0.9339111498257839,0.8216260162601625,0.8979349593495936,0.9346913696060037,0.8953577235772359,0.8955480061943477,0.916999061913696,0.8792113821138211,0.9250759849906192,0.9129218261413384,0.9363414634146341,0.9362682926829269,0.9196022067363531,0.8923658536585367,0.8832038774233898
lucene-2.4,0.4879406443229972,0.5763319327731092,0.45595037315625553,0.5258165755812815,0.5301848739495798,0.508354171971819,0.5610197221079575,0.543300780918428,0.5349230701012966,0.502,0.5804047619047619,0.48959581921346623,0.5468081232492997,0.4873698621639798,0.5186539343009932,0.5556100076394194,0.5271409472880061,0.5247528342791732,0.516561582208641,0.4942756981580511,0.49890938799762324,0.5495742786625138,0.5453842203548085,0.5523016721840251,0.4563631140101729,0.5275749511925981,0.5580877847642552,0.53589550645433,0.5337198879551821,0.4910543716355832,0.5248905179787532,0.5560098039215686,0.5187222222222222,0.49478022630963814,0.5224042721496628,0.5053380834851422,0.48310874419697947,0.5015980392156862,0.5353338165102871,0.5447142857142858,0.5451569051863169,0.471326976944624,0.5892619047619048,0.5226079280196928,0.5095726658961953,0.5187222222222222,0.47854094271741326,0.5698557422969187,0.5081091457562046,0.5232395447689565,0.5366176470588235,0.5439920634920634,0.5797808498690851,0.46265029363481375,0.5350924369747899,0.5663373717785483,0.5121179441473558,0.4915947026829379,0.5701269841269841,0.4880276716747305,0.5098964075140545,0.4760828877005347,0.5571409472880061,0.4813538748832867,0.5025542039659687,0.514720687808923,0.4857445658916247,0.5525668416550769,0.4902498938969528,0.5761269841269842,0.5373253968253967,0.5067178083354553,0.5618004838298954,0.46219199101552044,0.5310190985485103,0.5711749067925538,0.48192287124640065,0.4815494211670682,0.5534341736694678,0.5042222222222222,0.5378015873015872,0.47765045660611943,0.5403095238095237,0.5134836537962086,0.5724455952544188,0.5648123739006092,0.5767128851540616,0.5107193558075911,0.49005347593582893,0.5113603128897246,0.5387615227909345,0.5310392581274933,0.49740289449112973,0.5401269841269841,0.4634219375395846,0.47026654064889356,0.5887717086834733,0.5665803836686188,0.5495238095238095,0.48507646601764254,0.5766858076563958,0.5286639798110385,0.5454828080416315,0.5260424836601307,0.4842993999464589,0.49673622782446303,0.5905224089635854,0.478326678223737,0.5508585923880042,0.5012797268091386,0.5209118495883202,0.5545228921405391,0.5189331420213772,0.4753669467787115,0.4827842484313073,0.50225935828877,0.4981989938166409,0.5481239076502465,0.509849575651156,0.5208459383753501,0.4346001400560223,0.5412035644094467,0.5314299719887955,0.505537717574592,0.5551632289279348,0.5085852611440846,0.5444047619047618,0.5340378151260503,0.44174496092143145,0.5232248927543045,0.5039465665053899,0.5334281894576012,0.48589087056734115,0.5305556404379934,0.5573852030322619,0.5112923318511553,0.5297134662722897,0.48327304394951454,0.460385405444229,0.5626274509803921,0.4922683754154342,0.5582731092436973,0.492693603781839,0.5480387978035037,0.529812324929972,0.5482460317460317,0.5884389695272049,0.4538680028262071,0.532577030812325,0.5219377354671473
poi-3.0,0.5624651004426284,0.5532743161956645,0.5439266557197591,0.5922366522366522,0.5791425215611263,0.5801455566905006,0.502655771195097,0.554017982017982,0.5899733791113102,0.546985236985237,0.5850000000000001,0.5453054311481278,0.5691447632826943,0.5701577349853211,0.5819985569985568,0.5831974236749518,0.5593671154064412,0.5944178235557547,0.5463924963924963,0.5678277278277277,0.5754233344682784,0.5682910915551365,0.5519483964311549,0.5443939393939394,0.6030549335721749,0.5780555555555557,0.5477612119466051,0.5403327783327783,0.6242454097626512,0.5281818181818182,0.5356352636127917,0.5379083837510804,0.5840151515151515,0.5779708069708069,0.5852813852813853,0.6056469186244466,0.5595358075133356,0.526931401931402,0.5638672438672439,0.6071861471861472,0.5459204840103717,0.5479549164942423,0.5781385281385281,0.5964718614718614,0.5601634476634476,0.5817832822608103,0.5874032459425718,0.5798051948051948,0.5168531468531468,0.5524795204795204,0.5810004539779821,0.5374029796670245,0.6014577670391624,0.556029526029526,0.5982683982683982,0.5694752625651502,0.5169356486210419,0.5732221227048813,0.5788734637010499,0.5709895851275162,0.5643010079807833,0.5656480535694018,0.5510586348517383,0.5710981738567945,0.584466257256955,0.5837669116582327,0.6047691463257134,0.5542225829725829,0.5585137085137085,0.5687157287157287,0.573160708205652,0.556650100835494,0.6030549335721749,0.5747763347763347,0.5576767676767678,0.5284839317985386,0.5889669568883051,0.5420380720811755,0.5778797830521969,0.5935147036871173,0.5476502143299897,0.5582692133085392,0.6018181818181818,0.5857522515798377,0.4583853646353646,0.5416490687731486,0.6000800136193394,0.5874747474747475,0.5594361194361195,0.5626762126762127,0.5122347720943228,0.5743476903870163,0.5912472010747873,0.587206797034383,0.5593628593628592,0.5733236863012143,0.5242632242913141,0.609245409762651,0.5027272727272727,0.5444400044400044,0.5728237474136351,0.5702777777777778,0.5373265623265624,0.5900360750360751,0.540909090909091,0.5715153292400483,0.5809176029962546,0.5631524031524031,0.5918644573816987,0.53662903667214,0.601388888888889,0.5295786516853933,0.5644014988842574,0.5594949494949495,0.5446067533998569,0.59561797752809,0.5362741939708231,0.5631263372642683,0.5697258297258297,0.5409138639138639,0.5700000000000001,0.5591943200370166,0.5267476967476967,0.5137115662115662,0.6243290043290043,0.560999676977205,0.5894243187395067,0.5467049808429119,0.5931890331890332,0.561035076035076,0.5718085347860629,0.5137111868083448,0.6268964368964368,0.5657344877344878,0.5604329004329004,0.5439693951491704,0.5680555555555555,0.5859059025789531,0.5817330944917152,0.5798556998556998,0.5448027640274831,0.5367211614852063,0.5859451659451659,0.5656882121709708,0.5417460317460318,0.5369528006325759,0.5039243386785803,0.5746753246753247,0.5535020535020535,0.6298181818181818
synapse-1.2,0.5409615384615384,0.29666666666666663,0.2766666666666666,0.6210903161264506,0.35498655462184875,0.34480769230769226,0.3231622527798999,0.35026666666666667,0.6239644657863145,0.3145721088435375,0.3281674208144797,0.32293333333333335,0.5575456540371314,0.3243061224489796,0.3502865546218487,0.3140497737556561,0.329317006802721,0.3095294117647059,0.43590569561157794,0.29573333333333335,0.35461463046757163,0.6436039215686274,0.3016238095238095,0.3419607843137255,0.3458438575430172,0.5459002324049238,0.31461988795518203,0.32237823129251697,0.3161333333333334,0.6183942376950781,0.3352262443438914,0.3563110444177671,0.3563960784313726,0.3085006802721088,0.3076904761904762,0.6186990950226243,0.3504826330532213,0.3085006802721088,0.2976238095238095,0.5861166866746699,0.5146912087912088,0.617982609614922,0.30156190476190475,0.31,0.5863615846338535,0.5058671899529041,0.3,0.27,0.39705882352941174,0.32237823129251697,0.32399999999999995,0.3372687317480184,0.47764748367432075,0.32293333333333335,0.36115798319327735,0.372310989010989,0.29666666666666663,0.3025333333333334,0.5196156862745098,0.5269490196078431,0.3704969834087482,0.3098666666666667,0.30333333333333334,0.29,0.6025168498088329,0.3456443223443223,0.5957602240896357,0.3295130852340936,0.3161333333333334,0.2920238095238095,0.4085128205128205,0.3470999066293184,0.34990196078431374,0.30333333333333334,0.48892569192339286,0.3402315541601256,0.31,0.3436904761904762,0.6405882352941178,0.30192380952380954,0.31718142641672054,0.3154394557823129,0.30785387488328664,0.3752140856342537,0.5269490196078431,0.29287330316742083,0.2766666666666666,0.3041333333333333,0.33625578231292513,0.34435714285714286,0.5801606488749347,0.5739247269120412,0.5801357543017206,0.29,0.30102380952380947,0.49001161695447404,0.2753333333333334,0.3623529411764706,0.3025333333333334,0.6057411764705881,0.32884809308338725,0.5567246898759504,0.3619607843137255,0.58383645117285,0.30933333333333335,0.3080769230769231,0.3216554421768708,0.34027079257234805,0.5813360744297719,0.35498655462184875,0.6042563579277864,0.3423529411764706,0.5921283283526174,0.3273673469387755,0.28213333333333335,0.4474091051805338,0.31872238895558225,0.29666666666666663,0.6336039215686274,0.35684313725490197,0.3211085972850679,0.29573333333333335,0.35003099906629315,0.5737286484806686,0.31,0.34839309262166407,0.4524941176470588,0.3563960784313726,0.3423529411764706,0.35910644257703084,0.6020114599686027,0.3185294117647059,0.5702941176470588,0.33266274509803917,0.35498655462184875,0.34959764521193093,0.31014149659863943,0.38757310924369753,0.30156190476190475,0.5595818327330933,0.3704969834087482,0.3302865546218487,0.33693026487190625,0.5557314925970388,0.30954381752701077,0.3335897435897436,0.633768387354942,0.3083673469387755,0.3186421101774043,0.3363110444177671
tomcat,0.9101269755554584,0.8154337149120722,0.8160050681147925,0.9125568352300002,0.8363614844186598,0.9053798636680207,0.8513785495203594,0.8902708702173264,0.830542527052911,0.8230637920190993,0.9055583255306772,0.8211901356990847,0.8382690163603759,0.9200454565792343,0.8721534418811762,0.8394918681367299,0.7516706211976032,0.9168563847779143,0.9056861266776846,0.9095283458345154,0.904486487295979,0.9092876400419645,0.8213184994689208,0.8866659989258567,0.8209167482670252,0.7587268621207295,0.8909367851123464,0.8968119644442906,0.8947386310316836,0.8713717849365044,0.9038771503583392,0.8938275095737784,0.8650018357219622,0.8670222099143344,0.769461349629635,0.8753947906310671,0.8860119002707632,0.9006592798844866,0.9022027145997487,0.8807488974096438,0.8870022171595844,0.7792943212197186,0.7869655965746187,0.8612854262692371,0.9000558342719411,0.8826804854450349,0.8281555431122679,0.79572791320666,0.9199935350718831,0.8216168472097392,0.8724709960555601,0.8323861106362372,0.89580186307679,0.8989303767351168,0.7832810172937946,0.7871037870953286,0.8299151133500393,0.9028077098034842,0.896533193069982,0.8881436173937239,0.9125470138998584,0.9022446483900592,0.8847806102525999,0.8555178934131631,0.8009689597361545,0.8972689389438877,0.7997058642493311,0.9029067527034622,0.8208197799771071,0.9204202354580044,0.8934944481160312,0.8970835420607439,0.9120513699618684,0.861349384014944,0.8468752305086684,0.8993627392120825,0.8672952807291123,0.8281818071699599,0.9033629671424124,0.8946355290078838,0.9015445776574675,0.7883953187422739,0.8214573566634444,0.9091676172812977,0.8527389901406706,0.8392087858729635,0.892229387008481,0.8919201974568931,0.870901219797239,0.7273866789662972,0.8756724383939426,0.8324457419725092,0.9084963377185353,0.8468903054674053,0.8588919144509453,0.9054809504902845,0.897339471927462,0.7653677541093247,0.7962619181457394,0.875714557089748,0.8839465685327033,0.8397703432728754,0.8893473230860763,0.8770573936442083,0.9073442945755084,0.9154732502681833,0.7991180603353638,0.8224092435154453,0.850905238323943,0.8140689251338662,0.9139224713246763,0.7432891105045755,0.8087234414540262,0.8297620528913715,0.9162274325460125,0.9021547784353889,0.8068914935726232,0.8641375541296379,0.8830087942039511,0.8589568597744031,0.7393082291960925,0.8909038392027538,0.8351062395088418,0.8987159291046478,0.9006828785622649,0.8764898964896733,0.8204683815649056,0.8132708487342428,0.8686245786664,0.8530463415985645,0.8354542835642852,0.7796219049663125,0.8951952076868535,0.8250926367415143,0.8878191567650797,0.8944065050762187,0.8672199031512566,0.8739349291236784,0.8582416092544985,0.8656554485019416,0.8553655761694947,0.8511378002986472,0.8864725780340872,0.8065064225242357,0.8987182955605157,0.8149859301681088,0.9113657328323572,0.8952809521493448,0.9059713193080028,0.8758343261203287
