,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.3068374362316309,0.38720131631658516,0.35345080315391464,0.3665903524709858,0.3039617975529005,0.31790249187395614,0.3914873820401823,0.28309913773071976,0.3933471637702124,0.29330939953776364,0.39958283054265903,0.3224333940568372,0.318405836062226,0.2911445325185308,0.38316667144666144,0.38546234750524655,0.3317168618310172,0.361532312139507,0.2643619403682128,0.29497803698832015,0.2875270084743156,0.378361049831881,0.4189707648073833,0.40199106013386554,0.2799432629263804,0.3209855007888538,0.3380796057200235,0.47839128840337913,0.3354979077068244,0.5517257255281707,0.2910681880835129,0.28580135413363805,0.28937394833668384,0.2857898759221522,0.43043807803590145,0.2743646120340384,0.4483371682410526,0.3568602851257357,0.3641044120633,0.36613205951361666,0.3403954195282542,0.2614782425785949,0.4266966914314624,0.38560528264364285,0.3665834379215525,0.41170910971538943,0.33918704145567186,0.3704441547387594,0.36367413336921667,0.407049275872458,0.3995776199209197,0.3998789144360566,0.35962580301328256,0.41478796870921647,0.2938432609639403,0.2886787915091447,0.31108251661803,0.256827995312259,0.3649721961819411,0.37550162073479676,0.33465207042631784,0.2891578066871693,0.3908297207328878,0.3423116301271681,0.3094937848201501,0.27712978365451874,0.26254881347938464,0.39877960972728693,0.32535641012726385,0.3884449553982001,0.3192803830313963,0.25797714345821904,0.2894741992629569,0.38302361863347023,0.2602407016944249,0.45110068611026,0.3965921122120559,0.43076376808597705,0.2862873420557326,0.3557125404321471,0.33480240757817864,0.29206309461127555,0.4719300875475418,0.2869554372033706,0.3089252268888433,0.39526158064038236,0.39969525398585265,0.1640373120568908,0.398882789899858,0.35037443914201766,0.2532085480183257,0.4206261569034091,0.3436930372076203,0.4081758513002293,0.4766119535506142,0.35189246154584086,0.2647509556059893,0.31877100135370395,0.3116525913631067,0.22248389313223835,0.36842969936897635,0.24728303674956428,0.24473779413277422,0.41106541579957506,0.334767696897616,0.45015092610267843,0.33977197804357784,0.43981105526019504,0.28804146691672794,0.37534916592863243,0.40153785695529254,0.35637836884467033,0.3129635191498574,0.35389446953747433,0.4075243175832777,0.3219789136133914,0.3692486427958531,0.3285832737274059,0.3435267142272077,0.2883454566684432,0.3442847432339907,0.3374611441620813,0.363859434906542,0.30399135897756024,0.28878683864668175,0.33310219497128096,0.37284528280224627,0.38856769817586895,0.4011944458977131,0.29439518294081607,0.25564018047053494,0.4504065994933805,0.4291480159521761,0.40708301306638983,0.30841285961028664,0.3694260510726415,0.24814304037951357,0.3398686186469235,0.3599469132803878,0.43659131509438337,0.4420721285253274,0.323415668068025,0.3762312069978922,0.3321939870698487,0.3134075981996544,0.2619459389740884,0.38006051013752923,0.29701530716305147,0.3275795166650802,0.38136448517156046
arc,0.23882921049063582,0.3809961857694345,0.3041892845444324,0.15765385079541883,0.2858696400111871,0.39124427831853137,0.3631821904718813,0.40720649668857145,0.40136671518313416,0.16613066566978907,0.2684865338114965,0.4085370292044623,0.3841286735093489,0.342275965934572,0.3395116344492568,0.19932406810316816,0.5018705095220051,0.309315643730666,0.40673384825405506,0.08228559828494458,0.29357925118332434,0.3445272224735141,0.39031174788486567,0.3635860212568497,0.08580598051458338,0.5331951326442904,0.46295621157948363,0.5131385377108466,0.4135681752635204,0.3687681444319218,0.19963122026257446,0.33181073232631225,0.43105866451076624,0.3250214487834878,0.46948497084859664,0.42690154896982824,0.22177710576774612,0.2263254877871741,0.4450887793307332,0.21284883313784836,0.5129833173794469,0.27357595388910216,0.4048200038991926,0.16699274984946605,0.2854231950865713,0.34732117670774987,0.2788907680544851,0.07084475998970007,0.4363868457927479,0.398138260475847,0.2484032406122655,0.4539277344820556,0.3345728973877755,0.34003027435113287,0.41687560982069816,0.17947283176921702,0.46943600217614057,0.4313833234258926,0.4075843192102703,0.3976738892274725,0.4523467896204717,0.4468682248165339,0.40788386792594156,0.11711184170804287,0.2840299948029475,0.3978069973895909,0.26220728421270567,0.19331093671397445,0.15891601082918863,0.3574599245067215,0.2778745665572453,0.48066007260300025,0.2951706373340123,0.29925384769413055,0.24491723931558082,0.3147954509188258,0.3530145698099568,0.29110632415927107,0.3979128581319171,0.2356613873640861,0.30398291986184267,0.5742636130595089,0.2814749351403206,0.4640764179670991,0.29849303023917884,0.2510287241553565,0.4326208529157676,0.4765272130930094,0.3593799421358119,0.22945564136664512,0.24310004264685367,0.37023023114510734,0.4417743154481792,0.48376051017002875,0.23106203911695172,0.3789903858369121,0.2746585444983968,0.212939001914637,0.43425490929611676,0.3225176924350726,0.48895161833890993,0.33251499951465063,0.3553561242143572,0.2789789936430074,0.3973787516884843,0.19486135641428376,0.26593378807439005,0.32937417739641367,0.18290251875367755,0.24463468544323763,0.32638249313008605,0.23010809994029044,0.11752187063917943,0.21031802264634655,0.19613694237321191,0.4551676112759105,0.2526985524877126,0.48315640371769825,0.36657169867892503,0.362398470349429,0.29609113508442275,0.3216859353418102,0.35151010325204973,0.4270172541861474,0.23067261810319611,0.3316218728781378,0.29174583057176784,0.35046195578966255,0.13620406085408004,0.3549286562892485,0.2371054586627231,0.5524238405845185,0.310765663766214,0.35558198719425976,0.35790753257673424,0.3533463615657357,0.335083484179067,0.2426438549860251,0.4604915588979894,0.24244999249954927,0.5378788155638038,0.15822369206498793,0.1672049480932728,0.2981577360032283,0.2193372398166602,0.31112760502908254,0.33141427486875086,0.2972014694086632,0.167104746351556,0.3635983817160662
camel-1.6,0.3987855014939161,0.31369885704382233,0.37767661094101507,0.35543856574608085,0.3799173105606216,0.46245031813105253,0.43853832576090673,0.3345515235370057,0.376779815367526,0.4798119048564765,0.41426262864887625,0.31210264989752967,0.35572308180169593,0.41131729031759623,0.4012682057306978,0.29219687438668945,0.32143932188138374,0.28579403413307625,0.29290025338003356,0.4192964793981231,0.367629335543603,0.4069599547571149,0.37285691543236094,0.41075257939054327,0.25682003650083324,0.45468830583471276,0.4712121286897468,0.3399633319542664,0.4566099085849803,0.38267504802149804,0.40205054860793304,0.3505267089281983,0.42239446645491174,0.38351979180849877,0.3845374802591789,0.3837831172288576,0.4455028298137761,0.3004760918606997,0.34062858185604505,0.3347937845606092,0.4007533155291847,0.3284832400076844,0.39433482895138694,0.3631955126104612,0.36559233507109956,0.38084239856148505,0.31817709071734873,0.48868392958706075,0.37936823556110966,0.3184353149020209,0.48639259880729435,0.4609009472483141,0.338120898668918,0.3129375230588352,0.43953262507391544,0.3286081074583891,0.37577045192831826,0.420367377094564,0.35106621454194914,0.4090706057739811,0.4231353995258474,0.32082827294247956,0.39053158134547517,0.3805502228192451,0.3450876246677314,0.44189426365227297,0.40319195584495177,0.39348302184828077,0.47659332090125395,0.43157251816025505,0.442693950945967,0.34367856944053765,0.35334568773949365,0.26753825527752767,0.38571335130440065,0.3296424867677622,0.4124314840100656,0.405032515276436,0.3548161715365762,0.37354950954897914,0.3192093410335283,0.3464174387065951,0.3570403208359426,0.4092264630073432,0.37259644967036987,0.4486633699090361,0.38589336663238094,0.4430351393494407,0.366900441202899,0.41702340382486214,0.36419866288735603,0.378194234479902,0.45686697082972016,0.38392622056592385,0.4291270370835156,0.31995819982950874,0.41921944200419,0.3962708817353726,0.34551514190870103,0.449189050775881,0.30800427442663014,0.43829211463105705,0.40976228871069237,0.3979809320551899,0.4090140870566187,0.39034542898887137,0.38326559165995033,0.41860441277232396,0.451032235512943,0.30635800312402867,0.31336235460988066,0.3683806424564441,0.4327856256258934,0.3588521503162521,0.41066823382549716,0.3675029355326736,0.33650581938414903,0.37859344447392324,0.39210401622651203,0.38582066438855345,0.3326875530206377,0.36890408682861797,0.320533977711826,0.35262747698893787,0.3681206976173923,0.30256091172420657,0.41603907587975836,0.3779972927239023,0.4802230875192735,0.4549810086676563,0.41977905390695675,0.36015015555024243,0.42824657001456284,0.37479551599066985,0.4178433451339353,0.31079729076702206,0.33918329883955867,0.3988147128476486,0.39365022709406294,0.4710997720447694,0.390353356155826,0.4098084099399764,0.3596483501807409,0.46556200772115075,0.422877723068194,0.3707383916636627,0.46062627772615544,0.33464391633107105,0.35838005487906965,0.3982143342066788
ivy-2.0,0.46005368892750853,0.39072527999686424,0.2859486593847248,0.19716831847220517,0.2152840921019805,0.21320560266277916,0.32643177850486144,0.22982612945862857,0.3585891962163973,0.3202252142959673,0.2106858447827103,0.21187641619994207,0.3483226934353653,0.35794485142437293,0.2966170745208746,0.3232358909769929,0.34314978457175355,0.1680088720627288,0.25802576168094676,0.3799224504249441,0.15153560178346187,0.28168608913523085,0.3935505322694456,0.34260136879670783,0.3770572517722173,0.395741470301629,0.3213463706712882,0.2851579550354076,0.4236303122812307,0.23847643546898722,0.34661128595212876,0.2631502430064701,0.2246433507683057,0.31850028372577216,0.3701674769726506,0.29566302037113934,0.4085527292725597,0.32589856855642885,0.4836787967967438,0.39483509359819907,0.2566087811167683,0.30903719672706015,0.14760202419019536,0.2811423366901571,0.4137718472999814,0.3081131930738751,0.33725496853365616,0.2620545459009355,0.3239348154928408,0.2521431245468936,0.3134457775928605,0.23828698054633946,0.2242182885294841,0.32871845812685896,0.3004335426962704,0.2974999289032015,0.39561843803481567,0.33733429083364297,0.3997126733203485,0.3226187269465652,0.3672096241416741,0.3369448352695617,0.2638090924283243,0.2551476995309051,0.3129458002675569,0.29307058962558197,0.23319475958151722,0.3357233928178155,0.42303902949279837,0.47105779142363846,0.2966821855198086,0.19388588203958754,0.3348683735525763,0.31247770880598763,0.2979319130996983,0.3006183616571189,0.41500434820423265,0.2802845805055253,0.3065487443636952,0.2002555553535506,0.31303470857406357,0.3915461760385373,0.2356021875244492,0.2980746451790787,0.32618548000689945,0.3766972776773193,0.38887424121158987,0.26368349516536144,0.17533817042489025,0.30243666079259174,0.3357274212623293,0.2364591466794991,0.3575875061084125,0.380106469340367,0.24244228656195713,0.2980921873733901,0.22408446401737767,0.3177745447313967,0.41073835167458284,0.2684066439485898,0.2105152877112939,0.4358757884694685,0.3807655569372229,0.31640744759433265,0.22667766034068945,0.248695764598004,0.4006872453560034,0.4197441978637608,0.26941708239832124,0.24554016641516935,0.22322082974275284,0.20573246025290712,0.2633522476140043,0.4348999941732429,0.3184157394443025,0.3988364575405363,0.49351145327273277,0.2557652177251404,0.42662415731807696,0.313942680698773,0.2601870968899759,0.39786639196198126,0.23204735329159829,0.4055688041476155,0.29851617937235336,0.29475208694273164,0.2581872864392488,0.25789893364204536,0.26370866887914524,0.2585139236259665,0.2779794748248064,0.3690316861242279,0.28700984143294966,0.3877251025225204,0.33317886065365837,0.17392441149076912,0.45993351099164065,0.43114224394714207,0.18116879308122735,0.4402761467726435,0.2883586000353478,0.30197108419478463,0.2835241728552805,0.4422012590415926,0.30257199760848585,0.356487051824044,0.31577528157688967,0.3113053991715455,0.31490468211009953,0.371239266207463
jedit-4.3,0.3427934341722574,0.088987160119515,0.2823143959714488,0.20953828375486497,0.251675823949803,0.2509922772632422,0.18080127143085917,0.1965681409813338,0.0745580051338061,0.1581872766378568,0.2576761405892482,0.10239919640390752,0.29319620125768064,0.07822203465799224,0.21552236539725883,0.15419361707771978,0.23209303010927368,0.16932787260018783,0.08337077648972777,0.07991141130347287,0.2607981564446326,0.22738219484254762,0.1667955225092655,0.20181895222617227,0.23996198672596183,0.23128604301912614,0.11279665111484866,0.2591099810529842,0.2598401644749784,0.14900531801825928,0.32059103280580525,0.17818227625328625,0.12053094597065324,0.110970994621259,0.1703749149525164,0.17211446141470124,0.31388305248055176,0.18488743933603616,0.23244003133246144,0.13507902710011352,0.2891546830240757,0.14956145097795823,0.13220462661029747,0.14561003209855167,0.1681548512521049,0.14325868942161513,0.22155278732209904,0.2127081808402458,0.2858960569518229,0.15000211107823375,0.22136538059673455,0.2796417750218889,0.09637923724080802,0.20147391400587733,0.12284355730959536,0.07282381080172537,0.22210726682504717,0.21251963273911556,0.060186803536347866,0.19959063962084356,0.20259381046124414,0.20753924008221097,0.13375030495975132,0.1009067163574967,0.11563517259800021,0.07645035341962907,0.2512078685550328,0.2637004921510521,0.09335751566060001,0.07295297438800386,0.20200687944923096,0.154546784833009,0.18475588766300877,0.0848817170928763,0.23628742425563654,0.2017861710233247,0.1567595332009722,0.03289368426665898,0.1770877180441484,0.1979210914685428,0.2758188742854957,0.12769369817343573,0.18723802940590809,0.166805763672718,0.15857847639356432,0.09282198900103447,0.2159906271324921,0.10677892156682321,0.20229335612077493,0.201340248858854,0.18069756958522876,0.06816291874947972,0.1634881644785764,0.20176179550904916,0.10382631555917071,0.21880405572831604,0.1355707907616166,0.09377464434619959,0.10833769228039056,0.19823353668570884,0.11531220952234886,0.2279327052706266,0.11446301288192605,0.311374540262721,0.20628288191678684,0.1696728822021035,0.20386063407364263,0.11217295392605364,0.08542997349207584,0.37047429936084425,0.21718747947615397,0.27696209902436586,0.24239305538968203,0.14186105237754226,0.09608623186835294,0.17741104863763318,0.2076547675801516,0.1412332759376111,0.12151175346355789,0.3320921552547599,0.21359811485877386,0.08742128130955307,0.18925392571825292,0.16468614132914142,0.2578932253333132,0.30852137633275384,0.22362942379175482,0.12188410434219749,0.2073100442804591,0.24126037449858476,0.199637943480882,0.27477461392909336,0.18583909650937136,0.12842773539563745,0.2781392022079131,0.1163596175332324,0.1962411089768899,0.3037768430985719,0.08847380477313117,0.1623848140263019,0.18340408584587856,0.1545206098075621,0.1923810524550565,0.0597056400599751,0.3342134951107337,0.2811147791852754,0.24740669253800524,0.13318522825554757,0.21022446777342008,0.11351025301172937
log4j-1.2,0.1821369385271414,0.2603168869710972,0.18668110967613372,0.24573230039633107,0.2706165936149171,0.14041174705194992,0.2329577414453015,0.12368110967613372,0.3577732408176364,0.20219642043499603,0.12154430913404747,0.1757964795365276,0.3344379379753388,0.001256722951844903,0.23335352049589728,0.10326518924541689,0.07975731654326951,0.39067405028029845,0.2433549978475339,0.3137330837181558,0.24390071705243932,0.21065298518417833,0.3053230607346034,0.24477882971002285,0.29318727533086697,0.1620868210449899,0.08297530937048819,0.1940229282259906,0.10668211517465123,0.3387688261515651,0.16077775571292574,0.36845283502892434,0.2825727799626688,0.14484400273669357,0.30685077049065934,0.1777032958909539,0.3392886392737114,0.394423911417668,0.1964166195934791,0.13528223337409578,0.13429617122478427,0.3758352376617732,0.2254707386451102,0.40349606308081665,0.19281460030464836,0.11089851710972695,0.11005362078296384,0.12753306462336544,0.22324336557736507,0.3248300423151145,0.12336293435547041,0.28057028906033715,0.12368110967613372,0.26638294443730953,0.03896217144389012,0.25502166451420055,0.11813069327804604,0.25049616126762897,0.31073146161917653,0.3724330043693878,0.24298804203906577,0.10573801807807735,0.04134259731130556,0.23427278110558727,0.37802220505478473,0.15603010052263655,0.3180164609016878,0.11888659203145678,0.07705435149937107,0.44220881564690895,0.2637496717372318,0.130723629585516,0.003419675377955224,0.3437702311792859,0.19317063848731197,0.10721362864575806,0.17700201789222075,0.300910843898404,0.16226544850798452,0.37592824673248026,0.0479401912517062,0.16864786228775108,0.19088530737535545,0.22428796627771153,0.13518130715913731,0.15067221362551747,0.0,0.3536563940679368,0.34578490669320794,0.25602912831090696,0.21584285672808362,0.1620489154391183,0.24066868455888746,0.16501444300946708,0.08595128253082895,0.09384616863151524,0.14166192983878936,0.3358025571583723,0.2523461017969177,0.2614555699611838,0.1320882137330811,0.10006394086576849,0.3873954948045495,0.232913107546586,0.21854555903311915,0.24346858680908806,0.17179748175078566,0.28036800315028887,0.312432932920493,0.26728126592115475,0.2922203677079278,0.24283050894524555,0.2525750392682848,0.06421773361291244,0.4094588207655423,0.2731729820870128,0.22402166451420058,0.16355711319948996,0.12888813805196825,0.14584809744295776,0.07723470147723752,0.043227314419948384,0.2576650280208432,0.33591806540313746,0.4052392164742886,0.13776394018045884,0.34123432264337733,0.07561933811436217,0.19157383034878367,0.10661104665606622,0.28222144368531504,0.1958139247597647,0.04867388817140019,0.16891359293586236,0.28916419594957765,0.26402888601893415,0.14845414379962107,0.11082054125001735,0.18425041990098984,0.15010883945732217,0.2986732275819533,0.19977408874674737,0.2543454652306921,0.34250728269925135,0.28756305845867036,0.12839363255746275,0.2953412198372408,0.20895324202325294,0.1413130675556036,0.2553038352920034
lucene-2.4,0.4975349495315576,0.43602098293176333,0.34461976513266496,0.5161335262992489,0.4051624521373847,0.35112069636508664,0.3045158972128277,0.363246518853725,0.5536700569334426,0.4989026155281055,0.40880478505516454,0.47678533766261333,0.4952223744071237,0.37716579585670207,0.45212840768179324,0.3777538512712436,0.42415456512419564,0.4105734450514395,0.4472645845865545,0.4362509172143613,0.4641816142148193,0.4689059705151695,0.5257486686851597,0.4216163304291762,0.4583803561472429,0.45134068753401785,0.461066184541088,0.48458430648725387,0.4714303350200188,0.20973082825250822,0.46762038706154824,0.3796959315790067,0.3491927814858891,0.4354949997147231,0.4284939110591532,0.44472328369495856,0.44136790297326994,0.45902829984060467,0.5567163013154582,0.35252906264726874,0.5000420711826163,0.29191855622044927,0.4124530467768071,0.5925879289587674,0.4889262710530012,0.29756834581353514,0.41247829071653275,0.4453507668579368,0.382603067046214,0.5738414732753624,0.28251295955186206,0.42692254375288424,0.3467278392608057,0.44751090702779006,0.6135766483692792,0.21651173506523072,0.4708728076943429,0.43751940680366486,0.38671295352052376,0.5344978911365278,0.38161058347501015,0.32703767236636866,0.2669911813684259,0.3310113444586506,0.3140809212284029,0.4319775834563545,0.3250040579937091,0.42734782266459087,0.5873252144780566,0.49264674333063624,0.42144072789956905,0.46088508170452236,0.5015747165728246,0.24350636970300968,0.47533460170023006,0.30253039342747856,0.4642277038275931,0.5042616209811521,0.4526344098319858,0.5546261396274138,0.3491860496578576,0.3821333181034488,0.48619230371904276,0.5218358349232516,0.48536601958149656,0.5352665876369098,0.3617611010346446,0.37316375262699386,0.4726340879010816,0.49188748772481783,0.4037949435815852,0.5196243953429126,0.5041175181712256,0.49304240141863226,0.2857992697379056,0.40358893043078786,0.4610919242947358,0.2712308685034938,0.3388564041421584,0.43911586875320124,0.3780185835149467,0.3416550590908666,0.47641328428145574,0.30756443732638167,0.2974225221939997,0.545761616464334,0.3736543233498676,0.3690572735442794,0.5383420011425364,0.4990618822985381,0.44733364819209703,0.37610934482551,0.4802236882900816,0.3927190277376842,0.43100875299063557,0.2932774307025752,0.4029229078611752,0.36343995007950153,0.37497862580162417,0.47490891103965993,0.4903259565094406,0.5345474190507306,0.5151171647215378,0.3857778284887515,0.48239696958542694,0.3466873834403454,0.4547525785555936,0.35637917946835385,0.49988218591432554,0.43820161769054683,0.5179741768174431,0.4720176242023616,0.5077741607769823,0.4698409975474922,0.4623826279376442,0.45409974105808815,0.2809000660682945,0.3462132949815998,0.4370121766899608,0.35112754308343913,0.35804514839551915,0.46258245285561606,0.4282126643096219,0.5132549778434403,0.44840250102668944,0.43987709496870236,0.4633299383059863,0.5615746421578521,0.502218763626537,0.6130228395072135
poi-3.0,0.2932034271333916,0.3106799872257725,0.41310157592810587,0.2871993374672008,0.2910627574693643,0.26593435087150613,0.2709251047146502,0.366292749520377,0.35185920183815944,0.37338212396063886,0.19485735246486097,0.40538834929969275,0.3427102714594608,0.26759214330585923,0.3112187236227161,0.3294081251128028,0.31040830961422444,0.42534529148469946,0.21803760725361993,0.239386996152119,0.25413718290686155,0.42139897585710895,0.2769594667958019,0.270900672147074,0.3326152212688522,0.29259264683818453,0.3301500241774903,0.3069916591827848,0.29886330411171647,0.35504254717552297,0.3237017316702235,0.2364662476331849,0.37491880630007857,0.4210822502215324,0.41014692315380663,0.3383207471595601,0.45349018527292967,0.3163637156094265,0.2793917723486643,0.2645531400476286,0.23127303214130002,0.2874377361516725,0.3586176754394888,0.3055890972547989,0.49891672071967613,0.3838446541797855,0.26536828025387904,0.2582252730731861,0.34911279705000636,0.2753922193636833,0.24417770188425572,0.2812922559361637,0.41085401961830803,0.24509189275977816,0.4830853290091671,0.34541538375335934,0.3202861807512154,0.2794938730093046,0.29338040005148436,0.40684855655021945,0.44412804524953825,0.3632659890548072,0.4392393860055438,0.428215595543854,0.4102393876578793,0.33826477879164485,0.3676610063810515,0.29116622853139146,0.2590127046877559,0.2802269375899276,0.23007447668919634,0.29443232928982865,0.43454880894813463,0.34256571005508585,0.3081342393407486,0.3382935291414401,0.37028062653881466,0.35564645409572004,0.2631031212182134,0.307549711290356,0.3048525171246651,0.38025749210894055,0.22161903397284038,0.2601474951701328,0.40798445970920116,0.3034125534532718,0.43162108595538085,0.36575110622815077,0.34047339267212806,0.33897993927120124,0.348294599084518,0.42435139466121374,0.3490351287214841,0.4086186052547888,0.4267407264820922,0.30611378834993325,0.45953126523014165,0.3578212449856426,0.3168189358589534,0.4006847012727135,0.20471251345933597,0.32022482564986365,0.30514350935519596,0.3238968979342765,0.2941386765117079,0.34084625129816687,0.3549626151099421,0.29101414747598014,0.31891015796404265,0.4167503145354,0.31111095360731966,0.3056983036808324,0.3777768401101143,0.46161189678897285,0.45412349287093157,0.27750445694074966,0.2441095680497162,0.39033234913407394,0.2960022494396911,0.23750707487303846,0.3572935400375813,0.35585317831132374,0.25709047351832626,0.36343261379081176,0.37320922971620213,0.4418101136459613,0.32309074881258637,0.38774825350251146,0.2716512983547032,0.40793482481923377,0.34260862458320684,0.24670531181629968,0.32466524891711046,0.3049443123499159,0.37260816522976786,0.3180046710386177,0.28080937747843954,0.3606803738634835,0.21490845468108044,0.3803882867997366,0.3915727891870167,0.2868667283649316,0.23794834053073682,0.41367463193005677,0.34956104746821187,0.25344405424802974,0.26389029282863885,0.3684039166732288,0.2455874834449783,0.40600785755897173
synapse-1.2,0.31840387205703186,0.3033830792583529,0.30673520776225943,0.27363470940926027,0.4048642170321227,0.3106942914079107,0.3340134288589098,0.4151808277071633,0.42055533192787536,0.2942257441191183,0.2909418927294884,0.4551383296551104,0.29720974992015886,0.3903577296459404,0.3508419347000337,0.2119730628839793,0.4701409406964304,0.4814793770000991,0.380700805109149,0.5007835318110364,0.4007501115418366,0.3734754097556482,0.26980577333978184,0.3334368058823023,0.38270292249140625,0.3890413504765468,0.31578214547143485,0.5423801298219092,0.494061842288277,0.30995197423414994,0.6591741021460416,0.4030313039727744,0.4262252320233366,0.33181955952073405,0.42049755929977223,0.2596353205786997,0.3165949302355057,0.30096818659471597,0.25621392687343286,0.29989185684940667,0.34031683926365164,0.2546865212826074,0.3659034738947547,0.3558929195516222,0.49721708871787573,0.3782819977495404,0.3891575198220683,0.46711896479605214,0.294560690377048,0.6165621666468478,0.3834468528917315,0.477832946286944,0.2753401596783638,0.44813727790652313,0.3620632708126851,0.39149294515244815,0.5260365844829195,0.3819000285383784,0.21777650541960855,0.3109991088511097,0.3259724400077019,0.3238560025166198,0.2852834013474907,0.3075997910604166,0.23991271309399764,0.2990239226087236,0.3225816786561339,0.22647661913018957,0.3907724976664681,0.4601047042130385,0.5297676073010846,0.3537166983318842,0.5338800020247972,0.36048448715651105,0.42587235833232273,0.4268205583494562,0.35550412279166227,0.3732907702414069,0.42885073613255015,0.24054232023668065,0.36441855317599503,0.2940755674550545,0.44079239397281306,0.4868414956687744,0.37445383945085947,0.2985557498176614,0.3474047923266025,0.4311897069639787,0.38025818372817866,0.30017645979657087,0.43028473052400823,0.5594304726835745,0.32366434643819925,0.48340346101427106,0.4942641240437239,0.4868961902267322,0.3233992145993557,0.4832192872475534,0.37185836296382313,0.27865199371032995,0.41257489848593554,0.3190764056904046,0.4123985167473343,0.3907686509586225,0.3779489401593335,0.4032825294216918,0.39522821144605913,0.25581398293040475,0.4501116597000428,0.22639028322788457,0.3406213579100905,0.3623598362093336,0.3114104182138476,0.3788445153709228,0.5055179927746023,0.27513381594217196,0.43331017130970867,0.2724029169299379,0.27588907668606766,0.6402238845173998,0.35437255662342926,0.2978371383343352,0.4799358213672178,0.22857417104149633,0.3880781790708133,0.3359535501428121,0.28761495339552345,0.3241771509847288,0.4202964797778639,0.29944608391752287,0.2859602263989967,0.3539789631464601,0.3283154152009385,0.45514521296501004,0.31424980463070973,0.49409021986794344,0.5196340557290319,0.39185475809194964,0.46444036317951154,0.35481033399842477,0.3511627854560592,0.28863612226039004,0.3349816123901253,0.5207294828523342,0.5242423788062327,0.3823446774990354,0.24733905456170144,0.42802837946532385,0.22671368382983145,0.3418145818968776
tomcat,0.256750810937733,0.35437267491851804,0.32923930963673237,0.237675185753707,0.26648027268429125,0.2408757972866564,0.3666925854508351,0.2288768880111003,0.3326458866967121,0.2590791144705708,0.28565457261397414,0.2765145550023454,0.18968469733695298,0.3214046436310194,0.3269330658822696,0.306771717490257,0.36988658732308183,0.3310955465221755,0.26350873914604617,0.2910314889615013,0.22486819854398285,0.2351263618703886,0.25843769830255553,0.2731747750917283,0.34097038554015274,0.21882027138919932,0.2650465352203742,0.37506164417654014,0.20106658548318232,0.339213877529391,0.22740854072325384,0.30955798925862715,0.3209617562482851,0.336951843453103,0.3279546094479056,0.315022818202844,0.2815935701922646,0.27703408129904683,0.3777662475201175,0.384816992831389,0.31888318399058374,0.24091508527679323,0.3698212250837398,0.2433746395107862,0.21196069803225026,0.19918224425855827,0.3277795904100227,0.2055168600147445,0.3389776437609667,0.36219741322621746,0.2708347831894954,0.29853779219448023,0.3084643145029515,0.26981344088713044,0.2591651333525836,0.3402413808607788,0.32655268002199905,0.38232555802338236,0.28570913971674716,0.2017200066135056,0.255344865844674,0.25034129245568937,0.3538661249709784,0.2870421899504452,0.3294400083501438,0.21691469578272188,0.35807140005173527,0.3523819548406072,0.31749556976772136,0.21493007687407634,0.3093246286967847,0.25934394247779197,0.33452481017386465,0.26546182452312206,0.2098261043978117,0.27070598224279996,0.31554197025244335,0.2565001991682082,0.30781612238693096,0.3338740775405819,0.3638236536974164,0.2161354422545183,0.2102272223177113,0.3270572238532338,0.2750709036015711,0.24632116480012678,0.29987115945487647,0.2769920679159275,0.24964360498924185,0.34677310573777315,0.31416870237644073,0.21990369896941725,0.31359271024613006,0.30815774814927827,0.4170560302323725,0.2828659185148697,0.2754134212841812,0.29817083869190014,0.3798598115374254,0.23060079087022428,0.37373416373826374,0.25078641094424026,0.3194308504982032,0.20365235359640568,0.25511331408056415,0.26999708763704133,0.2953809081426784,0.20490355537898705,0.2178082514575571,0.31250105372502884,0.1938594989576318,0.3672663617995367,0.33233821248880563,0.39425898077287413,0.3799630977909888,0.2714063725840803,0.31046219049915363,0.25736657356749293,0.19457944330951796,0.255622904639091,0.3199290924330378,0.2584094297955667,0.25055204334751024,0.3339740226177494,0.3725397454675346,0.22448330416613357,0.3124075170401352,0.29528143045726535,0.24994479952158005,0.2865523315338166,0.24713604422845858,0.3012832155667613,0.28279761838700573,0.2223080880489762,0.22690935665312967,0.27068259483720186,0.27363356924850146,0.17773585786869597,0.22378114558824522,0.2909292935235375,0.2592701709198964,0.3609651406631828,0.26136519013896553,0.3062491219645564,0.2801569102954934,0.28196813144751365,0.2511524356376843,0.26626540409245397,0.25277188396132777,0.3130815536196483
