,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.9251030979040542,0.8904811513802997,0.8832033221526574,0.5066713804690165,0.4271092408765389,0.875462576856131,0.8992200795689944,0.4234684586408662,0.9228572088329658,0.47978990663820137,0.40754084438543664,0.855088951041086,0.9058512486027337,0.4223829850223624,0.8897124316231357,0.8933735201818414,0.9143388144833361,0.9054954554239786,0.43931155561153856,0.8961546455784597,0.9177223204987633,0.38255696324301025,0.9103628615830268,0.8647169804078269,0.89855905221512,0.8716831316682341,0.5630031083756523,0.43447223234867655,0.8701993319219112,0.870881666400891,0.49146209919274964,0.917198172185131,0.46243645785706844,0.9022348501089837,0.8530386636413276,0.8737425956506164,0.9010652148568477,0.899322539400818,0.9091761700197414,0.4495198776106853,0.8958390621727476,0.8764295463916001,0.48054093815800786,0.8593473751344833,0.9079588148472818,0.8981984343117406,0.4929687144525282,0.9091294160014869,0.4495918089396502,0.8691965873870661,0.9144975847017577,0.8812629455429382,0.9102468615929433,0.8867069279199484,0.4733663851323193,0.45774132189563216,,0.906995512200606,0.9111815184248282,0.883795806713592,0.9166022702733947,0.8655296658506652,0.48376431745599646,0.49788511846125727,0.4709069621381555,0.8925965782222907,0.8878583389108091,0.9164277471465652,0.9202459509584473,0.4653452073072406,0.8985349986643043,0.4562079502173643,0.46867489351020647,0.8642137288149829,0.8978535141326367,0.913833899114312,0.48369989157319226,0.8911414867285038,0.8801813624985066,0.477015722559993,0.8998212133133584,0.40833335182880975,0.889037437745656,0.9010259460989486,0.9173258479356317,0.9040728135597631,0.9034666477655612,0.49770638190782224,,0.9127905994106464,0.8903627611008749,0.46614184314589713,0.8741321953107637,0.8823797341260916,0.8822755062074071,0.8599190934579403,0.8807115163892851,0.45809309022415484,0.893942999494467,0.5931203473230648,0.9012264038924879,0.8983717839748067,0.8678679717274722,0.9050249640383827,0.4225501797529893,0.9162124103822153,0.8932570069056329,0.9030838519134352,0.8833878750747644,0.3902900685604681,0.9117724045846887,0.8892506238806487,0.875673594384474,0.42307898791029047,0.5420723484077302,0.9088248657910151,0.8519561553905101,0.8988293101730662,0.5078049295245624,0.8879699121853539,0.8896244922082859,0.8843619803392149,0.44430308417992215,0.4793054442818832,0.9084811767065353,0.9012211424061749,0.5289959954142157,0.9054142388645119,0.8769655698277958,0.4786176735191867,0.9031557361719786,0.5684045829408597,0.387072507986084,0.8626344133754583,0.8843838556920238,0.9161065385720415,0.530616460368037,0.8642060624829973,0.9187561197905982,0.46507994098241545,0.4474273911612632,0.89316066126173,0.9144842669815596,0.9052435754252509,0.8261818394030802,0.8979191636282553,0.8919045460176227,0.9067225399801793,0.9053763464282147,0.5234226965885953
arc,0.3033473451823433,0.09486737072666335,0.3442999742621074,0.14944850402736934,0.23966729343652277,0.24364823212035389,0.13711521107053048,0.1727217127997417,0.22950663926190346,0.25260124604388745,0.2668376820587881,0.13996684567333564,0.2321979613893459,0.12156630486270635,0.22745001569528867,0.17195570407308758,0.09178960470493765,0.2132644092938788,0.23717624042717406,0.1553822114317839,0.2865750220183874,0.12425902850790939,0.1363427994105397,0.2857083158064,0.09969001449369194,0.2467251173784075,0.2045864262917142,0.11236889504026404,0.17282964155967365,0.19818129287715433,0.29658665963759323,0.11495642003577125,0.2606457127156474,0.18709971465951436,0.18597061337569595,0.12614374430363615,0.17468040598287538,0.18466268847887624,0.15422667995078093,0.32008725412640027,0.10703156746446561,0.10982214746296357,0.3698481840149639,,0.21397961629735082,0.18569211729858387,0.2423746556233184,0.2578926542756571,0.22819220435220805,0.13666296594753508,0.4535198865836112,0.10142044153598748,0.1449749696258334,0.12202711221824089,0.25695073719601014,0.12997872172004576,0.1834163713842612,0.14104660122744106,0.2684228134656065,0.32855451411020775,0.13472259698594224,0.2905478442039551,0.36596926651715106,0.08919665946000693,0.10943592829518096,0.16737888759878133,0.06580724116304464,0.24220583461129724,0.16620534309384527,0.3260449188003663,0.07332499836953818,0.31633413033142044,0.23914326187909601,0.16665152044302617,0.31097281849780894,0.07837863736416709,0.285806094313103,0.2430917213735353,0.20371217393556063,0.2175237242333947,0.21509939421243218,0.12947275623660978,0.22614551350055398,0.2661051090804838,0.09065849828753722,0.16400959142141014,0.1754766430110129,0.12568140023638197,0.17782439575869152,0.16712151922275495,0.08361512167117047,0.10492774527889123,0.21148743308782436,0.2593476208228512,0.2458892522608208,0.1228560279529835,0.2675939075238544,0.16763469111876156,0.10773748012256867,0.3170795472048576,0.2595520226841269,0.1614865530346753,0.15730175552798392,,0.1710055775496414,0.16655119530659152,0.08378199486145194,0.23722866824369532,0.22571968930499064,0.3234537694878112,0.07641351047943949,0.0902957130383531,0.10670865105857558,0.3600348871414357,0.2511786668313607,0.2201551527195431,0.1291874760317532,0.2933496486492709,0.26244791949266466,0.2312901059550339,0.18220770457121815,0.10840816179828622,0.3610598587194704,0.11567701345805066,0.11750413431496082,0.09213887695043141,0.18351443102097734,0.23802891565826353,0.2922407347159848,0.244590055722883,0.17645426868357175,0.24674853894232013,0.16431749743597351,0.2418759905431629,0.19255807572233333,0.24142268100188763,0.14166968439606753,0.2309022731403167,0.18474235118316729,0.08450462216490917,0.13761908409175877,0.2201907305418893,0.24923894400184843,0.21551979988936198,0.1790488575659415,0.22440044581959426,0.043437043630978375,0.20156102663508998,0.28784410266403415,0.2933902655039595
camel-1.6,0.4144155019366169,0.5186088290107724,0.3952945810463739,0.41021735864606057,0.494269106481957,0.4051299628580538,0.35667325498563174,0.45335915804995824,0.48509705978620987,0.47130460909139044,0.4294857586684864,0.3685506527633645,0.3842776680389176,0.45469018517908255,0.4431604977270971,0.4041041166703029,0.45154364793194224,0.4386916609885362,0.3739641208239517,0.4167196631692017,0.4581846045215543,0.3804410691321486,0.33933385692533574,0.4630518718992437,0.4677640961473346,0.4261535643722372,0.3745720919342369,0.43253842116430186,0.4243123059451944,0.41831066827962704,0.40525166934589296,0.48958192860830907,0.39557439944366934,0.3394472360913274,0.3619239093336644,0.4889736284755427,0.42666122558534914,0.399376693904134,0.4095059232807343,0.39438156315039485,0.4272225102837567,0.3103815262895434,0.44542954718742545,0.4361419459302959,0.37732868734733743,0.484202402998573,0.4117655651074196,0.4319706877947995,0.39317170966760234,0.3741485717306724,0.3841025011150206,0.38827107949053136,0.5355609585846953,0.4611502309837605,0.392736977831308,0.31351065994901595,0.2957307477762154,0.4974787120330324,0.4772484056358506,0.44306665513333854,0.3689450728766183,0.4061874036599982,0.3932476078382666,0.460207813007247,0.4553008198890437,0.4626097690086324,0.39346763806972535,0.3989843329552748,0.4244828649950119,0.4580315173800965,0.4123286192598069,0.40622502374823233,0.4479999130339186,0.44852608576448055,0.4545395488988218,0.4373400704089392,0.3946757314169921,0.3970095366947302,0.42741451875499653,0.44752484454696995,0.4297770371667805,0.4030225764701078,0.3982989008786545,0.40974134224100456,0.4162418614942727,0.4503268811792201,0.41308537278883406,0.4847151157797662,0.42066804553647097,0.40249038284382593,0.35221310715351556,0.35744223637723704,0.45130511287257796,0.427915955774777,0.3868871625114747,0.423838395973841,0.38402127537106356,0.4155878893269013,0.39331914612783303,0.4592516885072334,0.5056942407387586,0.40874968330249073,0.4113016984639959,0.4508273514506775,0.37518836510232395,0.3816262945351282,0.41159684867443264,0.422291315391621,0.36952504011495385,0.4961170300914898,0.4049776995689821,0.4886068596626149,0.4189309171588505,0.49211416342619063,0.4608182149594688,0.42270543962855167,0.39575802131197163,0.4731848387524825,0.466998019535097,0.42372046428458177,0.4226613326648894,0.4261497998360789,0.5069728592437794,0.3851831140705329,0.4469598912076718,0.3920411790616505,0.4698589293573452,0.451498006155947,0.40014071847935895,0.4195859272157434,0.4038778292736901,0.4260458083818441,0.4047375301062521,0.4470542167836575,0.4471262067560853,0.3804378342007064,0.48931368111994555,0.3862357887871736,0.43628760408728495,0.3957432685883371,0.3702583074493637,0.4348316647485331,0.4765292283292385,0.4100452820043914,0.4103869334134086,0.3836511227601974,0.48225411423359943,0.4606659693035172,0.40910418149524186,0.4252851731566837
ivy-2.0,0.3562700898036103,0.2643455732510369,0.20081542958486542,0.41476550695892417,0.3557107967182945,0.4878424732350587,0.28979508949261995,0.20046223319959972,0.35240220457115384,0.2696793435639748,0.20999818126163852,0.33717242834561834,0.4528679148361787,0.3036360599241916,0.3432403261771451,0.32621497440110125,0.41655980956275984,0.3623971481427979,0.22484470573941437,0.4088849255214508,0.21395448845608236,0.2140880022255587,0.34441467062891784,0.42722139186406305,0.3008591092146056,0.2935917882050907,0.3488277955258058,0.3234043040449732,0.3659151782904104,0.3428140172599778,0.34163185717191014,0.384312381742422,0.32295077408589395,0.3748905555249873,0.3234744803126775,0.28376022402313644,0.3800767282029366,0.16126015343089511,0.3743224873457661,0.2779050688284967,0.3747298939748689,0.20465080457297977,0.3123184572947193,0.3147523183477807,0.44209137505131024,0.4339582074631301,0.3013479314102767,0.2181896125144683,0.32445395451293085,0.39426482242216687,0.25809320676140196,0.4405338438895604,0.3021943099615711,0.22488701305600953,0.44306502057028285,0.3458996952860245,0.21792258187603117,0.3764100685662376,0.4198312914788114,0.32454363604106795,0.3457925142526237,0.21271399574040112,0.3444136661302371,0.3854049418613744,0.351921663245255,0.33881573792889397,0.3204713128359436,0.3383368339159728,0.29353289653037135,0.3866382828099062,0.41046429561585274,0.42633943157134535,0.22466607435976418,0.16220090502679277,0.36746677477224116,0.3750604911632135,0.3571027955726986,0.3989581469621427,0.26712041125342995,0.29841143857720864,0.3597241115415681,0.25336146404025195,0.3192102847275458,0.41247810357368053,0.2834091289349851,0.410297689145732,0.35406051039509584,0.2245942928417189,0.28708303729030343,0.3303744207138964,0.21349394617557327,0.2763739229064334,0.47118864172562125,0.33204711423610705,0.3009507356965827,0.4001745865438916,0.12726550136650944,0.34675556938136953,0.29512064776281155,0.2368579452038508,0.2163520456213178,0.2785044041813689,0.35375728549702434,0.40095287303835586,0.27892170621655077,0.20717472013748459,0.3937967992774588,0.22007243740762997,0.3240187306255191,0.41478744085090746,0.3084251831221422,0.45934719758927833,0.1818536806548151,0.31668187990709995,0.32678382778285453,0.37553628606307554,0.15285934440513466,0.3109765150612219,0.43209833462421465,0.43768407376529933,0.35140263002481825,0.36382294744055443,0.20062057985867096,0.36571231424276507,0.25738973235306367,0.18187817457336802,0.2519030146857122,0.3737250676400189,0.24886863077615573,0.46595153912986736,0.2195139281514846,0.26621059595683005,0.3800220668568036,0.46098322263685754,0.24437847681044467,0.3530841338342453,0.3032396741112033,0.2883098125153302,0.2392817475699026,0.5281998238981634,0.35435160643521657,0.24302199156153326,0.33963667051727997,0.19129974949458886,0.3939584690371176,0.2667237043459346,0.2720075155065933,0.3139628532286084,0.27535265070947124,0.3779370153309727
jedit-4.3,0.06464575398060605,0.07459570917306468,0.02819344481996501,0.04282444532464553,0.05834786283082167,0.06817252510220477,0.07768171058994844,0.05282444532464554,0.021895873896074097,0.05426848320968215,0.08997908731393939,0.038400214308452155,0.03750530521121004,0.0032547947486811927,0.0902906693568683,0.023782224536194246,0.1348416708637823,0.02090246034365929,0.05256128742990869,0.10030058999178895,0.047893974863055785,0.04843248247887822,0.06580058999178894,0.013872587241208496,0.12536541490221334,0.07664575398060605,0.06608765292491227,0.05748464820544788,0.057784966726165676,0.05599925244045138,0.05736250541263395,0.03973861099088909,0.09030058999178894,0.010778932132309484,0.10030058999178895,0.034194673198642916,0.09399123439947225,0.07521158242580314,0.028118991972133356,0.06149330005949902,0.08566729341957151,0.11046863097090907,0.019277670718869662,0.0026777222847106322,0.08030058999178893,0.004668816416758285,0.07158756758984569,0.046572879496378804,0.06031581088200984,0.06946725665845561,0.04237303989287319,0.08417561100363327,0.06711830005949902,0.020382716001337252,0.06211830005949902,0.0034276251461203187,0.07866729341957153,0.05599925244045138,0.06580058999178894,0.0647752703414693,0.028377848506916208,0.06359930793656728,0.05227527034146928,0.05282444532464554,0.0647752703414693,0.05345510956286493,0.07523276961004771,0.02833387840007734,0.006166618975820435,0.13545088498768343,0.05252800653197625,0.020225733459254602,0.08530058999178894,0.0628650842270858,0.023951936805078185,0.056872961755664274,0.038900214308452155,0.053372493372693584,0.06580058999178894,0.06693880715632189,0.0505835620875318,0.0798187767401725,0.05181097473447405,0.054775270341469284,0.022729636229836432,0.02506611348594679,0.12446811982859385,0.06031581088200984,0.054775270341469284,0.020916144166344366,0.050570954811766634,0.03907816943454642,0.053094715594915805,0.06211830005949902,0.06946725665845561,0.06179679738164946,0.0657104190476784,0.0533872394534384,0.02147963622983643,0.06088723945343841,0.03783846404831612,0.10178634103861914,0.06711830005949902,0.043372493372693575,0.07470517216939289,0.05737303989287321,0.09306049846873632,0.0680963775375765,0.015045664164285417,0.030815810882009825,0.06168940477425684,0.007351213441033732,0.06312201856321752,0.02108015989635884,0.13545088498768343,0.04461987533591118,0.054635186637464736,0.07696725665845561,0.10030058999178895,0.016022770391391647,0.08210941899288085,0.040800479677757774,0.05782444532464554,0.08030058999178893,0.03695163339283234,0.050570954811766634,0.05145008987148562,0.08910262030136115,0.05477016308917102,0.04895232530546669,0.08997908731393939,0.07015497068015208,0.03698247754867649,0.014373120330413344,0.054775270341469284,0.034737621478433296,0.11213529763757574,0.022074347280252107,0.054255355608497,0.11486187742169762,0.05852550026631209,0.03312951001297188,0.03878496672616567,0.05256128742990869,0.08030058999178893,0.0999790873139394,0.10067894843122653,0.013959142834343038,0.05785524451704293,0.028971543840165093
log4j-1.2,0.03311350575234941,0.10965139684154282,0.1580129656578304,0.14131806350820952,,0.09585175006326499,0.13427663176916782,0.06809429529148878,0.08298771340178511,0.0686658036248306,0.06335169470515338,0.0760137382455344,0.031157190368860117,0.15774273142207895,0.1266740032881319,0.09804588513618592,0.09727003806723153,0.0860137382455344,0.11542248946735423,0.09804876359129516,0.17793783262797863,0.03353107812355283,0.0960888712753862,0.09730407565753432,0.04615901056699812,0.03018298258876998,0.017570786621855235,0.13942814692068295,0.10967098283016906,0.104580232583532,0.11034118022893617,0.09847918462404939,0.04120234779969608,0.14960781078715835,0.1753084451251186,0.04362543560711185,0.015533812597581529,0.11821655836142311,0.10932835971611565,0.13453776348029503,0.143662561115865,,0.15493783262797864,,0.16694018457781196,0.02414608168635184,0.09355436869923348,0.06782185196196733,0.13424304695864342,0.047050488862227395,0.1129891561340209,0.15422973422227026,0.0983674677968153,0.037474382966857664,0.11967235466721496,0.1479378326279786,0.04939281336430352,0.05881435376765765,0.12459684810248071,0.07327076736562765,0.14263770203256682,0.11418613434532057,0.1580129656578304,0.04137031191339908,0.051979685469826994,0.07755435149937107,0.03595980257147232,0.08589072772240394,0.17483632748119227,0.07598420104811349,0.16377963232449708,,0.05397842227561576,0.08840634174881645,0.066719565948909,0.031819619225406624,0.08174364219694608,0.10629040110956255,0.0918524881453338,0.06496536886866827,0.028254815912777217,0.08440151222067367,0.018137124409407186,0.13179748175078562,0.17396288425324194,0.10036850142784245,0.1418629343554704,0.041331799829148114,0.04632835971611564,0.11998877158363187,0.0368565726101861,0.06284800229302186,0.13809481358734962,,0.10139180318175925,0.12521137835624313,0.11821655836142311,0.022420769593052368,0.051713649864563685,0.08763645723131752,0.023953096090852014,0.1537796323244971,0.08964708248955719,0.03585277028487347,0.1112477560912658,0.04247158447721708,0.10764958959460916,0.03217315457894197,0.15057706822193298,0.154257316360461,0.09900069923237546,0.032676997345942635,0.12857220092565963,0.16350299414785893,0.10839408539738479,0.08091395597329702,,0.0941283027186035,0.029639799174374544,0.08038751873020511,0.09109429529148876,0.03393732316915421,0.08575133416540587,0.12775834544849143,,0.02921960386223336,,0.19961296565783043,0.07597230650649275,0.11216781915578675,0.06082332955048176,0.059587442266789796,0.1320891561340209,0.041015859606160394,0.14897363932461005,0.19440939808874563,0.051062019404494105,0.07115496551415175,0.07672101816603773,0.11428803653916203,0.04810011745357613,0.08681274568970314,0.07838062667347231,0.13208290812792772,0.06074914382737774,0.04466166749116982,0.030577669197623263,0.09294033889364278,0.09522406105573729,0.1748852665276433
lucene-2.4,,0.5126328735533825,,0.5487729117342395,0.5356508924498482,,,0.5090492162935486,0.6133039817690683,0.5785263322658925,,0.539331082504014,,0.6395563611978836,0.5191386378637554,,0.5347737815412192,0.5368181121309721,0.5938673714169671,,,0.5075881304643863,0.5804726756972007,0.5423684506434837,,0.5533153486394353,0.5107349251837734,,0.5371942366929243,,,0.5209424637222636,,,0.5886670244117631,,,0.5440904129945168,0.49598891234125525,0.6203805814921639,,0.6010138288532476,0.4719832516633657,,0.48916139958750887,0.6317063756849051,0.6171204497458957,0.4791162784378715,,0.5201913231438509,0.6020199518122789,0.5323141613594472,0.5170163051491528,0.6182402653090826,,0.4842586897466959,0.5808312041653734,,,,0.5129700375177829,,,,,,,0.5466878697044472,,0.5143982990246166,,0.5528882056741158,0.45217567505779127,,0.5278140794582666,,,0.6136991914103417,0.5032796391427132,0.6058199640809979,0.5971391284992791,,,0.5954838849657457,0.4935704946365235,,,0.5355884773318347,,0.515599892506126,0.5301251489318259,,0.5524057690851377,0.5260602810504226,,0.625539079730203,0.40449551742567974,0.563752434658328,0.545266897013686,,,0.5539976721543213,0.6039323575963278,,,,,0.47938856096655436,,,,0.5376125260791907,0.6037702220231356,0.4998919017128708,,,0.5814065700508343,,0.5203508115339049,0.5946711307386073,,0.5109062505287041,0.5508582580138058,0.6260727990779116,,,0.5672903736739501,0.5682458708723843,0.6184327974983865,0.5407517224720025,0.5960155380731713,0.5489901885925248,,0.5854800478499445,0.504719621328325,0.6029346508518458,,,0.5454589191951209,,,0.5461076463511132,,0.4730380638637993,0.4919937216926597,,0.5323605812542177,0.6164056196625605,,0.48975001730565515
poi-3.0,0.5612553793624334,0.6041471028392713,0.6356806488191418,,0.642665617236559,0.5982764641297117,0.6528999619569977,0.6615607389906513,0.5492022012394744,0.5969351496233095,0.591549567900246,,0.5275604220358825,0.6778894779471578,0.6464683585466727,0.6139169588358837,0.6499968609165001,0.5669511037055684,,,0.6134495775264306,0.5788359445406853,0.6142087871617383,0.6085272512453994,0.6020761217183076,0.6146048638245318,0.61921940290832,0.636458956775034,0.6191748217327251,,0.594870829860747,0.6048136023485375,0.6346531429642445,0.5426676169147208,,0.6007943043108521,0.5692085979512292,0.6116068512676385,0.6397791824443948,0.5854810214112778,0.5910515834497131,0.6397493678878768,,,,0.6057656995645694,0.5508024921936066,0.617636735875077,0.6431985620211524,0.6688980610485276,0.6076023200681491,0.6291807767443021,0.6320399876564928,0.6250457856147982,,0.5580389289054879,,0.6414316359590051,0.6227777401234105,0.5776370588307571,0.6088430423197518,,0.6009593256220545,0.6058797310063027,0.5416407168357812,0.5896099465437948,0.6076168029640752,,,0.6384346597509565,,0.5749898016068191,0.5746758415881668,,,0.5774036315612225,0.603314496354155,0.5550831472588076,0.6344089326401967,0.6405780954386604,0.6225109658009971,0.5940475571114844,0.6283901420656219,0.6082757461476314,,0.6390404292151722,0.6131592932900461,,0.5541821621490032,0.6477062889517504,,0.6159131473422621,0.5955450062639944,0.5726106915773259,,0.6210904777400346,,0.6073641163220103,0.6236890053755036,0.5411855592340011,0.5993931969910897,0.6622002389998054,,,,,,0.5958871194818597,0.6516070227349855,0.6717501508536561,0.5971646549657466,0.6084732777040422,0.5563382663834864,0.6260802858130032,0.6266696133904295,0.6100118073146877,0.6278263797606809,,,0.6537611012022555,,,0.6522577120385163,,0.5225213707609981,0.5403582059856149,0.6058602920135936,0.6640488343659507,0.6370572767872776,0.5754280945502894,0.6219397823239631,0.6517888639439655,0.543525004961147,0.644431045423792,0.572125614116486,0.6266246394621293,,0.6023252512369635,0.585737292030115,,0.5677019156590412,0.5900858095887966,,0.6088424291210559,,0.5297934046115639,0.6426958552071835,0.6275918057547739,0.6145749344885775,0.5898261287650617
synapse-1.2,0.6266085069518981,0.8335745023690458,0.8401455132565077,0.48357360321206544,0.8177633552521626,0.8412257609673433,0.8510030382428502,0.7708558427303341,0.4941578297743159,0.8319499953386218,0.8297172601775863,0.8280399181837084,0.5607092618641702,0.8142121974916268,0.8742466242529835,0.8486288167121063,0.8283886739553878,0.85353961991733,0.8111819006352782,0.7918528827183295,0.802058110409007,0.568937672562302,0.8322454659048262,0.8065452197794529,0.8012788897861527,0.6118690011308383,0.8343585455259115,0.8226532642995916,0.8369224671471862,0.5481337040316864,0.8104623556830535,0.8312936147542707,0.806634215355438,0.8348433999045578,0.7730446413017035,0.5201650860110898,0.8270361662403269,0.8393047257350712,0.8489928436673981,0.480949175532779,0.6901799687668905,0.5498439669530591,0.7987249699459963,0.8661438532277616,0.5694677703136649,0.601578003033333,0.7931673911339245,0.8060814659874518,0.8163854727361417,0.8482796568323281,,0.7326202491760716,0.6963498919508662,0.8707004375231503,0.8166678433497164,0.8049224333277136,0.7978098445067113,0.8167162703295829,0.640854539736079,0.6221475847956002,0.7751585668351892,0.8283340477811312,0.7940305165411706,0.8611636880680068,0.5668578755658272,0.8483731886533756,0.6047010644193739,0.8211173753463894,0.8235477370958332,0.7816481625732432,0.7721961299250036,0.8069614659424865,0.7846776338888675,0.8169097175047184,0.6279738029425797,0.8628967340775555,0.7939550398003852,0.8329680446443869,0.5190775892316324,0.8173653164410346,0.8019238858848962,0.8474897117979588,0.8611359647783192,0.8109381413131257,0.6348568282446869,0.8495573664089884,0.8368162839451639,0.7842095778339175,0.8761095029065353,0.8374683187389504,0.5144840929191045,0.5626952150386331,0.605293669028621,0.848170399577793,0.8528975813171049,0.6943812263396593,0.8533543439432626,0.7612206069995908,0.7967012382515849,0.5292651975690928,0.7862087138183134,0.6267659757820303,0.8155212960762058,0.7162746984242521,0.8352242931467566,0.8760957225359836,0.8101567105601499,0.8142453281066152,0.4999257455079003,0.8673590010150174,0.5507312944122255,0.8561604241477789,0.6454665776223094,0.8122697645188002,0.8126301814034118,0.6554199384130307,0.7914363975484024,0.7599624901028321,0.5194756760147946,0.8515556428479705,0.8644397623843932,0.8390238278374371,0.7858440870809824,0.6374642272379767,0.8187110724769113,0.8078739760746716,0.7490141076491813,0.8053064473261313,0.8062049336271899,0.7930794614380812,0.4954602747798617,0.7976332666005014,0.6680578956467427,0.8034988237587686,0.827490481776872,0.7861556575901614,0.8038225226012676,0.7903033081209258,0.8594498236631029,0.6404705726826738,0.8189383503709287,0.8641652492696097,0.7893055216959683,0.5394919523926658,0.8097745342039366,0.7258216220926733,0.5508707457296176,0.8189908584613963,0.8719826352845528,0.8274578092394085
tomcat,0.2712944822333162,0.38356148010597857,0.3437131959646173,0.21301867991218204,0.303821706196837,0.2696040699743071,0.3616751623998278,0.26751838661790805,0.33032259476722453,0.2699273230204785,0.18817015591669764,0.3453741647457125,0.30975973660007916,0.26923308196691265,0.2672007511188018,0.3607450138549283,0.3594155648823714,0.19392405534272464,0.2913710249168219,0.1898124971672669,0.2791519970589938,0.26339888002640083,0.3157313683904628,0.3433806079964016,0.3072936862645761,0.3977646079660499,0.3236914597963241,0.22874216231502106,0.1987256634661382,0.27473858444658267,0.2753877404948816,0.20609719400717438,0.27691987808546975,0.26241131281798186,0.34663493655590477,0.33190058992456994,0.3115038460187928,0.2066558254379613,0.21320205773353798,0.26306166387623653,0.26432230057995654,0.3259729652290471,0.2961772504171249,0.27729906876731253,0.3003414676915888,0.239295498491523,0.3124056708040887,0.360227675055878,0.21093425294518045,0.3228419977290859,0.225981200259266,0.26111286442865067,0.20914283406077055,0.24820004310323882,0.31520889741207647,0.2959047932775208,0.25570172190372986,0.21404715146214875,0.30151591914310516,0.29813784219400535,0.2885797383812193,0.29135201170951186,0.23122705522620396,0.28640450597308237,0.3112927232271751,0.1806190416248827,0.34424491407900865,0.20609064547334016,0.27831675521533744,0.33207037689658836,0.3235089169357113,0.27557841132511235,0.29420179328014573,0.3136368770238253,0.3335863789003981,0.2442285088184978,0.3003864426578547,0.27427906963141285,0.28081679582392155,0.1544967110478578,0.2533650072518566,0.3159235822074823,0.29168753507364187,0.2652348281976752,0.28493485461755014,0.31495890244228864,0.222462418761715,0.3641793548493263,0.2702940310444099,0.3042946873573585,0.2422327178566034,0.28612178670309873,0.2995462824959041,0.2769577619952874,0.2784542074871222,0.23233371222279714,0.18621155581779766,0.33283051793533014,0.31974358799719754,0.2644458440554316,0.3027030744380776,0.274790264704076,0.28531955490880573,0.30075576326995257,0.2767866520493011,0.2976082047351231,0.3275655096631249,0.30000235463068864,0.3259444825570444,0.2926768796607508,0.23525895003631683,0.35583145618358136,0.3132240778153326,0.32156721559424684,0.18650872400568186,0.25178247328701797,0.32422291763489836,0.22133118823207765,0.19960065492497642,0.26475475432858164,0.3895145427185533,0.2690623204409264,0.3036243708704971,0.3071540774779629,0.24987830376801884,0.29634434272078036,0.301683562473292,0.2729348602732325,0.24890077514642298,0.26042590099674934,0.35903370216908465,0.36543210313017904,0.1306083995427398,0.25764725567301827,0.24783536056691516,0.2611619270966432,0.2751400285875198,0.25967691944048343,0.2739006994388076,0.30652601361410386,0.28880192494845375,0.31021746661279714,0.3130094043420575,0.32493601648415815,0.1482132812190664,0.31217300221857236,0.2320236636892995,0.2686729835957696,0.3262564497151762,0.22046303199185113
