,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.8822387032985683,0.8738977400997019,0.8475161974553194,0.8631258179247314,0.8906902249149209,0.8452692262744146,0.9153846229837677,0.8519305788801832,0.8946516509826163,0.8711724433532687,0.8884197233691089,0.7978875315642032,0.9222562897830755,0.9005722178075498,0.8239672015612591,0.8754352197993757,0.842354733763799,0.9219002254457463,0.8894287217948343,0.8978401318141342,0.8958887948194585,0.8443481082941765,0.8537407184019176,0.8692933820875368,0.8698615308348492,0.9011845287108635,0.8842759081303659,0.8495244085273832,0.8701358110437946,0.8184866338913375,0.8926014332888319,0.8730909453789406,0.9105516487559014,0.8777960373482818,0.7955649870197083,0.9001852958111665,0.8450795032156366,0.9046175202169797,0.8775190769527197,0.8508774024967267,0.8635512705177297,0.8602577871133665,0.8961756766762372,0.8485730675159857,0.8616860534544212,0.8313988055243826,0.89274754934295,0.8455958949928847,0.8650357565043183,0.881538219590158,0.8704130231185544,0.8042492671664282,0.9236318615090602,0.8787742737270816,0.8986490036143943,0.8926322791520207,0.8492469577370427,0.9111791266806503,0.8471947721550749,0.8567803207503948,0.8717357341703038,0.8490768985635384,0.8633889624012387,0.8812311125718882,0.8950595929468151,0.8925080539829229,0.9182702602921019,0.8156394614539679,0.8544163846127515,0.8872121864170494,0.9050616662915587,0.889639845686364,0.9061844546603707,0.8136930602370842,0.8574360759496724,0.8893874034601176,0.8711268388934875,0.8643910659282915,0.8544182241514884,0.8900539684079561,0.8742674904900188,0.8754441773441439,0.8348278698702354,0.8890237975556311,0.9076782597729167,0.812791089601838,0.8640760408119108,0.9499911484519732,0.836932879053677,0.8807841720060754,0.8856460766113692,0.8902112680850479,0.8492224312269223,0.8737667586223247,0.8724755476094862,0.8174823439865706,0.8463246026344635,0.8778607250447832,0.8924192946667191,0.936846565004168,0.8841197456916248,0.9000926794497082,0.8694937973770225,0.8527247361236627,0.8373128262636027,0.8888612483493874,0.8924082548943622,0.8625838755999464,0.8914780058873314,0.8347300562981405,0.8983884336891819,0.8572680332072764,0.8517598460526681,0.8346121758279178,0.9300848339581753,0.9011980059110832,0.8003995382852925,0.9213407230958214,0.8804024489149871,0.8490181026509995,0.8854362658717325,0.8266641982763845,0.8618320612656456,0.9034344998110759,0.8853034014500695,0.8576265734978454,0.8899505209033848,0.8744536347523193,0.861614403527172,0.8426180017978822,0.875528559090688,0.8571820180115988,0.8708782344329026,0.8718806017823827,0.8786572522918078,0.8503340442168377,0.8908873529012549,0.8880596746828344,0.8303854595116533,0.8550787709028465,0.9042851764706873,0.8864817731041135,0.8715757107213522,0.8947591873606386,0.8394276120581552,0.8818008766502414,0.8576564268096099,0.903222324164018,0.8786758510230276,0.8787228085091294
arc,0.9708113193172353,0.9014299339448275,0.8487782965433485,0.9477566466550417,0.9359090660498888,0.9245897331687914,0.871824002099614,0.8135349695258817,0.8935195995419077,0.9855072612790802,0.962581852098491,0.9116086789704426,0.869011958702884,0.8108435878845708,0.9748755219862368,0.954129761395941,0.8714025683587237,0.9149061652982676,0.898034004461455,0.9173593694107998,0.8987638275179549,0.8152584029533403,0.9135014983812022,0.9353405509846229,0.9312276540991902,0.9627037945278811,0.9118566134008896,0.8552621181856612,0.8617389100059372,0.9175837643308142,0.9502506920075108,0.9476787521442508,0.9289251206289268,0.8811894431752949,0.9034738416421986,0.8723134750374173,0.9548300767035065,0.9309607135672133,0.8855600516531512,0.9782751520659627,0.9067774843499594,0.8946658238056007,0.9228216553531087,0.9736448531780865,0.929042273239985,0.9436040211748887,0.958130055834973,0.9252514931715832,0.8759802236568682,0.9430051479981356,0.9770995913488294,0.9304390672036937,0.9010006016353667,0.82946801081905,0.8708301787462531,0.8847284255066861,0.8835232823203696,0.8877437490065787,0.9477486059953419,0.9525939972525035,0.7975518779385461,0.9006882182535434,0.9353969909931437,0.9031162790750564,0.859745963474329,0.8985616323202898,0.8488635445867256,0.949318542344146,0.9384770260248754,0.939613434827813,0.8415062913118334,0.8704753501435794,0.9029377597040352,,0.9714350788029399,0.854209310527585,0.9363527369357884,0.9546742371007164,0.8947454997440091,0.9137994224973098,0.9366285086060472,0.8444242134078661,0.9478586942833536,0.8854821032230733,0.9388832006732907,0.9239662790927756,0.8329655433590205,0.8896612996478065,0.9239757052018587,0.9356698052633543,0.8971623757766136,0.8694883080033953,0.9010354669365911,0.8985906689412624,0.9174675132126281,0.9635135587889616,0.9313139082153847,0.8910349627124556,0.8743686181407947,0.9160140595012313,0.8712775666810133,0.8645050874765967,0.9597456561545602,0.8622591210473216,0.9287982130020215,0.9361253767740922,0.8815828237074976,0.9302633885851392,0.9597083403318514,0.8958107469774027,0.9098469067935764,,0.9329446338593427,0.9394632327742136,0.9112140375299258,0.9141833391116011,0.9560387152150719,0.8201779485085395,0.9088819866381277,0.9131498278351351,0.9590932192535713,0.8193731662560535,0.9485722437774871,0.8805837107659158,0.9421554734450492,0.8884806448363456,0.9292173092533483,0.887221078682938,0.9601350714540943,0.9194425353852191,0.9583421448566245,0.9213922443410252,0.8932997103729396,0.9044050491989497,0.9534047695825454,0.9251288959860517,0.8470128760383001,0.8930396905055197,0.906333169484214,0.9347886534663179,0.914915587939213,0.9033523577031775,0.9277865139290771,0.9404007705273898,0.8948995486277338,0.9374292439247842,0.8077110231804958,0.8945334284544288,0.9171108626295119,0.9475121649121573
camel-1.6,0.8097839814549788,0.890206865791693,0.8586963675842884,0.8611943685943495,0.8727682193006722,0.8562388886071256,0.8463537258742273,0.8435704519978269,0.8484414535927427,0.8293488401148787,0.8751633449847178,0.8732747740292917,0.8664956402441054,0.8071312116573417,0.8006659557730271,0.9015795228287862,0.8486857891349915,0.8580802379651753,0.8667735480620431,0.8471221507529704,0.8410774546359874,0.8645655589619144,0.8142336100531513,0.8229978414506476,0.9055573185951029,0.8405536478370534,0.8001527304572469,0.8737166760342243,0.8367168424312998,0.7970494471587763,0.8312124876012003,0.8852197025153264,0.8264587507428944,0.8189202091464085,0.8691312365366555,0.8549981543995648,0.8434975825427308,0.8881592809408736,0.8651568733691308,0.8269392151474826,0.8584388056935162,0.8602072627783066,0.8323835893187341,0.8606870098341083,0.8389442349780084,0.8690574476467421,0.8455203890641725,0.8496918223116363,0.8381565239018046,0.8503313168325959,0.8303605562493005,0.8217259906052563,0.854837943761974,0.8626434024768529,0.8088987396962057,0.8651179801184563,0.800353843321141,0.8235196937377242,0.8590865410654975,0.855454569418729,0.8559591961828574,0.814957826907279,0.8353673166942084,0.8884911618760688,0.8577304458334294,0.8420576575746287,0.8018587069201057,0.86218032310259,0.8203360567769861,0.8514690708288513,0.8134991681142827,0.8691340650591982,0.8422937305295117,0.8787747350739414,0.822141906725504,0.8453823364059452,0.8493479484450082,0.8447391063660646,0.8502395777141036,0.8621982670277233,0.866960469272693,0.8617804931851387,0.8803831126549746,0.8149408794391625,0.8515018336267993,0.8602435051458912,0.8158669331158027,0.8163865781174875,0.8507417377436086,0.8534026495171317,0.9034608699926798,0.8599455955259132,0.7965792241458172,0.8419314855916591,0.7987332330321986,0.8604535751194051,0.8148290191395219,0.8451997657156489,0.8409202355186991,0.869960861055624,0.8832882025919787,0.8332250484545748,0.8284256538784474,0.856388869369195,0.8548178625424662,0.8621185487103056,0.8733867886855223,0.8320647382723944,0.8327036735728447,0.8261536695092588,0.8575556120639902,0.8517513190135797,0.8301779681639487,0.8463379063232772,0.8555867276328765,0.8056281936481646,0.8612825296922368,0.8823527237208795,0.8673340831052515,0.8752297838949566,0.8812175872024894,0.7957168179323653,0.9017170199541882,0.8989190339436528,0.8479867872922797,0.8334595094982616,0.8764123611391317,0.8267617009038708,0.8538822382747595,0.8707206168538718,0.845126089159977,0.8622808215811427,0.8221436975410141,0.8597489040895063,0.826507458731661,0.8674137899665084,0.8852886782784655,0.8920057309916898,0.8206253002865153,0.8177794385361141,0.8826053136868646,0.8051717006505382,0.8796214054583333,0.8007263729360771,0.8021293062944402,0.8813630575690018,0.8200180492383365,0.8774072703635638,0.814338562927998,0.8296849508040104
ivy-2.0,0.9365112962667226,0.96404575592191,0.942411778859444,0.954010011068846,0.9173338550221308,0.9786969060310292,0.9071979868406531,0.9700983566748149,0.9520301328132507,0.9046529529881994,0.950548252192106,0.9326684461521654,0.9527925580844822,0.9240173284636933,0.9680321150118019,0.9384788245898323,0.9610382312186279,0.9714596771138201,0.9542371491781172,0.9063135269302871,0.9415233793749542,0.9508533477278345,0.948332470552498,0.9361711756781654,0.9394450072782683,0.9718279049841497,0.9543500491985976,0.9285583512115279,0.8999943420083107,0.9594630808903921,0.9725337277535671,0.9557013599408504,0.9184707352078059,0.9354443597331972,0.9558145524443401,0.9441174675242786,0.9477015118135623,0.9420152942248224,0.9269992485551565,0.9177819049720873,0.9545754711748402,0.9312134824394497,0.9343755833939613,0.9283835233605965,0.9364222941755627,0.9502348893997556,0.8975669732675035,0.9762299955534757,0.97298058813321,0.9364622980155264,0.9463133739497375,0.9546135348496337,0.9647164691696201,0.9456474566866528,0.9338628074204924,0.9496282824700115,0.9452471220965109,0.9425684001584173,0.9428479675697747,0.9579212310820298,0.9324988025158084,0.911511848925382,0.980327020028877,0.9560189761160562,0.9529362376743571,0.9510736580151689,0.9357664525922591,0.9509232234603787,0.9702256336901217,0.918272289904946,0.9676189738307188,0.9710932673972206,0.9066835013543203,0.9375396353813451,0.945002922968144,0.9431183220812486,0.9170074767027252,0.9691673251711679,0.9673790633921038,0.9594356099965944,0.9147908941302448,0.93812446082365,0.9759137616938531,0.9514840581271329,0.9409718196095842,0.9484398088878331,0.9592212687354598,0.944054194102959,0.9552879302480941,0.9571856388340352,0.9170701236204761,0.9454764954492929,0.9420015523969633,0.9642824227334706,0.9487551239709279,0.9574568811086543,0.9284203585228714,0.9573617542189873,0.9210958504708997,0.9534409788317609,0.91127412534193,0.9166993035852394,0.9740299618593328,0.9408464206805502,0.9582093824673235,0.9399701007935112,0.930448310345705,0.9321390435007761,0.9340579830967681,0.9793515063206065,0.9808099741284614,0.9494310653881597,0.9343790316519189,0.9177875755971334,0.9694896630743266,0.9569985296706207,0.9051856067959826,0.9521087828586939,0.9280471114081117,0.9480101548263546,0.9430194636510607,0.9585148564209836,0.9697042240572418,0.9029994026696784,0.9390763885072473,0.9321094427897326,0.9352763858834605,0.9578919733988303,0.9625021623520307,0.9665827711207835,0.9641474364729206,0.9370353270781043,0.9606510552782244,0.9499733017765948,0.9112116464007345,0.9640927713539847,0.9169268087713129,0.8998511911309698,0.9669243042795812,0.9527379863028629,0.9471387607812476,0.9344178491338213,0.9351191561280742,0.937768560133699,0.9441887718487934,0.9406373256136076,0.9510066437986269,0.9660076107037929,0.9424096641299171,0.9356010402266111
jedit-4.3,0.9893222908394191,0.9927613905252899,0.9954628511750059,0.9817827986842094,0.9779809724261828,0.9939476290351024,0.9947273223550438,0.979357413946651,0.984844396820226,0.993226407568817,0.9950128241876969,0.9938519450529057,0.9905414115888644,0.9494678991151755,0.9945005841348391,0.9958590454648142,0.9790528102383883,0.9919332681321268,0.9837269725778017,0.9977185719621007,0.9803019182161989,0.9899003136151447,0.996946812324571,0.9784538812413596,0.9942624888967437,0.9927814327648982,0.9845943859408355,0.9773807722636281,0.9915119855737413,0.9980438558402085,0.9757558424454773,0.9929040541658778,0.9974505338958104,0.9785937557047169,0.9961801914918407,0.9928022115248145,0.9910283159030853,0.981049955453204,0.9842828137472819,0.9977913171435704,0.9864456374665281,0.9976382157740392,0.9962666918267595,0.9524746367655808,0.997040904309191,0.9525862110010592,0.9937951765073011,0.975772424358155,0.9901795777025946,0.9958892433296301,0.9775529629453283,0.9922935553292296,0.9942120784800421,0.9803377196251979,0.9966157975524468,0.9554342873833475,0.9934268646886881,0.9951529636188559,0.9988688666956145,0.9955858170810818,0.9963061503854723,0.9831668601976953,0.9968580811799392,0.9831356629762833,0.9931396143318376,0.9866001518558132,0.993778931753003,0.9934229712715119,0.9723287727090023,0.997226471706054,0.996386794868968,0.9691315973915033,0.9971642036289189,0.9980871845234043,0.9847892159577611,0.975571009377151,0.9942056509771253,0.9865490017391165,0.9958995792469427,0.9973075761294342,0.9883669043118815,0.9961506827331938,0.9764216444994955,0.9957205415484663,0.9863277323803092,0.9850156252712866,0.9955167154688339,0.9973466531119498,0.9904475042927328,0.9824368368952383,0.9952035803281125,0.9831455627136617,0.9841127424563527,0.9933833951411499,0.9971595782820178,0.988390628125047,0.9836756903601757,0.998345352942287,0.9863277323803092,0.9936769395254801,0.9980063133937844,0.9904827476455713,0.9985366794728993,0.9788831157440092,0.977868831807949,0.9800174010929533,0.9938572429549096,0.9977913171435704,0.9835142066203548,0.9839653378826589,0.9952136851658036,0.9454679018841299,0.9930145379038369,0.9964889140489817,0.9967033315989474,0.9779398561411075,0.9923692585189652,0.9970507857321158,0.9981155801821191,0.9747350927099679,0.979016714738296,0.9935529409505474,0.9811266291283933,0.9962817706792861,0.9936610665096072,0.9914437911446246,0.9921426584404699,0.9874110657136426,0.9966255230404044,0.9825016200683415,0.9952868304113627,0.9821798516742959,0.9906126006873677,0.9828844003500207,0.9903877031710365,0.9980205061791185,0.9950515362937156,0.9859230795024423,0.9875040485589546,0.9821874950846767,0.9970718795271748,0.9807983956303701,0.9933668244102936,0.9826147622269772,0.9805883170480545,0.9919505667530918,0.9947881050865732,0.9851738331394535,0.992171363370222,0.9819725522774583
log4j-1.2,0.9710221786344226,0.9190667170708406,0.9680353118426779,0.9103073185745999,0.8866808725474846,0.9304673380820702,0.9750017317166844,0.9427305897355656,0.8434998632970313,0.9325368515039167,0.9784981356839092,0.8771490920006663,0.9116906841127821,0.9744635705758147,0.897921061528746,0.8894149173320395,0.9472302770401311,0.8562249641472928,0.974796903909148,0.9416564787629353,0.8842122032127656,0.8925106657014151,0.924268235729566,0.9260244817201662,0.8823219968464281,0.863197981197041,0.8904027222100882,0.982777011892887,0.950356225124429,0.9204321117421962,0.8510743624939726,0.95030738341774,0.9455238486803008,0.986667518627434,0.9418509884894092,0.9524231953482989,0.8487295853885256,0.9546452362184786,0.8123310854458174,0.9502644312685548,0.9201588197710638,0.9588071316786786,0.9136234568764168,0.9248957905011741,0.9087993394140714,0.8899386594436354,0.9607892749885205,0.9558530102020963,0.9903955640578388,0.8325866188454042,0.9907710861965188,0.9815133207671302,0.9657171300244961,0.8892911769559134,0.9591425085994214,0.9206716402838845,0.9792420381229336,0.9102871305996932,0.9367398663355507,0.9246748635316343,0.951509468724046,0.954408565757652,0.9963919777385759,0.901014973484588,0.8394778042334158,0.9773870245727981,0.9229630366612089,0.9410581158679698,0.9684452555574996,0.820564784489601,0.9534731484319907,0.9288886015425659,0.973022804025292,0.863599853176433,0.9228887455487589,0.8844656964514132,0.9933522160454125,0.9592793101091369,0.9961480752995515,0.8966742435368205,0.8718955294029933,0.9713705055793479,0.8700501728625148,0.9288886015425659,0.9935405629288813,0.9555159626282068,1.0,0.9337813808986708,0.80465790203835,0.9642042822858045,0.887331555453344,0.9639621989246022,0.9937643682207224,0.9457305897355657,0.891545856200379,0.9697019785093446,0.9603810678291497,0.903502649924748,0.8123310854458174,0.8986798550158857,0.8130749878848418,0.9979993746091307,0.883586655589706,0.9244769950917272,0.9017461264478599,0.9193744930893843,0.9902710861965187,0.89754663460781,0.9874357555897898,0.9149439250480486,0.9268662927859028,0.8490596897767549,0.9186137023928271,0.973707473014839,0.8889133840187676,0.9732669720625016,0.9715213883704745,0.8862128286036349,0.9283669181767722,0.9504458238792117,0.9512421818020358,0.9587598650672312,0.9220919858293903,0.8802330212645434,0.9376949143167028,0.9141189270097333,0.9452469131237651,0.9727789015862676,0.958994904499028,0.9024669353766347,0.9036203080533876,0.9391194593369,0.9982169612586814,0.9296325039815903,0.8906344540040686,0.9636901888441531,0.8658669181767722,0.9544988760562421,0.9876362401652744,0.8937217940123887,0.8984398099332636,0.8606175212322533,0.9714125047497545,0.9334562699176001,0.835585007743948,0.9590287831410274,0.8347166106281002,0.9300831947681187,0.9644604070726512,0.9533486821576838
lucene-2.4,0.7339689861043762,0.8197781975799097,0.8699729425109883,0.7220191079560583,0.7672543275317454,0.8309399509751384,0.7520993252853642,0.7503269684927166,0.7722233046052633,0.7754780008474629,0.8387056338536212,0.8196197922530013,0.6884374386330164,0.8202117750425452,0.7146184126668208,0.8012723985113774,0.7592178657655685,0.7862760863842184,0.8074094699838277,0.7589431090327593,0.7279308144122673,0.7201242037827813,0.7914924919994136,0.8491318268573126,0.8154292713353827,0.7405626818927705,0.683257293794928,0.8288442597233996,0.6771547102315726,0.8436520632710525,0.7846460961373356,0.7061131207259761,0.8550526379154653,0.7825921239057891,0.7778878208153426,0.7488474276695374,0.8130336562611283,0.8230190469785277,0.5831702395683809,0.8159936774120811,0.7251519389008818,0.8538910077744304,0.7471602283559657,0.672945027197568,0.6836396097492043,0.8867237557163385,0.8563405017127311,0.7189426761084432,0.776268103927899,0.6932757710460499,0.8718452976967178,0.708345340932736,0.7214492452191843,0.839869263104019,0.7938675755822933,0.7882293032973426,0.7952121035159977,0.7170855045420055,0.7746730938137389,0.7330362807800946,0.727114211539149,0.7591368207002214,0.8201082168821204,0.8492124056627885,0.7986739960739316,0.7541807729237036,0.8307966358794786,0.8083837756131222,0.7913410588171161,0.7155560193684689,0.8045763190511621,0.6968853162698817,0.7134124035986573,0.8805559996382275,0.7448699762796848,0.7178268154737014,0.7989323640798762,0.8549523188527776,0.7570577954500112,0.7423659697523334,0.8404264364427405,0.7784373317044905,0.6805501514278706,0.7503178780928663,0.7383974499325748,0.7506389931753084,0.7555986500101445,0.8487301068851458,0.8615872660016821,0.6943314244521351,0.7111080372920991,0.7644172248457957,0.760180721312318,0.7553059956758499,0.8732827786300585,0.8698952643762091,0.6576513064003168,0.845001631031405,0.7875775178209948,0.8275616719674488,0.8051607235604672,0.8044312251750407,0.7952938812348987,0.8380123862684434,0.8052681002828628,0.8176482797267459,0.7217906000073733,0.752280216145076,0.7130272211971106,0.835052190154763,0.6698408468684224,0.7827487867330837,0.800805731142926,0.7841343344116057,0.8625954893102578,0.7638064806985495,0.7687677915547418,0.8187474880774479,0.8412417669803055,0.7637087135724075,0.8555784070703247,0.7179613603350722,0.7586012103507248,0.8478764180792833,0.7228895244874524,0.8080864445934238,0.7824591211331611,0.7839457984823254,0.7881213577406168,0.7198333134983698,0.8169682200561383,0.7461911002839018,0.7811073291159211,0.7350916723424433,0.7325224379431015,0.8049132075301934,0.7915159494511336,0.8215571332958347,0.7598904368425557,0.812147522279651,0.7689758708343087,0.7935117243505183,0.828036452444628,0.6611537504239491,0.7632031395960867,0.82469719845665,0.7515770539322352,0.8168476073497453,0.7918498628815681,0.6502055623264864
poi-3.0,0.8686676057742573,0.8984404759841392,0.8940550244444408,0.9301535748017713,0.9430165333687768,0.9106675144908601,0.9229604568072798,0.9428293260781104,0.806785687593072,0.8663475854471019,0.9265486441224986,0.8586816712961219,0.796934118447432,0.9642154242323333,0.925948818929333,0.8926855542427488,0.9526138572530128,0.883938806840896,0.8954394878473126,0.907069231617603,0.9067256014798477,0.8264099906163289,0.8990053903906574,0.9002700885419976,0.8982707622270162,0.9181472569609117,0.8675088550238556,0.9229648500732105,0.9010470580761849,0.8147144560425295,0.9015770499993017,0.887459091316644,0.901230584561187,0.8195222329380903,0.8984120346283455,0.9422712219494731,0.8429488016652507,0.9188456794651985,0.9437793792196083,0.8281667303874943,0.9381874286702234,0.9128632830512265,0.8645287797118679,0.8870820770525343,0.8894383109008508,0.907100056574349,0.8266644828124626,0.9069353297089671,0.901538157277698,0.9573824149751471,0.9300809312779098,0.8680104546203135,0.9077135277195867,0.9209363932401857,0.7824745869293069,0.8598286629339357,0.8743925941793725,0.9458340272863763,0.8878670200528053,0.8896927750877996,0.924040119774071,0.8756355638972327,0.9054079382638109,0.8894884515190838,0.8087440035733813,0.8930182246176375,0.9131627755652514,0.9091329528495244,0.9135019423636456,0.8878796988041162,0.9315334586072268,0.8884789120012675,0.8931397624189259,0.8775109239842042,0.9450846144306669,0.8871317803665384,0.8387253788210032,0.7976758103212628,0.9530908809026295,0.9361875534530588,0.9405512807579374,0.867331881657952,0.8900287950279306,0.9102701668925113,0.8244340273596368,0.926771871074569,0.8896021894022851,0.8636538974029156,0.9185013304331772,0.9373971879503554,0.8874027769443662,0.8987363179920753,0.9017897200541332,0.8570825761020313,0.9088015832210359,0.9116590667351895,0.9073336470702975,0.891006997890943,0.8862907232441966,0.8031816273084319,0.92507284331197,0.9055954290219873,0.9398448887579294,0.8840543391151718,0.9292814825598235,0.8847080386181232,0.8194449980669564,0.8732619304242802,0.9597387175611225,0.8924822533531775,0.9234028364915756,0.8782648595168396,0.8557975521261264,0.895371388533385,0.9141225850983103,0.9259535805133476,0.9272458079139495,0.8333982284414567,0.8744903860397125,0.9341541989971298,0.9193418674614842,0.9006951063576298,0.9414846303679076,0.9093296217752509,0.7686164561486509,0.7959987248321024,0.9072142322949,0.9110146812305542,0.9499367181515783,0.8767094421395707,0.916000521259283,0.9513528376975029,0.8811563470228367,0.9292621960908046,0.8632901554948329,0.9261932909590601,0.9198896826151076,0.8733432387217784,0.8975655004419032,0.906948340627867,0.8928143198730945,0.9145162845573029,0.9174314063916515,0.8647977389305219,0.9406101857995315,0.811282525559798,0.9267496314421102,0.8920899466246667,0.9090085971709236,0.8951408653420984
synapse-1.2,0.8491357917883731,0.8581865742920483,0.8582161539444166,0.8256365140296456,0.8311864573373559,0.8656433409436932,0.8754703908578989,0.7787937319260363,0.7503652576972185,0.8395247603682402,0.8723088883097325,0.8106243995399505,0.8491243178957897,0.8121161987589307,0.8888867641167489,0.8866246662209312,0.8296617115080783,0.8240569847391483,0.8862804485596136,0.7565349706247122,0.8080986533524142,0.8673079603939624,0.8709642988298845,0.8295257842101136,0.8124234078260659,0.868166664423881,0.8543695641892053,0.8367602098434237,0.8083179773169373,0.8105848526524848,0.7574355611542024,0.8351704904348345,0.8703140361553577,0.8633990469329026,0.7756173883439906,0.7652793907796566,0.8376019283342472,0.878231217326764,0.8725358646689194,0.7981049887399588,0.8970782755449125,0.7796554281093385,0.7772022660227589,0.8688566776161502,0.7694625199853226,0.8345063754531894,0.7622845506156204,0.7879547779978133,0.8829455034173149,0.8203786380709763,0.7641549676487575,0.7338465947865375,0.9202154446679127,0.806682057711534,0.8686515904647425,0.7522495942848026,0.7968082056635384,0.8069479980530666,0.869917490774761,0.8494600719600816,0.7537488416513093,0.8161110984302563,0.818247645274987,0.888017056452459,0.9006239155722399,0.9102517307366209,0.8827488723209618,0.8438403658496908,0.7691364736101098,0.782820854897476,0.8078562597682791,0.8528879585796272,0.7948520154178949,0.8483774712181642,0.8307610984870016,0.8707525962221604,0.7838543138865104,0.8673772917685854,0.8086861781345442,0.8258680460042036,0.8273014552831,0.9035728391158402,0.8185298115450086,0.8047079189139617,0.8482663165338542,0.8971356531981017,0.8284846841966743,0.7484083144849321,0.8933119260264589,0.8853703648986535,0.7993532575739799,0.818466342606567,0.8152116219730062,0.8619473741212925,0.8299747863924597,0.8695799236828325,0.8781623099037593,0.7518682734264146,0.8169354879288391,0.8059814418604079,0.7832763192695689,0.8755077679868298,0.8279241887363664,0.8838961485807759,0.8588749251621425,0.8905001333480763,0.7892268191790943,0.8388543065254308,0.7920272839739502,0.9174908879204405,0.8614622285311889,0.8670464271845428,0.8629081221114985,0.836769812752789,0.8229898216739143,0.8361519898559389,0.8376208035701342,0.6987309105321481,0.8272944259756626,0.8424000076704803,0.8874182762402478,0.8858429433124027,0.7967567007536528,0.890995036166728,0.8110139171554478,0.827999745915347,0.885462827387904,0.8541798181561211,0.8173858978515388,0.8143256045551208,0.8156786912083251,0.8584804533727344,0.920352190268625,0.7828444055965196,0.8552958323727081,0.8081032562464232,0.7927387516995202,0.8103873214006639,0.8649860092656031,0.9098520700792522,0.831458262636132,0.953098262634144,0.7931832635990357,0.7339237111038892,0.8067836693668604,0.7357164570046794,0.8846929974367478,0.780100860360478,0.9598379286769703,0.8515226006421713
tomcat,0.9537865939812549,0.9491537651515065,0.9617229552334832,0.9618288083369146,0.9638156798302395,0.9637577639196935,0.9463952381357741,0.964153880839337,0.9561955729663785,0.9580017864005403,0.9467596209404175,0.9739826376038755,0.963328238127711,0.9660671516216963,0.937244459073899,0.973285630661048,0.9483941097444211,0.95258538388648,0.9412084850025699,0.9524075857894942,0.9790901750208941,0.963063396532051,0.946705664856212,0.9545421099497269,0.9458510679699101,0.9645051770899982,0.9696160706131642,0.9320714827829331,0.9627953436801964,0.9620633424625227,0.9529463846278408,0.9648498801556019,0.969222057184167,0.9472834292978607,0.9398807543053368,0.9593917503428773,0.9704171007781419,0.9655889632111744,0.9387235015930661,0.9423287261045592,0.9644277384080366,0.9720994864509338,0.9207071028148004,0.9596377933348913,0.9612209487106201,0.9579988450249042,0.9469968211721225,0.9608121619374042,0.9436488224064753,0.9470980856838713,0.9494194960332274,0.9499275388970816,0.9559122195087573,0.9700572901145588,0.9598584421142551,0.947770288103091,0.9331549475795964,0.9492996844055291,0.9700551699726444,0.9691768967896371,0.9754353232568393,0.9523809160123438,0.9593943512343486,0.9493462689496863,0.9544239599043045,0.9464370981551391,0.9466167603217197,0.9571519817052394,0.9573706910944739,0.9761472514267574,0.9554884652537061,0.9664374444601888,0.9644497785027825,0.9390150072899939,0.9735989980583686,0.9581337458610761,0.9443448428999028,0.9665285843510882,0.9648002069548764,0.9577713229161577,0.9596834958400418,0.9377338654269063,0.9568491782954025,0.9627886456025547,0.9615833079861928,0.9519156783609617,0.9359919428781587,0.9703622632340887,0.969644256022433,0.957893747838475,0.9518245904939233,0.9506252245794664,0.9530974376190631,0.96783156481005,0.9529777359780245,0.9637701049962694,0.9632076481026173,0.9516109553721157,0.9542856451150381,0.9575848644923508,0.9518634685528691,0.9598306885782706,0.9609470740109369,0.9592140610194746,0.9592885819249923,0.9713039563767477,0.946733630377858,0.9642946222074597,0.9639624157460989,0.9406571019996903,0.9704516858920724,0.9364311455756578,0.9455114389109838,0.9544541837744216,0.953231896180208,0.9578017682569958,0.953784780995022,0.9462712528845253,0.9779811855626916,0.9533757469817123,0.9757294514773782,0.9536492752817789,0.9635313888098529,0.9649340913163811,0.9338178307871232,0.9589543722594251,0.9478752158795385,0.9378447464948044,0.9772841133446628,0.9504603693350521,0.9749935889320613,0.946334854051918,0.9484508677279648,0.9604553548413404,0.9594857547314783,0.9478687875542249,0.9577169957254382,0.9778025780006203,0.9696576558653016,0.9523117419689381,0.9598388124967547,0.9357302712728337,0.971614264455159,0.974745340000553,0.9556384046445049,0.9499394602418457,0.9575740286231758,0.973002762215464,0.9432096762983545,0.9469132740407058
