,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.925747886417033,0.8884121322990646,0.8848036350286892,0.49974647002858,0.45332102693000287,0.8847329763421136,0.910101893465807,0.4266923458647534,0.9261837520670912,0.47850463941101323,0.4193486475027363,0.8659938888745264,0.9163556530609935,0.433153581207349,0.8907114536803169,0.9044420153340242,0.9132967350183756,0.9126058794190419,0.44559114132373295,0.9049940153408379,0.9231590441231421,0.4091311576785791,0.914945420790642,0.8659053809497501,0.9078132423103911,0.8780816244339162,0.5459641133722609,0.4280886039260532,0.8753419915680888,0.8807664340810968,0.5138666731888586,0.9263654867785103,0.47279813281781463,0.9104342057768755,0.8570688122018945,0.8776729161029091,0.9025771591494551,0.9043766576455357,0.9145388225246989,0.45836941885323784,0.9029191826890111,0.8872942760023357,0.49529042194378065,0.8613737789086342,0.9100499453342121,0.9005994930735036,0.49854319552700926,0.9171543781707735,0.4572158867422051,0.8816832015276936,0.9247601312103646,0.8807395691379383,0.9118725410611837,0.89977707486529,0.49806539051863125,0.4819945516484077,0.8315729684150105,0.9198166871558953,0.9170985865871486,0.8863901048042426,0.9225867283360742,0.8732532569768999,0.48291176760921034,0.48055519887814063,0.4839918161588152,0.8960905338402472,0.8961905984751606,0.9155570483880122,0.9274473181437919,0.4776150324879984,0.9191809094311888,0.46464696449698295,0.4617381139155321,0.8632757875085758,0.9071440055183082,0.9267536905117463,0.4758939879251834,0.8981835165584148,0.8857285072347727,0.4963374171364864,0.9087936753346628,0.42529143500530314,0.8868704620643453,0.9161921091843988,0.9201857167124932,0.9060515135391314,0.906224372557233,0.5234152795247156,0.8792857696467267,0.9121487530017486,0.8960899269073067,0.4877344458407502,0.8720870681407765,0.8871209088146945,0.8880748880331965,0.8650120842271409,0.8887258129774541,0.4783993716308872,0.894386114718472,0.5989784918059233,0.9059000506561679,0.9021412389397347,0.8734926194524499,0.9090602927693892,0.4458754227186104,0.9217431772450889,0.9041913770398412,0.9096297864116456,0.8891002768637545,0.4008742628802046,0.9147818029591095,0.8948295151544182,0.8778299814478109,0.4239391663128883,0.5790295511610247,0.915265963144426,0.8615292616734302,0.9066181288138658,0.5011128142324471,0.8953880367382929,0.9052387867513156,0.8867424507227535,0.456142067737455,0.49277397319168953,0.9193223541744504,0.9059686920117663,0.5359287423651855,0.9121140205033982,0.8765245465084314,0.4807511172497674,0.9041757195513254,0.5652619371820667,0.44100694581589023,0.8684264762819882,0.8930357241408476,0.9245059559456263,0.5242377471212417,0.8761855355769474,0.9205043513083206,0.4602070099764292,0.451868719515285,0.898842750256558,0.9166422018293071,0.9053972206412575,0.8298221324241801,0.897310223845426,0.8947480872472326,0.9155954765047264,0.909582549438073,0.525559632637296
arc,0.33746589330089144,0.1147245135838062,0.3442999742621074,0.22277607989377168,0.2700244362936656,0.2536482321203539,0.14550121950653888,0.20517677379070925,0.2279681777234419,0.323452750380782,0.29708371380481985,0.13774462345111343,0.2491106598020443,0.1345333378297393,0.2867047054499784,0.20996544988283344,0.1670820601854736,0.27088586910341905,0.2363984626493963,0.1553822114317839,0.2938766093199747,0.1528617036105845,0.22896718319668818,0.31739879199687615,0.12404715735083478,0.3053588170121072,0.19705019440765625,0.1843302980272582,0.17282964155967365,0.21531172765976303,0.3251893347402684,0.1560675311468824,0.25710623367616836,0.2237967480183124,0.1831134705185531,0.138200887160779,0.2227116525141219,0.2065198313360191,0.18178638048416565,0.349792272288315,0.19631969394067258,0.12076659190740799,0.357991041157821,0.2797292241677838,0.22969390201163653,0.22227148237794897,0.24746456116674687,0.29697242389133327,0.22201573376397277,0.15657566436023349,0.4862053434877333,0.10142044153598748,0.2153725165233803,0.15492465911578776,0.24628010227537528,0.15095573321429862,0.19994970471759452,0.13568016583042097,0.32487249095119053,0.3477825842856463,0.19100087014037634,0.30079387594998686,0.3721597427076273,0.1502538023171498,0.10968487934413203,0.19088286305537638,0.08683848769429117,0.2787851996906623,0.1962053430938453,0.3339638377192852,0.07332499836953818,0.34919801438338494,0.3171406547832346,0.14885266262654823,0.3410137220387125,0.11220976822161373,0.3131452633140367,0.2579964832782972,0.21890265012603682,0.22028562899529947,0.2579712641725374,0.16476312842386473,0.2079117472667877,0.3183718505089899,0.08970611733515627,0.18300959142141013,0.21475380457493914,0.12087602140468737,0.25085564228993806,0.15751459256027678,0.13690516496121377,0.1385145473656933,0.22815409975449102,0.29731034872102796,0.2745474829190515,0.23231374507246533,0.2895066059365528,0.20176512590137027,0.12673748012256866,0.31910335672866713,0.2712186893507935,0.180190256738379,0.20281111516148542,0.1445931992304007,0.23258450342196033,0.16722828360575992,0.11298668824804581,0.3259881388773078,0.24341760250290384,0.31445376948781123,0.10609677166270066,0.1588750781177182,0.2517799360041104,0.36961425222080074,0.256503342156036,0.24934562891001932,0.2547491444675635,0.30914360692223525,0.29880948199557716,0.23033772500265293,0.2122389511024647,0.11936303010799323,0.3714010158719866,0.11067701345805067,0.24413855544938196,0.09880554361709806,0.21351443102097736,0.24740265303200093,0.3323176740601655,0.26025672238954967,0.21067200505348205,0.24674853894232013,0.18014437786303947,0.20187599054316285,0.22345562261988022,0.2680020460812527,0.17578631570077932,0.2906665900927141,0.24113124007205616,0.08450462216490917,0.2462296957023704,0.21305957631953742,0.24103381579672023,0.2570886281199549,0.1702636427807267,0.27581314423229264,0.04267285966679441,0.2705271852935981,0.2983164266363581,0.28672359883729287
camel-1.6,0.43441954511315495,0.47675566051380025,0.39824025608262054,0.4289619667125525,0.4980008135887228,0.42806133576110156,0.362208879548796,0.4515914841394718,0.4779342462049636,0.46742372387870107,0.44446822004246334,0.36751819615403203,0.36910652838487645,0.44701303043874885,0.4450985285218212,0.42929175869136504,0.43730823559074283,0.4292415039358604,0.3802446628302201,0.4178899029096381,0.4616951997915438,0.40790043595230635,0.3404716658056681,0.45827799038463946,0.4682625804354974,0.4140030946471229,0.4144013161726251,0.4214930140636554,0.41727639525740107,0.4164772076981311,0.38597138728028985,0.4834918008964765,0.41870154396168346,0.31304060731817707,0.37332780537706506,0.48489059208319263,0.43156019243698546,0.4066007301473814,0.4255307113358766,0.3839497052848156,0.41235520411486587,0.3304561127154169,0.4771501641946558,0.43616359308308406,0.38828044623525604,0.5039296890149739,0.4225387883694886,0.4115654874375169,0.3636215853509389,0.3856177527404814,0.38484916012389164,0.4118100324043662,0.5025677352337743,0.46336206737910945,0.4111057190231039,0.31643853352961987,0.29074761490676826,0.5092650873203242,0.48908086236377296,0.4446017912533433,0.40399830746104903,0.37940769844041305,0.42090435316878605,0.45393760191975757,0.4439406597499612,0.4776376144354634,0.37574108528544903,0.41270011215921726,0.4341842021330635,0.46035554666676864,0.3987056803400137,0.41214541113579894,0.4559286337966006,0.45876111768021277,0.43763369981825584,0.42786686954354103,0.3793590812098715,0.3996174497933584,0.4335941565565296,0.4670050716400254,0.4249388675931829,0.4274517830916232,0.39990299312827304,0.3937094719969039,0.3996098708074324,0.43693219479401246,0.3899824550993104,0.49019301685489014,0.418868057253379,0.4391580073555376,0.40207606680614977,0.3716970349908888,0.4437626853966773,0.4296916269804774,0.36940498160079455,0.4249696534758489,0.3515376797141751,0.4229263569332002,0.4038678988828052,0.45632640881944675,0.4841954813567312,0.41024366164718784,0.4047133966651335,0.44187482843173304,0.4057098830056968,0.3849113740411747,0.43099322887473346,0.42724206417215205,0.40677279350414897,0.47179333182305605,0.4101823009572849,0.4584550022828027,0.41585238443411565,0.5062930036225195,0.46789874109999374,0.40689454332639385,0.41698284394414836,0.48006856906070955,0.4798680075623564,0.42134391294730944,0.41153104437339294,0.41032888991528527,0.5053898599624178,0.4092625765744515,0.4411941881750141,0.38662349072652513,0.4407232851969155,0.42299811314816377,0.40117059916795783,0.458267532074791,0.3910241385221072,0.43438292873214523,0.41870109421775087,0.4485310951937611,0.44887853432511027,0.39822598458432046,0.4906829125979516,0.41380902029552713,0.41915217723113485,0.39785348090742323,0.4174597381778056,0.4224352634084429,0.49956672197576335,0.4060190545044924,0.38443631435942793,0.42682210054426173,0.46259593871178495,0.4533722037544375,0.4002291549109047,0.4305424979897834
ivy-2.0,0.3787877469146605,0.3164200739137729,0.20237098514042098,0.4240818750892309,0.36217796754030396,0.4819783916119027,0.2894160045252997,0.19386347262513576,0.37739543207397214,0.2899757416103729,0.21662123304645503,0.34889465056784064,0.4884079808755202,0.3124740649143705,0.33490699284381176,0.34865300858913545,0.44162135910207456,0.38193496326884835,0.23846188594482987,0.39207107865977786,0.24685971154173533,0.22124120087875734,0.3841790597308177,0.44865113826947806,0.24858078677451845,0.3117951564443655,0.35345036552953024,0.3219158088237193,0.3792028850475325,0.34495869888741804,0.40026623853234045,0.37588920347141763,0.3469829036172989,0.3757647923992241,0.30818334646783524,0.304093313303897,0.39506514554790484,0.16267324331018268,0.39793552895350603,0.2717145926380205,0.38638283381971156,0.2627555054276806,0.3324171386029914,0.33326090126812835,0.459027825997352,0.4253637988936135,0.29567146082204143,0.2996885179833014,0.34641861031131155,0.39019736210470657,0.25886922784177085,0.46708633798260246,0.2665786859341824,0.22555367972267623,0.4528750579535521,0.33261503756328625,0.21542258187603117,0.40077771313582233,0.4360807168900015,0.32793846896648565,0.34668052479280814,0.21260767390132065,0.3688529213194923,0.3905190099038106,0.38165250673798956,0.35879941330008003,0.34221402274041823,0.32722123695254973,0.3247701633352505,0.3983050823502351,0.4473927251330313,0.4324759699481714,0.2651202542331257,0.1590616460812458,0.3695483695060098,0.37700792246548354,0.3448790902210733,0.4238264033869501,0.21732886130011525,0.31828048619625626,0.36605587071358164,0.3400683979943109,0.3211434708224966,0.410745096033747,0.27271258365020457,0.41775840751176296,0.37371221979680525,0.2154318683976875,0.30768621189347806,0.35598246247271886,0.2290324077140348,0.3104028661853767,0.4708499288599547,0.33410938529837814,0.32272113104713585,0.400628550738265,0.1237270398280479,0.3569076558569855,0.31219855841425165,0.26831919324821907,0.22107426784354003,0.27594173344872236,0.36728109502083384,0.37863558702324374,0.34582936636401135,0.2567516432144077,0.4394947637196081,0.1834975774286559,0.33224095284774136,0.4061009329143995,0.2909765851922095,0.4564527942664642,0.20727473168392244,0.30249482730828264,0.3873158986862809,0.3933452352837895,0.21765079140332735,0.3217247690190666,0.43739631997219997,0.4142225922942271,0.3851285315742492,0.377278060415531,0.21521632058900245,0.3522454100897995,0.29758995547464223,0.20426021176031206,0.25694459843261785,0.375420581787707,0.27656826447578947,0.463586459764788,0.23812503926259573,0.32972962613706186,0.3928528730383558,0.4452369067191861,0.2292673656993335,0.39938669243814107,0.29040891683359393,0.2849805834323927,0.22999416587055618,0.5379315088798484,0.35664881758726646,0.23931909301080864,0.3783066197978637,0.2080900784466825,0.4046886277672763,0.30257152525567504,0.31820251536866667,0.3475080798216611,0.27143201578883636,0.3664578742949056
jedit-4.3,0.07247908731393937,0.08865790106613894,0.06529041729193746,0.04282444532464553,0.058076890282972846,0.07714052932020898,0.09713529763757572,0.05282444532464554,0.04782444532464553,0.05278496672616567,0.08997908731393939,0.0646077696100477,0.04496165441755925,0.0032547947486811927,0.09030058999178894,0.054145753980606046,0.13850833753044894,0.03248247754867649,0.05256128742990869,0.10030058999178895,0.047893974863055785,0.06666134103861913,0.07530058999178893,0.03205487717349842,0.12538636885865115,0.07997908731393938,0.08288899047624981,0.07041167725747693,0.057118300059499014,0.07280058999178893,0.0635291720793006,0.06733396008623817,0.09030058999178894,0.019015194633815888,0.10030058999178895,0.03950169074250255,0.11163529763757574,0.07521158242580314,0.03895232530546668,0.07696725665845561,0.08428634103861912,0.12496863097090907,0.04913392332512227,0.0026777222847106322,0.08030058999178893,0.004361124109065978,0.09913529763757573,0.046572879496378804,0.06601090745210642,0.07530058999178893,0.042356233170184124,0.10212669178559639,0.06649330005949902,0.03256128742990867,0.07446725665845562,0.0034276251461203187,0.09067894843122652,0.06696725665845561,0.07530058999178893,0.07746725665845562,0.04880742688946997,0.07788899047624981,0.06696725665845561,0.05282444532464554,0.0647752703414693,0.05345510956286493,0.10213529763757573,0.04913392332512227,0.006166618975820435,0.13545088498768343,0.06914575398060605,0.04131107896644076,0.08530058999178894,0.07946725665845562,0.03456304791618929,0.056872961755664274,0.061103190855468954,0.053372493372693584,0.0719672566584556,0.07280058999178893,0.05002800653197625,0.10404005954233764,0.05181097473447405,0.06746725665845561,0.048658207658407865,0.032899446819280115,0.13911218306669734,0.07446725665845562,0.05426244982864877,0.037824445324645524,0.06664575398060606,0.06402925021650954,0.053094715594915805,0.06088723945343841,0.07530058999178893,0.06058356208753181,0.07788899047624981,0.06945515744490449,0.038658207658407856,0.07696725665845561,0.05914575398060605,0.0955731057445015,0.08530058999178894,0.043372493372693575,0.07470517216939289,0.05737303989287321,0.10546863097090907,0.08030058999178893,0.03256128742990867,0.04031581088200982,0.07497908731393937,0.007351213441033732,0.07530058999178893,0.057467256658455604,0.13545088498768343,0.04461987533591118,0.06610319085546894,0.08530058999178894,0.10030058999178895,0.028721543840165092,0.08210941899288085,0.0602327696100477,0.05782444532464554,0.08030058999178893,0.0524672566584556,0.06664575398060606,0.08949123439947225,0.08910262030136115,0.06746214940615734,0.04895232530546669,0.08997908731393939,0.08844465321983462,0.03592911649531544,0.02922207692936994,0.06580058999178894,0.06164575398060604,0.11996863097090907,0.03427936448526932,0.054255355608497,0.11486187742169762,0.07664575398060605,0.05877608565954751,0.042118300059499,0.05256128742990869,0.08030058999178893,0.0999790873139394,0.11496863097090906,0.027539160039360244,0.06763277254457095,0.03230487717349842
log4j-1.2,0.034824198856302044,0.10965139684154282,0.14912204176690652,0.11080524299538896,0.0507653025950726,0.09348251929403423,0.13427663176916782,0.0636314684631447,0.08138031653123035,0.07448205607691638,0.06214112323142402,0.07366379652059267,0.02962276960677456,0.160577068221933,0.12759837303603103,0.09858569620231278,0.09872506452225799,0.07307556122647503,0.09972652987139465,0.09163850718103876,0.1774250121151581,0.02934964925543665,0.09323961405112899,0.09909851671513328,0.04181872065051243,0.030422502412957998,0.01704447083238155,0.13942814692068295,0.09979219495138118,0.10532097332427273,0.08034118022893615,0.1043855885649361,0.041943088540436824,0.14612296230230987,0.13103154747407905,0.050746004291023855,0.014221984640592279,0.11161746779681532,0.10932835971611565,0.1712913559682155,0.11080524299538896,0.05274575454077411,0.15442501211515813,0.04354565264300092,0.16360685124447863,0.026920798197910458,0.09222103536590014,0.08039720460871955,0.13424304695864342,0.0410615827734761,0.10623663939582563,0.15062679304579968,0.09601452662034471,0.04474113433143512,0.11145101079369717,0.14742501211515807,0.05269571191502816,0.058288037978183965,0.12168396653959915,0.07145258554744585,0.13661104665606624,0.10989709005627629,0.1596129656578304,0.04137031191339908,0.06720642554423835,0.07221625626127583,0.02995771446350186,0.12589072772240398,0.17412204176690657,0.07490232970308425,0.139139236798423,0.13381256900271501,0.06357048576767925,0.09321921180951259,0.0548871341579726,0.0328272643177199,0.0796234248135708,0.10133300762585326,0.12684328123597208,0.06766826741939291,0.022638383633187046,0.06853142032426598,0.016925003197285973,0.11960449929464528,0.1873849242015977,0.0881231192430733,0.1383780858706219,0.0356596705091927,0.043471216858972775,0.12368019914920131,0.04321043257704915,0.05431783101502449,0.13609481358734962,0.0821133429105364,0.10799722163736315,0.1209871211319859,0.10490341550923361,0.026230915194758855,0.050674513562269485,0.05028873457656084,0.021600154914381425,0.15057706822193298,0.08819205603453073,0.033465432237900536,0.10272380692215535,0.04247158447721708,0.12174364219694607,0.04372325308986967,0.14143090346508969,0.14570852754851427,0.09585175006326499,0.034541049633524334,0.12804588513618595,0.16757706822193302,0.10839408539738479,0.07637921846951926,0.14316966081452556,0.0870330646233654,0.027448999777692794,0.09617912389595215,0.0918350360322295,0.03426716187883162,0.08301695316786697,0.12725834544849143,0.12857633786886946,0.029143846286475785,0.07226387530889486,0.19650299414785893,0.10321655836142313,0.11307691006487766,0.053824417944372004,0.06333103201037954,0.13125582280068757,0.04234919293949373,0.153081689169502,0.19440939808874563,0.052059170401645094,0.07223996994327384,0.0685898826349022,0.11168063966860725,0.04473055223618483,0.08769205603453073,0.0714946445396641,0.09900069923237546,0.06416932197007652,0.045042102273778514,0.030250654107450276,0.10379748175078564,0.09522406105573729,0.16333733297970976
lucene-2.4,0.5498489267169212,0.5141105475435372,0.597111767802907,0.5506336789887311,0.5356299612964441,0.573274952014202,0.4852513926021732,0.5119962059779872,0.6117884869963978,0.5769492404900868,0.6074194621666107,0.5561318691011873,0.5428299764832654,0.6344017991534237,0.5018181224282775,0.566161562132058,0.5431345641871377,0.5447386160840011,0.5868161537471905,0.5730148102214092,0.5293388211184924,0.5104650513221641,0.5910876879204063,0.561286508235046,0.6336823661183246,0.5490473499725312,0.5112309265103215,0.6353997858619083,0.5311525789148535,0.5656609745294106,0.5910061865567315,0.5243754795513733,0.5453567787866681,0.5948816425831284,0.597285519893434,0.5225591686404841,0.6036492514400352,0.5689151170639442,0.49825712807515343,0.621791677094223,0.5852166733922859,0.6092185592472525,0.5076752515499272,0.5557141034611218,0.5050430668418544,0.6500788583436025,0.616805497744592,0.47351922572530825,0.5873270474007588,0.5354068733424766,0.6082834125787684,0.5270731758847192,0.529979689342281,0.6258328987744609,0.6046378534557668,0.5094418168668919,0.5777589571413266,0.543661058407757,0.5089560059335174,0.6018714293894978,0.5268320865482441,0.5646769003365227,0.5049629845886257,0.6582537775191633,0.5785697222427855,0.5273972899014218,0.6094098565759626,0.5561966287357492,0.5636993006174079,0.5051139727167493,0.5681451051116765,0.5536671224817943,0.4624374714364228,0.6833454060808211,0.5447120369806634,0.48674435203348876,0.5850826060321285,0.6154436607883758,0.5177059720043271,0.6067916366918653,0.588017386388145,0.5577188925210443,0.4764155856586979,0.60503046791353,0.5215188894445606,0.5536379746768015,0.5183391049742436,0.56083217317085,0.65551686563274,0.5140952523537161,0.5340497828021008,0.5338967464735449,0.5604760424264729,0.5393047784403424,0.6460292434065675,0.6367640134810774,0.3905156261517743,0.553308427021211,0.5679478230470056,0.619290147679773,0.5705215432574235,0.5563364826062397,0.6041151010770747,0.5278920477159639,0.5844311093714757,0.6381942343312275,0.48244034948486947,0.49688609980427184,0.5246085334890768,0.5973025437937305,0.5540139621247939,0.5402682648527667,0.6022564741315846,0.49948733976848547,0.6520847846117701,0.5736484819782677,0.589337525558418,0.5490210578982753,0.5369586525289535,0.5910604232453902,0.631607882516056,0.5091153595522201,0.5551539715677541,0.6541256689315016,0.551397922333088,0.5493637165503318,0.5673273245865255,0.6050971136822266,0.6166372993905489,0.5443433780081651,0.6131858968799734,0.5430418392686109,0.609823210064321,0.5938494927986061,0.5117201073259858,0.6092175164941522,0.5629515268599686,0.5604170452440188,0.5454517274818232,0.5608952641861985,0.5804799797010504,0.5479648287376384,0.6377332131723121,0.4730056756855462,0.49117743126333213,0.5756444158160887,0.5302996765083753,0.6258381227905971,0.6242424058339399,0.48981981770651317
poi-3.0,0.5735701302003963,0.6001320894717521,0.6358901194400296,0.6226008862209866,0.641734392749896,0.6086592350464346,0.6552185271012092,0.661199174731878,0.5409157436151906,0.5982305887766675,0.5920378901995735,0.591102345795046,0.5231179784788105,0.6769521810887607,0.6656313994529619,0.615374027234265,0.6498137299594562,0.5652810834412539,0.64172918888219,0.6149638821898404,0.6224667473169182,0.5786818379829164,0.6140272140832742,0.6080785440858714,0.6039576441252089,0.6172757734029368,0.6172660572275208,0.6361749536949619,0.6260426548953995,0.5634555860434625,0.596228959114562,0.6135153791910335,0.6377441747399226,0.53387760354863,0.6091652117315691,0.601857803699688,0.5663048375840382,0.6229740537211439,0.6424113057794851,0.5846605728386525,0.5887596128449178,0.6380414733917248,0.5621807372236933,0.5993654255136314,0.6232332606604256,0.6028527924033779,0.5578609174167376,0.6155982790563183,0.6375604495407186,0.6679616242458936,0.6095640624433423,0.6312006652997817,0.6308284329900263,0.6232761717339967,0.5341913451165043,0.5695191604554648,0.5952955960089329,0.6347693581154046,0.6218725949303481,0.5872858930873661,0.6203706188115973,0.6056925843502987,0.6030519541449832,0.6030989799459682,0.5434811237999466,0.584176361573313,0.6063581267958871,0.6270200137161109,0.646475780371297,0.6434772852511343,0.6472328714159286,0.584630230134032,0.5773918099776698,0.5954808198202373,0.6345501033963667,0.5914525857721354,0.5899336218016128,0.5594613995447233,0.648705263828137,0.6420685157805429,0.6229116816264568,0.5987259594013388,0.6175332965141442,0.6072093838028538,0.5574324481733631,0.640011774528431,0.6201439828635531,0.5729811282167963,0.5639228770678423,0.6506651843019154,0.6028680706820516,0.6105553969774868,0.6022771999200709,0.571707189738893,0.6336843083559196,0.6207751380675193,0.650485493023004,0.6129894324975046,0.6265244102939833,0.542650693869721,0.599072309462547,0.6698865954675428,0.6261654045075065,0.5685719332591977,0.6017908297971997,0.5955486809115269,0.515675770467716,0.5981541359804519,0.6866831712964486,0.6719234345375782,0.5933404143786257,0.6122329445559892,0.563328756518104,0.6262753656390103,0.6448665681855235,0.6302475180535919,0.6310206807956473,0.5796712325109714,0.5646536145280457,0.6577954001131986,0.6416318987817897,0.6156712343611814,0.656885654733671,0.632395155613614,0.5304980326070037,0.5367803036418836,0.6079558482335918,0.6620859019831665,0.6402878327145385,0.5756104930333656,0.6311956045670107,0.6535084164997431,0.5444520205323066,0.6401509969223518,0.5775319177950043,0.6270158959059837,0.6263899028905467,0.6018097028563278,0.5761499403534894,0.5993389293859218,0.5776427056995019,0.592028338017955,0.5943994753764065,0.5980793353458399,0.6572852099826529,0.5396516176132333,0.6378269339433374,0.6188910808440893,0.6244507867947586,0.5925829577605443
synapse-1.2,0.6167243078176989,0.8298098722915999,0.8315936840060325,0.4862396621308895,0.8232376328560527,0.8333499577071771,0.8646520857154614,0.769355795636662,0.4910153406844584,0.829039925471472,0.8337879942468791,0.829926264029637,0.5507280588566514,0.8233810097370602,0.8685968119165084,0.853347376450591,0.8299274202897778,0.8508179605310432,0.8113092484345762,0.7907847081416481,0.8104943690685382,0.5382620747505306,0.8257764595249031,0.7993926645477498,0.8009058449364664,0.605532559794397,0.8304766913922529,0.8327044190677891,0.8353954801081898,0.5465966202004849,0.8079807893492589,0.8277768142699524,0.8089145702897966,0.8282443892554208,0.7787209362271156,0.5392769881056612,0.8196624403041584,0.8406708752843217,0.8486292976475843,0.48491887250247595,0.7063181943303016,0.5476506138940781,0.8053782544661663,0.8645888429540753,0.5457916246202779,0.627686506363464,0.8024168942224057,0.808760862904625,0.8245260667913269,0.8468528171508098,0.7648575330118912,0.737091311049314,0.6904353470347446,0.8569636348638763,0.8192239082650654,0.7884733311964589,0.813713704506188,0.8032557511631553,0.6430120488935882,0.6252216075096484,0.7665187451192371,0.8281300032868428,0.7914305436472022,0.8646458000455784,0.5529583623235022,0.8494014456154186,0.6077681121864217,0.8527878116020918,0.8082942974822853,0.7811848341203924,0.7737191113001474,0.8104808897674288,0.782897603055144,0.809426039536348,0.6273629384066448,0.8677451221029812,0.7927211442168546,0.8304547700116678,0.5466453744734363,0.81363703145137,0.8077748607722666,0.8510761189192552,0.8514405947207291,0.8053952686226,0.6090973927133687,0.8540735440720091,0.832765593698573,0.795314579802147,0.877379664196858,0.8438757955101702,0.553167337998848,0.5628520777837311,0.5893503980275914,0.8566504736521363,0.842293720156335,0.7016910830515779,0.8505534905318646,0.7705687782460484,0.8004222691303162,0.5161917699074299,0.7803772323599112,0.619175415958712,0.8270262380104286,0.7064826744817819,0.8396987843348886,0.8765572116245588,0.8138091122143196,0.8250469869104003,0.5217793135899581,0.862664075214199,0.5288917833317887,0.8514089000206356,0.6706060021798226,0.8181213060468492,0.8191258837085506,0.6759082157611285,0.7901828312827027,0.7424475291125361,0.5032966475979146,0.8458112759265315,0.8611339177776574,0.8415252790482595,0.7894957483426934,0.6172328115947964,0.8215834639824879,0.8181452518339469,0.7349652452402358,0.7997409388305341,0.8163092349420444,0.794224498849655,0.47246622213363526,0.8081162521864763,0.6253875919994568,0.7999875704726932,0.8353110434005886,0.790014096331611,0.799758506819125,0.79109159070281,0.8521167715654829,0.6591432729922184,0.8150415030409708,0.8670387882044304,0.781008764358728,0.5725020732489666,0.817968204018303,0.7359100454163109,0.5669547357234272,0.8111649382620826,0.8882169142952393,0.8254939158929062
tomcat,0.2829158982630514,0.3750006552120398,0.34865054606028656,0.24171052377043473,0.3039817495155797,0.27573926255429043,0.3628719543296365,0.24972680111213486,0.3405820921021353,0.291336431375776,0.18299287089107663,0.35579529643512314,0.3338914139037865,0.277887676742706,0.2671529083400159,0.38382167695394437,0.3592783013744908,0.22987740226320155,0.30486019342527515,0.1963072602489504,0.31101244157400204,0.2657577708738225,0.3219877574428824,0.3509816887132399,0.32331716065826055,0.4024095604009005,0.33719926774576264,0.24126883162762236,0.19881572863812813,0.28620120327490123,0.28061767779662433,0.21295799620292835,0.3270143310730411,0.2618261932192621,0.34899189769512395,0.33060467317976616,0.3264363313286919,0.22291288586070415,0.2197458327011798,0.29814100781184744,0.26393341169106754,0.3582400304999881,0.29519994812347045,0.27172315378128886,0.30348811709856083,0.2663115519252982,0.30085325453623507,0.3622000776532216,0.21849852507642842,0.3356189789089216,0.2419724134991541,0.2754510406874184,0.20751106595836485,0.2564751607271524,0.3257220424795888,0.2992274202363191,0.25938533156655064,0.2340948795690564,0.2821010481337371,0.3219049086669744,0.29574003434821167,0.2943675653135483,0.2254066534521505,0.30769400838592,0.3066241590830602,0.20916038023578626,0.34017201072486214,0.21458744258304052,0.2967932776371175,0.35349998095572543,0.3297809326634669,0.2891643627632131,0.3113247392413513,0.31497969812002435,0.3314233577110612,0.2778502060131437,0.27976444260731265,0.2995854343077934,0.2938923691376499,0.16694633472451814,0.27793086961367724,0.30790088191236464,0.2977386320153743,0.27370894453151806,0.30682414988569595,0.3157769105588427,0.22800201984163865,0.36766420969761016,0.2879802447442755,0.32371125047510707,0.24840005229621687,0.29559475292932197,0.3141524190022953,0.30002000701048226,0.2908271449655336,0.25683731026475126,0.19726527711006328,0.3424778319666623,0.3297547739438673,0.2711942681907765,0.3054622168899843,0.2768847841533695,0.27555156452319385,0.30766778415123563,0.2911419442632593,0.32316132739175935,0.3292426500338965,0.30807506998531875,0.32399175661540724,0.30117383244581847,0.2512096510169288,0.37079872530538205,0.3148313880678042,0.3275412774975356,0.15878955384246277,0.24526382347804554,0.3335378803338736,0.2509368980483428,0.21569204672561734,0.2555922284959211,0.41224748565629427,0.2871904965462746,0.31790325308328293,0.32549350140046923,0.24796438417444092,0.31013427370247815,0.3000547505310371,0.25751850141156085,0.2813393723392811,0.28427541931025163,0.37836577928817794,0.3619571766793447,0.1545050891669401,0.2707096966641496,0.2551336907469194,0.2679784683913948,0.2811397431703416,0.27157875998381,0.28000548151310184,0.32488045973556323,0.29958866591641553,0.31347923428465924,0.32546105598394304,0.3475739101326102,0.1480216841188486,0.31203180194395497,0.2519548183395342,0.28357752892292054,0.3380698123763187,0.2178258077916185
