,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.9132640597136521,0.8581696762828654,0.8756754388389052,0.4740134368036612,0.409927889725041,0.8673771938304771,0.8793439661191851,0.4292224759114648,0.8937679865756928,0.4764991572735428,0.37936631635339774,0.8805489116853897,0.8782245080362238,0.4026116597441826,0.8863514857532763,0.8658793906318222,0.9050010277597469,0.8752694757881134,0.4329332736493097,0.8715332564896887,0.8983450450730391,0.4157959535499706,0.9020014742259397,0.844463139520397,0.8533312798068756,0.8434630108678662,0.5195218094372754,0.45235397076718303,0.8600098468592283,0.8529091459847,0.46287288111374425,0.8759975295301246,0.438764253545972,0.903787012460582,0.843480940589629,0.8847379868322619,0.8957199187261646,0.8836493090826953,0.8951872002674992,0.44748029846026843,0.8707740006323301,0.8659385450592872,0.4449496672601939,0.8609377782539769,0.9053992485905396,0.8800820958036144,0.4754372729757604,0.9023095960624279,0.3865952697337235,0.8322969205302511,0.8872099897746082,0.8827528283678459,0.8671403096201378,0.8759203518877762,0.4350776704612819,0.4506580889934444,0.8292660574651822,0.8720160248643869,0.9068775247384024,0.8773630935151125,0.8931639656525288,0.862954086185808,0.4365625799174063,0.45891250048920074,0.477665623471518,0.8795107535847215,0.8649625945346571,0.9135031259688652,0.8954880644603016,0.4554982038149782,0.8674359349264178,0.4387581852718021,0.4774430075068084,0.8627161330304169,0.8739546401981702,0.9036795232270186,0.46685293299868896,0.8871894919365626,0.8842812252720482,0.4644579936365999,0.880733350721757,0.40784747257037307,0.8444572844879179,0.89706809125768,0.8994908509495945,0.8967889259222914,0.8934030453552106,0.4856866611689553,0.8314877107676659,0.9024965688253863,0.8715256284913989,0.4722836166628403,0.8690477195895066,0.8642303932851769,0.8753032220960844,0.8614722893579483,0.8653028817869786,0.4583629563246275,0.8543974785683994,0.5729938097921194,0.8822202687083036,0.837702158649136,0.8766736802446502,0.9110434581496432,0.39669540180640894,0.8859227224742126,0.8678704217449611,0.9053312160240734,0.8807932340150907,0.39955752442033043,0.8750168380971782,0.8864410188074233,0.8644516805293443,0.40322970363956145,0.5056982147060987,0.8948790272594072,0.8599232741075036,0.8843138452076847,0.507902618938019,0.8768857983863343,0.8241800060077358,0.8747704544962785,0.4295468875432618,0.46398751925638737,0.8576179226756914,0.9008811258289973,0.46821032261825124,0.8691008744332597,0.868710387366836,0.46248768535192775,0.8925250514172774,0.560707921975987,0.40124453592085435,0.858942326531854,0.8703111947726028,0.892044432117556,0.4909888382494683,0.8608852031206684,0.8999974383474293,0.4522276481725687,0.4303473540082892,0.8613782247401904,0.8825991091340419,0.8661643260267755,0.8341695902905111,0.884911775306271,0.8873100137159728,0.8626489738769753,0.8968101591136844,0.5422521793267323
arc,0.3085479009093016,0.22109254621945434,0.3783961232119133,0.112877933736471,0.1838441973863687,0.2561991897773457,0.08756208057068254,0.232173645892308,0.20972310990725215,0.23470763070358278,0.21861615960728953,0.15564356554997072,0.24625186088131537,0.07694691951027785,0.23178485541025542,0.27515545080487097,0.16059878420219764,0.19142518099047962,0.23515363960863736,0.23245140243191564,0.2697026464579314,0.20518362516373917,0.12509045874702335,0.25594067340382504,0.10987422021259914,0.09783578702133505,0.25250479709438467,0.12345012101472827,0.25675386211322876,0.2530251114264373,0.2670841896404181,0.1495031224877167,0.19418052261256374,0.20644176877431714,0.18765161801199695,0.1025920153381581,0.24982374599998616,0.1195607835283296,0.13402526414333724,0.2706135710346244,0.10508872552255483,0.16336954481041524,0.3040305423928999,0.25429321047079173,0.2278427382440641,0.1894217086093029,0.24922988519391082,0.2821585800088885,0.2094601331223107,0.18193842358652162,0.4712657054507014,0.14900559366713156,0.13481153072555235,0.14896108939235514,0.27143399136202295,0.10412721948038564,0.23786561024847708,0.16934881593928533,0.26358051952672745,0.31742178281090616,0.16188084078444043,0.33096304605127025,0.2720159138624612,0.21942768346868394,0.1797868231609766,0.12479391459359537,0.15602174887755238,0.24107627120409506,0.21511116761014076,0.2833420933253691,0.23883876859611153,0.25949239981848904,0.28580499223145167,0.22966604703106527,0.28836368184245814,0.09237837757954459,0.1876493288831368,0.2254198118634939,0.24526632717428007,0.2219225067510318,0.169898906954233,0.18349655454138675,0.2632052804249871,0.29273973463338343,0.17730091475069,0.22803850243514534,0.20462897275614447,0.2029455152291566,0.21947545609708274,0.16019459460755575,0.21931177015652498,0.16183608710549996,0.25724268245646364,0.2468633019769052,0.16900846969971345,0.15427845016851616,0.30435514294314386,0.1703834965171978,0.10118609892520192,0.30836077675664275,0.2292812951399381,0.12277137925813937,0.11916464968035435,0.07970791163408542,0.2116784893162973,0.13260654054150328,0.04956156675378904,0.210732683668731,0.23720925691671574,0.2667839309201111,0.15438686286159414,0.06071836652940986,0.07098994148058185,0.31754409405079737,0.2353154766710904,0.15262618811858472,0.09602479417476469,0.2923231454223283,0.2871101251429201,0.24513984417091694,0.15406376213130046,0.12866632331594935,0.42314150776758486,0.16322627118732483,0.14706605050683702,0.1024457488128478,0.13730400582544214,0.2167297840750388,0.309206575185054,0.28169097639705176,0.17332601644311546,0.24944344775367774,0.22054976318881409,0.28247963921981406,0.24787090214241034,0.2805510516124136,0.11311529224219741,0.1834587204587071,0.19270286617078658,0.14354017376591255,0.21131260711605207,0.17129030074428445,0.2509372446264863,0.27427194588820697,0.1436020832811222,0.19486340159446952,0.12846850728129022,0.20853173703486738,0.33655588434949973,0.28827239897583884
camel-1.6,0.43574266853158844,0.5280696273887001,0.39862464100825035,0.4166356318866307,0.4859611082320515,0.400634479666807,0.36056566444480076,0.485814254031244,0.46961862814663424,0.4291099348129646,0.4426971025539632,0.40582023540391743,0.3645459948910921,0.47014045147068584,0.43686925618422684,0.3939335370383146,0.4705307518984506,0.40665519175565795,0.38626661756789304,0.42848517157601707,0.4441853410969262,0.38010025102694756,0.33193379639757414,0.4669236307102561,0.47550345017811724,0.40091375896994574,0.3976548669293767,0.4507245216951795,0.4148416964296476,0.45857382034995764,0.4088021603508798,0.46283179312139383,0.42356383381450435,0.3459310976399319,0.35790410922807236,0.5014954151083961,0.4264823931014077,0.4169955958074607,0.4166594859924867,0.40357711353891035,0.40715584897204826,0.3284123051159016,0.4412128995796009,0.4390107219494601,0.37102009335547154,0.48962757231376475,0.42025630709681205,0.4194335334681078,0.39862297527472346,0.3700513193382646,0.4171179994729829,0.40250664886159826,0.5030108708099815,0.49826503633736535,0.3968965843938138,0.2869313082317717,0.3450447425247432,0.5109083437967812,0.49228056150561617,0.474015954164012,0.40263641881111467,0.40714972993383186,0.413995275861645,0.4575411158740952,0.4715135926224604,0.4654266519506404,0.4051673798951762,0.3837263373802642,0.43708943923609495,0.4528103979998187,0.4229911494980309,0.4174816220617579,0.45213531480831043,0.47637890028358787,0.4260564111638767,0.44462698848338833,0.4213473449512676,0.40973427409227736,0.41763649072812326,0.4298973480448147,0.42026371085658565,0.3991832031157249,0.43228472752289576,0.40591160156690537,0.4360384535274545,0.436894060102904,0.4143045839016955,0.4850698304248078,0.4222666879343227,0.4050108634247545,0.36068700907297135,0.36020404852714033,0.464926545094572,0.437652818926675,0.39105154397496944,0.41207195494719406,0.4095269614358892,0.41820722034161073,0.38402182768431087,0.4612261261028403,0.5082106918819146,0.42174420920802946,0.4080535962462619,0.4421914595124299,0.3653453732274674,0.39730586093134973,0.39306414254557204,0.44283870319609075,0.3864421784567826,0.5126295407101712,0.4058609455187595,0.474264550361399,0.40516102828437106,0.5118492750492112,0.4517326870799119,0.4396076569831109,0.3987171813664341,0.47701721309521283,0.45610974650224834,0.4297361312045855,0.4334328012130412,0.4292808025732938,0.48577392575844064,0.4163053546024629,0.4396629471971716,0.3637569333035597,0.47117079687855024,0.48426407572482566,0.39098257315678153,0.43241825347936647,0.3894823835622787,0.4159509562912109,0.41756500660504525,0.42302998211282955,0.4475651031538358,0.38551529187209355,0.469022631203077,0.40217013364566134,0.4479711590982357,0.419426603445037,0.3882792848695068,0.44647669925072775,0.4786830387721631,0.39764028738211027,0.40598790827182235,0.3715626768388758,0.483794632002026,0.45463027965864117,0.42885121618120403,0.44049038248760497
ivy-2.0,0.33850594842975384,0.19770679155777748,0.17863827060221205,0.42097450598774416,0.352243011832012,0.48165824286274783,0.24687919720165916,0.18816901121973462,0.32730865252357566,0.27854552512423747,0.22536655738848851,0.33607927645680086,0.43491646203817075,0.2853838428961335,0.29067084101525553,0.3073350724308012,0.38922677593511046,0.3464295405356644,0.25769278858108535,0.38886648032285853,0.22145826828379725,0.22623067709397957,0.33840169148576676,0.4106035223866029,0.2557264738220266,0.18558274057270696,0.34155777913434937,0.3362191759371551,0.3568834031051311,0.3386974859125592,0.3044574057314828,0.36627015097156024,0.3229509515482212,0.356071146804965,0.29931025526150257,0.2614935425808962,0.3459353362928834,0.18935209806339023,0.33033202569913495,0.2754680402661062,0.38377566612332215,0.18958749072375933,0.2981348922250844,0.3095554541136609,0.4137450275639173,0.4491458113022885,0.2925958291155899,0.14100629685904917,0.3010034258103787,0.38091770372814054,0.231803551104887,0.42926524455004256,0.2869824051996663,0.2088079736546886,0.440103119939248,0.34268032784401814,0.21997656444198296,0.36460867640758204,0.41567473907894054,0.30498348436551465,0.3472448431352732,0.2038642320379846,0.3069721534315426,0.3715962631132662,0.31939356507859296,0.2850576698230063,0.32874033570513556,0.32798176245505445,0.30036052429762766,0.3782242613665113,0.4163433836488145,0.4003549389945593,0.17957751754127535,0.1386771259620413,0.3236119527965207,0.3578859020564368,0.3667584279239779,0.3953576732490384,0.2333720489266568,0.29798773740473533,0.36096883827171056,0.2398208509036517,0.27914730149736294,0.3881858811727319,0.2738019704407848,0.39928886726672286,0.34429051247143005,0.13819184757563127,0.24975457161504647,0.3217818449204607,0.21470393466281043,0.3256539084008152,0.463278965707111,0.32318289224186864,0.25823653573279415,0.388953608909211,0.15490545364001848,0.3049757668873299,0.27396570906233064,0.2068057016135932,0.20133446089972648,0.2662331991285122,0.32647597295908337,0.34712555079390073,0.26559520878425413,0.193486948368557,0.3774677385230657,0.17838612016717137,0.34779703237810033,0.38373365464518105,0.2770374470194934,0.4578860117885723,0.1834754811148324,0.3236569307932229,0.2510432823367075,0.376907931182659,0.18772379249856333,0.29464122033366574,0.42136133703775736,0.37277904788855387,0.3507399450680604,0.33324648410326013,0.2122151596757932,0.3596426510793592,0.2916202878876416,0.1980251679958894,0.27954048143036614,0.36372425323961655,0.2318015543662687,0.430069618201966,0.16731310969087554,0.25965769813492834,0.3447049874729242,0.45720308849599334,0.2558878627037031,0.33688485491861675,0.25633384066605763,0.2843084733831861,0.21684134065082988,0.4963183362617181,0.34311103001934073,0.20225508006700618,0.31386777830759227,0.17437442075409362,0.4142097791483421,0.246890852519805,0.261261870437943,0.28210179107147715,0.2307149548958317,0.3521558083796308
jedit-4.3,0.05728031386516594,0.06907397721976051,0.01427057649871788,0.04786508422708578,0.05782444532464554,0.06450169074250257,0.05711857144974046,0.053094715594915805,0.02713923218414094,0.04977527034146929,0.08997908731393939,0.02827581196500957,0.015790731015112042,0.010901690108541303,0.09029629445914289,0.016486334790877948,0.13621740821599684,0.015874022906827073,0.053094715594915805,0.10030058999178895,0.048448780448940874,0.03808310189729951,0.050203493081224626,0.01771594739764861,0.12795088498768342,0.08497908731393938,0.06664331566849707,0.06537402852632922,0.0537746449506,0.04645232530546669,0.06886096241149144,0.02272718476107346,0.09029629445914289,0.01227815919205319,0.10030058999178895,0.020017883400986394,0.09306049846873632,0.08604853232583301,0.011611307288746717,0.05925815429600273,0.08806049846873631,0.10667894843122654,0.01878986584082088,0.015448490991933454,0.08030058999178893,0.012763360195177374,0.05788712101504996,0.049255355608496997,0.0587746449506,0.07530058999178893,0.042899446819280124,0.07391936665369148,0.06330952867153024,0.013370031239238047,0.05977527034146929,0.010799425765427398,0.06616790898759965,0.0533872394534384,0.05020837708610863,0.06330952867153024,0.025700668727270767,0.053870229584506976,0.051274644950599996,0.05488050823364962,0.06330952867153024,0.05345510956286493,0.05868077180870076,0.021832977444978998,0.013109936485136687,0.13545088498768343,0.051025500266312085,0.02117940128835573,0.08530058999178894,0.06243955231219218,0.021472094751706715,0.05711987533591119,0.026129514849672207,0.05743955231219217,0.0620109074521064,0.061872018563217515,0.04900169074250256,0.06807790473042385,0.05663923218414095,0.05330952867153023,0.020078515300364988,0.02313766613397667,0.12850458758025146,0.05786508422708579,0.05286508422708579,0.01029096749781869,0.04854999018309318,0.05323460239833897,0.053094715594915805,0.05977527034146929,0.0719672566584556,0.05852550026631209,0.06433264126990061,0.05280993371480442,0.015874022906827073,0.05703138904688605,0.013373767834270744,0.07891936665369148,0.06426244982864879,0.043653912125761814,0.08641216868946938,0.05763278015261347,0.09262571586004067,0.05488050823364962,0.01709094739764861,0.029387239453438393,0.04966862472316789,0.012926161230686357,0.0620109074521064,0.02079390540590696,0.13545088498768343,0.045673419422019856,0.03624642872207913,0.06812201856321752,0.10030058999178895,0.01909689977860099,0.09103953384006286,0.0195556714917341,0.05836661620548818,0.08030058999178893,0.026485587801786746,0.049319505536404316,0.018859855264532828,0.0984598236674247,0.053768472111093826,0.048658207658407865,0.08997908731393939,0.060693303738114025,0.02784607352202856,0.020699463881165094,0.05243955231219217,0.026707600774499546,0.09403301575498496,0.014998169380283602,0.05626187369357492,0.11856246368536386,0.05807095481176664,0.034690036115565134,0.03628496672616568,0.05282444532464554,0.08030058999178893,0.0999790873139394,0.09103953384006286,0.016842350315718194,0.047373452391255344,0.04286508422708578
log4j-1.2,0.05242247375415,0.11287259136512742,0.17207606475541232,0.13709730650649277,0.06779796902731208,0.07870080113014866,0.1491689393138041,0.10383632748119224,0.11519577860985034,0.03463227643906814,0.10612296230230982,0.07496480179647805,0.030922502412958,0.0912235469136929,0.15691155890160696,0.1241154272746135,0.11654005403500811,0.10321655836142313,0.16064585129071607,0.10196606356703426,0.20749785499039106,0.026618271516597933,0.07733403256570881,0.13381256900271501,0.05945035999147964,0.047385456675757456,0.03983668345663752,0.18055828845097932,0.08174364219694608,0.14446878709813016,0.11358838173929559,0.0485608798033545,0.02821536219936715,0.15118808664139055,0.0884855384627076,0.023089899347860654,0.014505080811846347,0.1796491975418884,0.10932835971611565,0.07717522121300338,0.15521137835624316,0.07594437998939955,0.1059363168553235,0.0208133727224976,0.17268762641693464,0.04760429193596817,0.03863025711692687,0.05120082935174317,0.09419469133955609,0.11709373713626872,0.06616536881023358,0.17274273142207897,0.080601718760905,0.09132045446531924,0.13405391679405831,0.1895156819346886,0.10017771263101649,0.06458686596664043,0.13376745059695294,0.07831987596485629,0.1770760647554123,0.14160698307831845,0.14127116596131195,0.046653862259494853,0.08538895158365709,0.09841948891202495,0.042085107427582126,0.0855009177327139,0.15538558856493612,0.11995972941296335,0.07611701716188193,0.1325630675556036,0.0240823740807005,0.08863028333358722,0.07144187998667478,0.05340889455980838,0.09597103536590013,0.12496986397549659,0.16484481358734965,0.08006332444484142,0.03188847462027079,0.11113923679842305,0.02380418506214637,0.1776267930457997,0.17809445863699025,0.11819205603453076,0.17412204176690657,0.03199200037600533,0.060337465988379815,0.10104667502481965,0.03887648643800139,0.06864560675123935,0.10974273142207895,0.1429740131331994,0.16679600439914902,0.17580590346508973,0.15788558856493612,0.026618793982637647,0.02295462476885128,0.08540629071802924,0.014432481372566006,0.1825447525372886,0.12531964050615546,0.01991412640892982,0.06837547839309926,0.02275020067948685,0.13561104665606624,0.047678366010042245,0.18065830565084173,0.14668841479174494,0.12323961405112902,0.05708292954358637,0.09848767073020678,0.12704588513618595,0.09465317126235304,0.06937258025235472,0.09082772886191509,0.1408780858706219,0.044345166485281834,0.06380590546137879,0.0836341940685351,0.026940947735751147,0.1615937822529685,0.1195625794815861,0.18978260973342564,0.03856138331953015,0.039807557404905686,0.2036583056508417,0.018798332349400964,0.18998568462806142,0.06185509691432993,0.06489720460871955,0.19506856206109813,0.0643720624433978,0.15802427124278098,0.16009757013175638,0.07728272585406121,0.08964754622968002,0.08254217089562957,0.1434464835496282,0.06882137167676276,0.1291968073134239,0.08026096195815544,0.1418443792976832,0.07889825428588165,0.056347071578867744,0.03049703862434563,0.09446106385592862,0.12348251929403425,0.19896987100156927
lucene-2.4,0.5312095170024387,0.5250261931226319,0.6443238343976844,0.5210882888211643,0.5189051956240955,0.4957591034667493,0.5114532749177132,0.49007014251639747,0.618520966520613,0.5977586585685819,0.5737329571842733,0.5194275256273645,0.5355785298602688,0.5272843703842224,0.5582529219542861,0.5478950525382611,0.5182583274065261,0.5099219663911472,0.5701308760688436,0.49856330630806883,0.5570161489148471,0.4472950162168046,0.4877888446286373,0.6146696138231851,0.5751812506965748,0.5702580151825278,0.49517785780550194,0.5936490168475396,0.5747664960340202,0.5018451116306395,0.5038823434199342,0.471108155287201,0.5565491515066139,0.5750317471957187,0.5829391190788046,0.48198076180145205,0.5702215820695584,0.5323803686746811,0.4757887107791114,0.6007269183224483,0.6060713907053197,0.5296063757089515,0.4980542050840323,0.5174100264722341,0.5124510063295468,0.6064612700726633,0.5726057491920162,0.5517961565781746,0.5709904241567338,0.5149294655652835,0.5442001362411375,0.5161065509233105,0.47287920069200023,0.6301209633481526,0.6043451898888226,0.46708343951350895,0.5295408227455392,0.5233438391268832,0.5475830281616035,0.6089857396336089,0.47426318858103855,0.600327478024383,0.46268181020434135,0.5946796903743533,0.5566040766130221,0.5096398754400768,0.5913926405576064,0.5175033027739104,0.5555786329319978,0.5437423863845462,0.6045473214493308,0.40883257078787,0.46323877760689675,0.6941314958533176,0.5312757039534675,0.513353725920709,0.5614189582896318,0.585389698217445,0.48962769013721597,0.5448625245235289,0.5989664040079486,0.4930153450850404,0.5309550736477804,0.5921459583164275,0.524228316460529,0.5479569037204194,0.5421074568349342,0.5191446110836135,0.5879813989438429,0.5131393072410823,0.5500580914359348,0.5147303103097505,0.5145829295649511,0.4571781587564322,0.6698896322206294,0.6010403713267681,0.4129546011474902,0.5615868341823484,0.5042887915671415,0.574529684565335,0.5055060712343256,0.5540964867807219,0.6092859235989407,0.5571022504593584,0.5552997471044171,0.508414072710002,0.5002611933561174,0.5122255221145751,0.5376104977811292,0.5856814829147422,0.522957569408843,0.5517946789475342,0.5908175305175288,0.5234487047300105,0.5963189370301896,0.5547250902206322,0.5514482664669453,0.5131837574116846,0.5121610643565313,0.6082311201447839,0.6183964894125504,0.5336999926927075,0.5177766642256094,0.6135455662653405,0.4866174492258398,0.557646318661905,0.5755395051026382,0.5896447834585838,0.5346812206673515,0.5191213640045226,0.5832346822473495,0.4861604286214217,0.5884732190181003,0.6035573091676956,0.5324707205303457,0.5890887963997671,0.573654577457127,0.5676119147359087,0.5187815390525439,0.5703122944001029,0.5750676524339026,0.5642434025670504,0.5997605010268316,0.5290676674818752,0.46265069263530767,0.48059511599022714,0.561282228132733,0.6213427958625111,0.606781376294996,0.4796484132269751
poi-3.0,0.5695561279660494,0.5998846676506414,0.571430739070556,0.6297516955609339,0.6559540627690262,0.6091466606018963,0.63855462488746,0.6653596349918292,0.5246495372314945,0.6188674196604194,0.6191067151612795,0.5928991854525322,0.5734380329560507,0.6618217410668257,0.6145234219056399,0.6189411158263205,0.6081174423196797,0.6113365631445158,0.5768508157631902,0.6276419071990225,0.5932524793089224,0.6195055414102979,0.6304072284038638,0.5764327334692465,0.6220433126425553,0.5747571278320682,0.644301928529623,0.6136391298510429,0.5789112300992981,0.5849196202308522,0.5754302814395349,0.586150552119731,0.6098366866503226,0.5979503520620881,0.6261119026780675,0.6144490179215992,0.5591494725897685,0.6321616961389066,0.6139550008182202,0.6063769818536091,0.6225981556199476,0.6096566270603955,0.5612640993633449,0.6118701341157221,0.6117190509180952,0.6451833533822269,0.582961009187845,0.6056975100187969,0.6193469423320723,0.6369035460713863,0.6145105739842973,0.6249359606366751,0.6383614650748359,0.6259921732650454,0.500297031311058,0.5549681885642191,0.5940551194072894,0.6148512801948005,0.6328093288145098,0.5739376867733029,0.5968825050257685,0.538740760006999,0.6430633331668899,0.6012719350112172,0.5625206765254545,0.5678386156032638,0.6267734474791011,0.642134300423864,0.6310657372424515,0.615751472040919,0.6224338274243904,0.5899878149976143,0.558546956271319,0.6135605363042325,0.6130142161263921,0.5614222879527382,0.6110267933040661,0.5871033851268375,0.6030633416865341,0.6549875895026998,0.636287589307365,0.539667314980681,0.6587315912503862,0.6421179784175809,0.5182645936115278,0.5956008877867813,0.6088972535023962,0.5841450080052049,0.5713823185889,0.6580250235427482,0.5672248095195257,0.6618482138485611,0.5757451275714024,0.5660908242923466,0.5961673740953505,0.606727814012461,0.6253019794274963,0.6198813535871828,0.6512680938849773,0.5766998283292077,0.5880256800276809,0.6266912259485844,0.6019267696854248,0.5757143251466259,0.6144276922295204,0.5548149917424523,0.5382632675541362,0.6249145733175232,0.6294768861654221,0.6458183673934318,0.6331713113501121,0.6421140479412399,0.5470470848357447,0.5993029540303649,0.6524454297628459,0.5996097273361234,0.6677379699948596,0.6189505242304268,0.5367911362843574,0.6189905114732426,0.5877226610537029,0.6131496143129964,0.653281390838517,0.5962770633190024,0.5612308212499708,0.5496655896131776,0.630283163470936,0.6755889863535451,0.6118860831572771,0.5904863721823124,0.636454422861236,0.6358665683511421,0.5523807752838619,0.644475428477193,0.5764416961467924,0.6232984432641491,0.6038331466968033,0.6028308848113006,0.6033557582938605,0.6170673395796507,0.5930819139105015,0.6069522205556963,0.6061457957633714,0.5769648694986358,0.6196373947712339,0.5252168587019341,0.6181072867133366,0.628180288326069,0.6368155425400617,0.5930580458411897
synapse-1.2,0.6069771458527217,0.7851342577160465,0.8347781529041229,0.4406086745196918,0.7378947016017706,0.8235925540161131,0.806010739989123,0.7678162118583128,0.4692727773989977,0.8240323590649226,0.7761798386210434,0.8200908040119197,0.4735732379444172,0.819615908426326,0.8340998225173182,0.8214378530221385,0.8047965215375572,0.8123024893692048,0.8113029102677821,0.7781367581303695,0.762856152651826,0.4988063324066811,0.8080724878396648,0.78593931479218,0.7784650961150117,0.5940890146693263,0.8218623367230677,0.7897310210032341,0.794888358802884,0.5676126939982646,0.8041200099487414,0.7620399656313585,0.8008979690624711,0.8145079083206677,0.7733720960244246,0.5239701018188373,0.8160351811306081,0.8188571655728264,0.8485493883749433,0.43239575941072095,0.702466143780337,0.5471245374079087,0.766914154860967,0.8553600375454617,0.5721557351195075,0.5651412062099084,0.7574521240133796,0.8204701745656511,0.7572376439294496,0.7932827700434514,0.7535704553946805,0.7268727004523756,0.678502042478051,0.8058738732162156,0.7792282271473527,0.7793308129482996,0.7438276484039255,0.7792670407062668,0.6288785615586718,0.5734925797708503,0.7486687228256363,0.8036816980201298,0.7949214851839641,0.8371672046276414,0.5446268176588456,0.8406973325063045,0.4774512151321187,0.8289425108567593,0.7977904113618471,0.7791790547013442,0.6519680845686666,0.7883428236732279,0.8052229408330276,0.8343350259050655,0.5814573926705972,0.8126087768924377,0.7954701111709148,0.7973274769253509,0.4972800950006562,0.7737845938068486,0.7805701059231105,0.8103130346878454,0.8728965765351518,0.6971028760889271,0.5731895950488427,0.8413638722212073,0.8274359242811706,0.7598649799876902,0.8357895038369402,0.7726595766833341,0.5326084661220107,0.5283174398518442,0.5569080138858762,0.8172048352641841,0.8255317873635533,0.6904481414646286,0.8416178249681181,0.7161715808183937,0.6832056556065802,0.5055012686736272,0.7927432225991886,0.5795363053553868,0.8288673087155047,0.6756726272129567,0.8166232023810691,0.8102759857989453,0.7931602829172906,0.8086482389727767,0.4668129051409829,0.8247445753970568,0.49422307964236084,0.7913836940579541,0.5883800595300467,0.8111170830802259,0.7813343438679068,0.5982060438932632,0.7899793095104795,0.720932620169435,0.46683852069101806,0.8164981386936956,0.7904254130489561,0.8213975065710368,0.7660182198376206,0.6230686212884147,0.7853476501714984,0.7863534940305621,0.6881348929258362,0.8000373592673944,0.7813278881191725,0.8098358776478884,0.4515623014017324,0.8039564610467483,0.5888252847108101,0.805025056301794,0.7981328808933643,0.7060423195705785,0.79012211976046,0.7642097909513084,0.814878413813231,0.6142481074081885,0.8524708839038864,0.8593846656525523,0.758644911882058,0.5210901812369672,0.7735233383393925,0.6982663720358605,0.5190567434882984,0.8110095584202028,0.8744881225994017,0.804526518241515
tomcat,0.268373492215895,0.3569036240714165,0.33565489358459133,0.1864068327940528,0.2748506722339857,0.2598746232334368,0.36315989431030304,0.2380678299538082,0.33283950276331764,0.25016460639796123,0.17867792892589446,0.32040580765637594,0.2855626857997754,0.2592293029585152,0.2708588520221439,0.3218268166932867,0.34674476296085366,0.17685140277329237,0.29654154122689236,0.1989935384911872,0.2837735618457922,0.24419500747618653,0.29682456614714775,0.31531615147220626,0.30773562229399964,0.4008286054278454,0.3119197553691364,0.21974431597615682,0.1852110966824295,0.22591823856019114,0.2623844747287624,0.18788556573942786,0.2445670278128639,0.26643126414633006,0.35085488165539386,0.3168946928051666,0.29121856875371943,0.18743042512493216,0.20695806537584582,0.24399143448148394,0.27105506089103415,0.3127447162357708,0.27833906800972824,0.2474335766354777,0.2893481390912205,0.22967650979355006,0.2897677379231093,0.3518591686610899,0.19837199498661054,0.2882085439434994,0.22018627832433932,0.23760091593333524,0.19661892898539554,0.20965727965398534,0.33654942294956436,0.3041235690781757,0.23646840024985508,0.19886069857936275,0.26421298825163353,0.2763902493832857,0.22152509236527446,0.2974988663548342,0.17840637462975004,0.2807351642698924,0.2994838188017014,0.15773935403738212,0.3403293172117289,0.19707155968890366,0.26346299181895283,0.31923417096453316,0.3165948859820903,0.24972090964212207,0.31173917065025,0.30789982064772226,0.31011280912250827,0.22571932978377027,0.27741681409139735,0.2639109152074114,0.2617670972850933,0.1392343642581149,0.25596343180596015,0.30612608974063343,0.28616487045129557,0.24342634420935622,0.2871803009682638,0.29894277003902886,0.22587542923942608,0.3610771032605359,0.26635456340891744,0.2910932551839601,0.23213446869078364,0.26862589051857405,0.256432826972383,0.2635602890868366,0.26608272372003117,0.21239920209048865,0.17109711509132283,0.3191252192854037,0.3203546628314724,0.25672469136633624,0.2834032853007732,0.272269313680248,0.24828228319849868,0.2819276774350907,0.2686303920254653,0.2926483739484037,0.3022318599022594,0.28294994881784546,0.29887771348545,0.2755073834555531,0.20196886591737906,0.3566850819432661,0.30505645416622096,0.30478858684191334,0.13187253724360687,0.2245683759183182,0.3167195038129982,0.2114421185447684,0.17792470341491334,0.23552538340254606,0.3631608418900186,0.24814497635291013,0.29172005073571083,0.2787349043929347,0.2511319118130518,0.29324161227926393,0.2571206953119852,0.27873951216112813,0.23341488360907117,0.24685522895231718,0.336875106747013,0.37307148223319386,0.13250725956846157,0.2437908025374345,0.24711809689085218,0.2519364364549589,0.2775417058197146,0.226195250216612,0.26717783969715303,0.2957045741641224,0.27526598217191994,0.29429018810608676,0.26775625942160897,0.33386293694111746,0.1395172381272767,0.31575043866259367,0.2206790954373576,0.2427204638200268,0.3218174019367769,0.19227546124810824
