,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.5479452054794521,0.5352112676056339,0.42857142857142855,0.5555555555555556,0.6133333333333334,0.507936507936508,0.5217391304347826,0.5945945945945946,0.48571428571428577,0.6027397260273972,0.5070422535211268,0.4931506849315069,0.5675675675675675,0.5714285714285713,0.4411764705882353,0.4799999999999999,0.5479452054794521,0.6027397260273972,0.5846153846153846,0.5352112676056339,0.5428571428571428,0.4,0.5205479452054794,0.4931506849315069,0.6666666666666667,0.47457627118644075,0.5757575757575758,0.5238095238095237,0.5797101449275361,0.3466666666666666,0.5373134328358209,0.617283950617284,0.5757575757575758,0.6575342465753425,0.48717948717948717,0.6268656716417911,0.42857142857142855,0.4705882352941177,0.5263157894736842,0.5185185185185186,0.5135135135135135,0.6000000000000001,0.5121951219512195,0.5217391304347826,0.5405405405405405,0.45714285714285713,0.5142857142857143,0.5194805194805195,0.48484848484848486,0.4507042253521127,0.5135135135135135,0.4,0.5373134328358209,0.4477611940298507,0.6153846153846153,0.5753424657534246,0.56,0.625,0.5263157894736842,0.5066666666666667,0.5205479452054794,0.5454545454545454,0.4705882352941177,0.4444444444444445,0.5806451612903226,0.588235294117647,0.5970149253731343,0.4556962025316456,0.6666666666666666,0.46376811594202894,0.49230769230769234,0.5454545454545454,0.5625,0.4225352112676056,0.625,0.5405405405405406,0.48571428571428577,0.5066666666666667,0.5084745762711863,0.5714285714285715,0.5714285714285714,0.5633802816901409,0.37142857142857144,0.619718309859155,0.6,0.4871794871794872,0.5217391304347826,0.7500000000000001,0.4615384615384615,0.5217391304347826,0.6,0.4411764705882353,0.5609756097560976,0.4999999999999999,0.5,0.5783132530120482,0.5507246376811594,0.5526315789473685,0.46874999999999994,0.6774193548387097,0.5373134328358209,0.6285714285714286,0.6027397260273972,0.48780487804878053,0.4477611940298507,0.5333333333333333,0.56,0.48648648648648646,0.5714285714285714,0.5263157894736842,0.5588235294117646,0.45454545454545453,0.5205479452054794,0.4788732394366197,0.5753424657534247,0.5454545454545454,0.49350649350649356,0.6285714285714286,0.5507246376811594,0.47619047619047616,0.49275362318840576,0.4776119402985075,0.5555555555555556,0.5230769230769231,0.6153846153846153,0.5671641791044776,0.5217391304347826,0.5,0.4242424242424243,0.6075949367088608,0.6285714285714286,0.49350649350649356,0.4871794871794872,0.4799999999999999,0.5454545454545455,0.5066666666666667,0.5901639344262296,0.41935483870967744,0.5194805194805195,0.42857142857142855,0.5641025641025641,0.5454545454545454,0.5194805194805195,0.5405405405405406,0.5070422535211269,0.6000000000000001,0.463768115942029,0.6216216216216217,0.5797101449275361,0.4477611940298507
arc,0.3333333333333333,0.4,0.2,0.5714285714285715,0.42857142857142855,0.15384615384615385,0.26666666666666666,0.15384615384615383,0.3529411764705882,0.6666666666666666,0.20000000000000004,0.25000000000000006,0.25,0.28571428571428575,0.5,0.5333333333333333,0.13333333333333333,0.16666666666666666,0.5263157894736842,0.5,0.3076923076923077,0.25000000000000006,0.42105263157894735,0.28571428571428575,0.28571428571428575,0.26666666666666666,0.2857142857142857,0.13333333333333333,0.26666666666666666,0.2857142857142857,0.4444444444444445,0.35294117647058826,0.42105263157894735,0.30769230769230765,0.13333333333333333,0.13333333333333333,0.4615384615384615,0.42857142857142855,0.3157894736842105,0.4615384615384615,0.12500000000000003,0.1818181818181818,0.28571428571428575,0.6153846153846153,0.4615384615384615,0.3333333333333333,0.4615384615384615,0.6666666666666666,0.3157894736842105,0.3076923076923077,0.6666666666666666,0.2857142857142857,0.2,0.3529411764705882,0.3,0.5,0.2857142857142857,0.14285714285714288,0.14285714285714288,0.3076923076923077,0.21052631578947364,0.2857142857142857,0.37499999999999994,0.4444444444444444,0.1818181818181818,0.2222222222222222,0.2857142857142857,0.3636363636363636,0.3636363636363636,0.42857142857142855,0.1818181818181818,0.26666666666666666,0.28571428571428575,0.28571428571428575,0.4615384615384615,0.0,0.37499999999999994,0.4,0.28571428571428575,0.3333333333333333,0.3636363636363636,0.21052631578947364,0.4,0.15384615384615383,0.37499999999999994,0.3333333333333333,0.26666666666666666,0.14285714285714288,0.26666666666666666,0.5714285714285714,0.4000000000000001,0.13333333333333333,0.25,0.0,0.5,0.5000000000000001,0.3636363636363636,0.4615384615384615,0.3,0.3076923076923077,0.0,0.15384615384615385,0.5333333333333333,0.0,0.15384615384615385,0.4000000000000001,0.1818181818181818,0.26666666666666666,0.5714285714285715,0.2857142857142857,0.3333333333333333,0.0,0.625,0.30769230769230765,0.5,0.25000000000000006,0.3333333333333333,0.0,0.1818181818181818,0.26666666666666666,0.4,0.15384615384615385,0.5,0.28571428571428575,0.22222222222222224,0.3333333333333333,0.25000000000000006,0.30769230769230765,0.5454545454545454,0.4444444444444444,0.22222222222222224,0.33333333333333337,0.30769230769230765,0.1818181818181818,0.37499999999999994,0.2857142857142857,0.47058823529411764,0.30769230769230765,0.26666666666666666,0.22222222222222224,0.11764705882352941,0.4000000000000001,0.5,0.30769230769230765,0.42857142857142855,0.3076923076923077,0.2857142857142857,0.28571428571428575,0.6666666666666667,0.1818181818181818
camel-1.6,0.3820224719101124,0.44155844155844154,0.31884057971014496,0.4,0.40963855421686746,0.25974025974025977,0.35135135135135137,0.5057471264367815,0.3170731707317074,0.31460674157303375,0.41975308641975306,0.4109589041095891,0.38961038961038963,0.3037974683544304,0.4166666666666667,0.4507042253521127,0.3076923076923077,0.4,0.45,0.36585365853658536,0.379746835443038,0.34210526315789475,0.3950617283950617,0.3529411764705882,0.44776119402985076,0.32558139534883723,0.26506024096385544,0.4109589041095891,0.3870967741935483,0.2972972972972973,0.3896103896103896,0.3846153846153847,0.2597402597402597,0.41379310344827586,0.3950617283950617,0.3013698630136986,0.3132530120481928,0.46153846153846156,0.4186046511627907,0.4418604651162791,0.2857142857142857,0.46913580246913583,0.39999999999999997,0.43678160919540227,0.3142857142857143,0.4096385542168674,0.3846153846153847,0.3448275862068966,0.33333333333333337,0.4225352112676056,0.37894736842105264,0.30952380952380953,0.35443037974683544,0.4444444444444444,0.3181818181818182,0.3896103896103896,0.42696629213483145,0.36585365853658536,0.3846153846153846,0.2465753424657534,0.34146341463414637,0.42857142857142855,0.20289855072463767,0.43902439024390244,0.43902439024390244,0.40909090909090917,0.2894736842105264,0.40476190476190477,0.2682926829268293,0.28571428571428575,0.37362637362637363,0.46913580246913583,0.3466666666666667,0.4411764705882353,0.4175824175824176,0.425,0.3544303797468354,0.38554216867469876,0.3466666666666667,0.44705882352941173,0.44444444444444453,0.36585365853658536,0.42105263157894735,0.37777777777777777,0.41025641025641024,0.40909090909090917,0.2571428571428572,0.2988505747126437,0.47826086956521735,0.35714285714285715,0.49382716049382713,0.32,0.2891566265060241,0.32911392405063294,0.4186046511627907,0.47311827956989244,0.29333333333333333,0.2926829268292683,0.36144578313253006,0.3846153846153846,0.5365853658536586,0.35714285714285715,0.380952380952381,0.40963855421686746,0.35,0.4155844155844156,0.38554216867469876,0.4375,0.30952380952380953,0.430379746835443,0.4000000000000001,0.4,0.26506024096385544,0.3768115942028986,0.4242424242424242,0.379746835443038,0.3835616438356164,0.43902439024390244,0.37974683544303794,0.372093023255814,0.5393258426966292,0.22535211267605634,0.4594594594594595,0.4444444444444444,0.34285714285714286,0.43902439024390244,0.441860465116279,0.3013698630136986,0.36144578313253006,0.40963855421686746,0.37209302325581395,0.4594594594594595,0.3170731707317074,0.3243243243243243,0.23999999999999996,0.4155844155844156,0.47500000000000003,0.41025641025641024,0.3,0.27848101265822783,0.38554216867469876,0.3695652173913044,0.46913580246913583,0.27848101265822783,0.3764705882352941,0.45,0.38636363636363635,0.4,0.3414634146341463,0.42500000000000004
ivy-2.0,0.3846153846153846,0.2105263157894737,0.125,0.4761904761904762,0.35294117647058826,0.5454545454545454,0.380952380952381,0.3076923076923077,0.23529411764705882,0.1904761904761905,0.36363636363636365,0.33333333333333326,0.3157894736842105,0.125,0.4210526315789474,0.375,0.4,0.5263157894736842,0.15384615384615385,0.25,0.39999999999999997,0.22222222222222224,0.11111111111111112,0.2105263157894737,0.2727272727272727,0.2105263157894737,0.22222222222222224,0.125,0.1904761904761905,0.5263157894736842,0.48,0.23529411764705882,0.35294117647058826,0.11764705882352941,0.25,0.25,0.3333333333333333,0.0,0.18181818181818182,0.11764705882352941,0.26666666666666666,0.3478260869565218,0.39999999999999997,0.125,0.09523809523809525,0.4761904761904762,0.3157894736842105,0.4210526315789474,0.33333333333333326,0.13333333333333333,0.23529411764705882,0.11764705882352941,0.4444444444444445,0.14285714285714288,0.36363636363636365,0.14285714285714288,0.11111111111111112,0.5217391304347827,0.3333333333333333,0.3157894736842105,0.0,0.0,0.5555555555555556,0.25,0.4,0.3157894736842105,0.15384615384615385,0.14285714285714288,0.22222222222222224,0.31999999999999995,0.125,0.47058823529411764,0.13333333333333333,0.25,0.125,0.26666666666666666,0.37037037037037035,0.23529411764705882,0.14285714285714288,0.35294117647058826,0.3478260869565218,0.11764705882352941,0.5,0.4210526315789474,0.0,0.2105263157894737,0.3157894736842105,0.25,0.3333333333333333,0.45454545454545453,0.11111111111111112,0.3333333333333333,0.3333333333333333,0.23529411764705882,0.4,0.35294117647058826,0.28571428571428575,0.3333333333333333,0.22222222222222224,0.3,0.4210526315789474,0.18181818181818182,0.35294117647058826,0.3333333333333333,0.375,0.35294117647058826,0.26086956521739135,0.26086956521739135,0.375,0.375,0.5263157894736842,0.28571428571428575,0.125,0.11764705882352941,0.125,0.0,0.1739130434782609,0.28571428571428575,0.1904761904761905,0.45454545454545453,0.25,0.0,0.39999999999999997,0.18181818181818182,0.380952380952381,0.3,0.25,0.4444444444444445,0.45454545454545453,0.33333333333333326,0.25,0.22222222222222224,0.4166666666666667,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.31999999999999995,0.0,0.4210526315789474,0.10526315789473685,0.2857142857142857,0.3157894736842105,0.33333333333333326,0.1904761904761905,0.36363636363636365,0.11764705882352941,0.3,0.35294117647058826,0.14285714285714288,0.3333333333333333
jedit-4.3,0.23529411764705882,0.28571428571428575,0.0,0.22222222222222224,0.1818181818181818,0.1818181818181818,0.3333333333333333,0.2,0.4,0.22222222222222224,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.0,0.30769230769230765,0.0,0.4,0.5714285714285715,0.16666666666666669,0.0,0.28571428571428575,0.0,0.33333333333333337,0.2857142857142857,0.28571428571428575,0.0,0.1818181818181818,0.28571428571428575,0.0,0.0,0.5,0.0,0.4,0.22222222222222224,0.26666666666666666,0.25,0.0,0.28571428571428575,0.13333333333333336,0.4444444444444444,0.0,0.0,0.4,0.0,0.18181818181818182,0.22222222222222224,0.15384615384615385,0.3636363636363636,0.16666666666666669,0.16666666666666666,0.3333333333333333,0.1818181818181818,0.25,0.0,0.3333333333333333,0.2,0.4,0.22222222222222224,0.0,0.2222222222222222,0.25,0.28571428571428575,0.28571428571428575,0.3333333333333333,0.30769230769230765,0.0,0.0,0.5,0.22222222222222224,0.2222222222222222,0.4444444444444445,0.3333333333333333,0.1818181818181818,0.2,0.0,0.5,0.22222222222222224,0.25,0.16666666666666669,0.25,0.2,0.25,0.28571428571428575,0.0,0.4615384615384615,0.28571428571428575,0.22222222222222224,0.0,0.2,0.3333333333333333,0.25,0.25,0.4444444444444445,0.16666666666666669,0.4,0.3333333333333333,0.0,0.1818181818181818,0.28571428571428575,0.30769230769230765,0.3333333333333333,0.15384615384615385,0.2,0.22222222222222224,0.3333333333333333,0.28571428571428575,0.0,0.125,0.2,0.0,0.3076923076923077,0.0,0.4444444444444445,0.22222222222222224,0.0,0.4,0.5,0.0,0.2,0.3333333333333333,0.2,0.4,0.0,0.15384615384615385,0.0,0.28571428571428575,0.25,0.1818181818181818,0.3636363636363636,0.16666666666666666,0.22222222222222224,0.0,0.15384615384615385,0.0,0.36363636363636365,0.0,0.3333333333333333,0.25,0.25,0.0,0.22222222222222224,0.4,0.19999999999999998,0.2857142857142857,0.3333333333333333,0.0,0.0,0.3333333333333333
log4j-1.2,0.9473684210526315,0.935064935064935,0.9736842105263158,0.9333333333333332,0.9210526315789475,0.9487179487179489,0.9333333333333332,0.9743589743589743,0.904109589041096,0.9333333333333332,0.9599999999999999,0.9487179487179489,0.9210526315789473,0.9870129870129869,0.9473684210526315,0.9459459459459458,0.9610389610389611,0.861111111111111,0.9599999999999999,0.918918918918919,0.918918918918919,0.935064935064935,0.918918918918919,0.9315068493150684,0.9066666666666667,0.9473684210526315,0.9736842105263158,0.9610389610389611,0.9599999999999999,0.8985507246376812,0.9333333333333332,0.9066666666666667,0.9333333333333332,0.9599999999999999,0.935064935064935,0.9473684210526315,0.9210526315789473,0.9014084507042254,0.9473684210526315,0.935064935064935,0.9599999999999999,0.918918918918919,0.9333333333333332,0.8918918918918918,0.9459459459459459,0.9743589743589743,0.9487179487179489,0.9610389610389611,0.958904109589041,0.918918918918919,0.9599999999999999,0.9459459459459458,0.9736842105263158,0.935064935064935,0.9599999999999999,0.9599999999999999,0.9736842105263158,0.935064935064935,0.9315068493150684,0.9041095890410958,0.9473684210526315,0.9599999999999999,0.9736842105263158,0.9210526315789473,0.8918918918918919,0.9599999999999999,0.918918918918919,0.9610389610389611,0.9610389610389611,0.8405797101449275,0.9315068493150684,0.9473684210526315,0.9870129870129869,0.904109589041096,0.9459459459459459,0.9487179487179489,0.9444444444444444,0.9333333333333332,0.958904109589041,0.8732394366197184,0.9620253164556963,0.9315068493150684,0.9487179487179489,0.9459459459459458,0.9577464788732395,0.9599999999999999,1.0,0.918918918918919,0.9210526315789473,0.9166666666666667,0.9210526315789473,0.9473684210526315,0.9444444444444444,0.9743589743589743,0.961038961038961,0.9736842105263158,0.9459459459459458,0.9210526315789473,0.9473684210526315,0.935064935064935,0.9610389610389611,0.972972972972973,0.904109589041096,0.9473684210526315,0.935064935064935,0.935064935064935,0.9599999999999999,0.918918918918919,0.9315068493150684,0.9333333333333332,0.9333333333333332,0.935064935064935,0.904109589041096,0.9736842105263158,0.888888888888889,0.9315068493150684,0.9599999999999999,0.9473684210526315,0.9610389610389611,0.9473684210526315,0.9610389610389611,0.9736842105263158,0.9166666666666667,0.9210526315789473,0.918918918918919,0.9459459459459458,0.9066666666666667,0.9736842105263158,0.935064935064935,0.9599999999999999,0.9210526315789473,0.9210526315789473,0.9866666666666666,0.9599999999999999,0.918918918918919,0.9473684210526315,0.9610389610389611,0.9736842105263158,0.9295774647887324,0.9333333333333332,0.9210526315789473,0.9473684210526315,0.9166666666666667,0.918918918918919,0.918918918918919,0.9599999999999999,0.9066666666666667,0.9487179487179489,0.9599999999999999,0.9142857142857143
lucene-2.4,0.6428571428571429,0.7532467532467532,0.7749999999999999,0.6419753086419754,0.7341772151898733,0.7380952380952381,0.7317073170731707,0.6923076923076923,0.6666666666666666,0.6493506493506493,0.7341772151898733,0.7272727272727273,0.605263157894737,0.7804878048780488,0.7,0.7529411764705882,0.7228915662650603,0.736842105263158,0.7317073170731706,0.6666666666666665,0.7088607594936709,0.6923076923076923,0.6478873239436621,0.7142857142857143,0.7,0.7441860465116279,0.638888888888889,0.7228915662650603,0.6666666666666666,0.7894736842105262,0.6578947368421052,0.7073170731707317,0.7894736842105263,0.7012987012987014,0.7380952380952381,0.6913580246913581,0.6933333333333332,0.7179487179487181,0.6419753086419754,0.7160493827160495,0.6111111111111112,0.7804878048780488,0.7777777777777778,0.6,0.6,0.7710843373493976,0.7222222222222222,0.761904761904762,0.7272727272727273,0.5833333333333334,0.7407407407407408,0.7160493827160495,0.725,0.717948717948718,0.6301369863013698,0.8,0.6499999999999999,0.684931506849315,0.7012987012987014,0.6486486486486486,0.6933333333333332,0.7586206896551724,0.7901234567901235,0.776470588235294,0.6865671641791045,0.6575342465753423,0.7012987012987012,0.7407407407407408,0.6575342465753425,0.6987951807228916,0.725,0.746987951807229,0.6666666666666666,0.8157894736842106,0.7380952380952381,0.7749999999999999,0.6578947368421052,0.7228915662650603,0.7073170731707318,0.6133333333333333,0.7532467532467532,0.7027027027027027,0.6904761904761904,0.6666666666666666,0.6849315068493151,0.6197183098591549,0.746987951807229,0.8,0.6571428571428571,0.6578947368421053,0.6493506493506495,0.725,0.6913580246913581,0.6913580246913581,0.7631578947368423,0.736842105263158,0.7045454545454545,0.7804878048780488,0.775,0.7160493827160495,0.7073170731707317,0.7297297297297297,0.6923076923076923,0.7999999999999998,0.6857142857142857,0.7000000000000001,0.7012987012987012,0.6578947368421052,0.7341772151898733,0.7272727272727273,0.6410256410256411,0.7105263157894737,0.7088607594936709,0.7710843373493975,0.75,0.7954545454545454,0.6923076923076923,0.7435897435897435,0.7297297297297296,0.6060606060606061,0.7441860465116279,0.6835443037974684,0.6904761904761904,0.6849315068493151,0.6933333333333334,0.7435897435897435,0.7073170731707317,0.7380952380952381,0.708860759493671,0.619718309859155,0.7000000000000001,0.7272727272727273,0.6835443037974684,0.6842105263157895,0.6976744186046512,0.6176470588235294,0.7764705882352942,0.7674418604651163,0.7397260273972603,0.7710843373493975,0.7710843373493976,0.7341772151898733,0.6913580246913581,0.7058823529411765,0.717948717948718,0.7105263157894737,0.7012987012987012,0.6753246753246753,0.6753246753246753,0.6052631578947367
poi-3.0,0.8141592920353982,0.8181818181818182,0.8181818181818182,0.8703703703703703,0.8518518518518519,0.8495575221238938,0.8571428571428571,0.8490566037735849,0.8214285714285714,0.7962962962962962,0.8623853211009175,0.7857142857142857,0.8256880733944955,0.8761904761904763,0.8256880733944955,0.8440366972477065,0.8571428571428571,0.7777777777777779,0.8333333333333334,0.8518518518518519,0.8545454545454546,0.7428571428571428,0.8224299065420562,0.8679245283018867,0.8387096774193549,0.8333333333333333,0.7999999999999999,0.8440366972477065,0.8318584070796461,0.7777777777777779,0.8113207547169812,0.875,0.8113207547169812,0.7924528301886793,0.8173913043478261,0.8571428571428571,0.7547169811320756,0.8333333333333334,0.8813559322033899,0.7999999999999999,0.8598130841121495,0.8571428571428571,0.7999999999999999,0.8547008547008548,0.7476635514018691,0.8181818181818182,0.8440366972477065,0.830188679245283,0.7962962962962962,0.8598130841121495,0.8717948717948718,0.8490566037735849,0.8181818181818182,0.8518518518518519,0.7454545454545455,0.8034188034188033,0.8521739130434782,0.8648648648648648,0.82,0.8108108108108109,0.7927927927927928,0.8214285714285714,0.7961165048543688,0.8173913043478261,0.8037383177570093,0.8256880733944955,0.8073394495412844,0.8392857142857143,0.8596491228070176,0.8224299065420562,0.8518518518518519,0.8333333333333334,0.7962962962962962,0.7999999999999999,0.8623853211009174,0.8108108108108109,0.7777777777777779,0.7843137254901961,0.8648648648648648,0.8461538461538461,0.8474576271186439,0.7889908256880735,0.8672566371681416,0.8518518518518519,0.7924528301886793,0.8727272727272727,0.7999999999999999,0.8245614035087718,0.8214285714285714,0.8318584070796461,0.7663551401869159,0.8037383177570093,0.8288288288288289,0.7706422018348623,0.8108108108108109,0.8288288288288288,0.7927927927927927,0.8067226890756302,0.8571428571428571,0.7619047619047619,0.8672566371681416,0.8288288288288289,0.8623853211009174,0.8148148148148148,0.8545454545454546,0.8495575221238938,0.7999999999999999,0.7999999999999999,0.8672566371681416,0.7999999999999999,0.8468468468468469,0.8141592920353982,0.8224299065420562,0.7927927927927927,0.8181818181818182,0.8739495798319329,0.838095238095238,0.7924528301886793,0.8518518518518519,0.8333333333333334,0.8376068376068376,0.8037383177570093,0.8703703703703703,0.8318584070796461,0.7809523809523811,0.7706422018348624,0.8245614035087718,0.8269230769230769,0.8623853211009174,0.7547169811320756,0.8181818181818182,0.888888888888889,0.7999999999999999,0.8545454545454546,0.8108108108108109,0.8620689655172413,0.8392857142857143,0.8076923076923077,0.8256880733944955,0.8108108108108109,0.7619047619047619,0.8785046728971961,0.8785046728971961,0.8099173553719008,0.8495575221238938,0.8181818181818182,0.875,0.819047619047619,0.8771929824561403,0.8073394495412844
synapse-1.2,0.6829268292682927,0.6285714285714287,0.5999999999999999,0.5882352941176471,0.5405405405405405,0.6285714285714287,0.5454545454545455,0.5882352941176471,0.5641025641025642,0.6285714285714287,0.6486486486486486,0.5,0.625,0.5555555555555555,0.6842105263157895,0.6285714285714287,0.5405405405405405,0.5,0.7027027027027027,0.45714285714285713,0.5405405405405405,0.6341463414634146,0.6857142857142857,0.5625,0.5945945945945946,0.43750000000000006,0.6486486486486486,0.4000000000000001,0.5263157894736842,0.5999999999999999,0.4210526315789474,0.6060606060606061,0.625,0.7058823529411765,0.5,0.6666666666666666,0.6315789473684211,0.6206896551724139,0.7027027027027027,0.5161290322580646,0.6285714285714287,0.6285714285714287,0.4000000000000001,0.5882352941176471,0.48780487804878053,0.5161290322580646,0.5405405405405405,0.5,0.7058823529411765,0.37500000000000006,0.5555555555555556,0.5263157894736842,0.6875,0.6111111111111113,0.6857142857142857,0.55,0.48648648648648646,0.5555555555555555,0.7368421052631577,0.6206896551724139,0.6,0.6341463414634146,0.6470588235294118,0.6285714285714287,0.6875,0.7058823529411765,0.6486486486486486,0.7,0.48484848484848486,0.4666666666666667,0.5263157894736842,0.717948717948718,0.48484848484848486,0.5714285714285714,0.6285714285714287,0.6,0.5333333333333333,0.6060606060606061,0.6190476190476191,0.5714285714285715,0.619047619047619,0.7272727272727272,0.5789473684210527,0.5,0.5161290322580646,0.606060606060606,0.4666666666666667,0.5853658536585366,0.6341463414634146,0.6470588235294118,0.5714285714285715,0.45714285714285713,0.5333333333333333,0.5625,0.5454545454545455,0.6111111111111112,0.6470588235294118,0.5128205128205129,0.5,0.5333333333333333,0.5,0.6666666666666667,0.6842105263157895,0.4827586206896552,0.6470588235294118,0.5555555555555556,0.5294117647058824,0.6666666666666667,0.5,0.7500000000000001,0.5882352941176471,0.6111111111111113,0.6857142857142857,0.6341463414634146,0.48484848484848486,0.5789473684210527,0.5454545454545455,0.6,0.6470588235294118,0.5128205128205129,0.6470588235294118,0.6060606060606061,0.5294117647058824,0.6470588235294118,0.5789473684210527,0.6818181818181818,0.5882352941176471,0.6857142857142857,0.5405405405405405,0.5,0.6285714285714287,0.5882352941176471,0.5999999999999999,0.5128205128205129,0.5,0.4736842105263158,0.5142857142857143,0.5454545454545455,0.5945945945945946,0.6842105263157895,0.631578947368421,0.7500000000000001,0.5714285714285715,0.48648648648648646,0.45714285714285713,0.5263157894736842,0.7,0.5294117647058824,0.7741935483870968,0.625
tomcat,0.3783783783783784,0.2727272727272727,0.2926829268292683,0.43243243243243246,0.4545454545454545,0.3333333333333333,0.3404255319148936,0.5416666666666666,0.29268292682926833,0.4102564102564102,0.1818181818181818,0.46153846153846156,0.4210526315789474,0.38095238095238093,0.29268292682926833,0.5,0.16666666666666663,0.3181818181818182,0.3333333333333333,0.33333333333333337,0.5581395348837209,0.37837837837837834,0.22857142857142856,0.3829787234042553,0.3913043478260869,0.28571428571428575,0.45,0.26666666666666666,0.47058823529411764,0.39215686274509803,0.3333333333333333,0.4444444444444445,0.4444444444444445,0.27906976744186046,0.17142857142857143,0.3076923076923077,0.39024390243902435,0.33333333333333326,0.3181818181818182,0.2439024390243902,0.33333333333333337,0.46153846153846156,0.326530612244898,0.3783783783783784,0.43749999999999994,0.4000000000000001,0.3478260869565218,0.39999999999999997,0.34782608695652173,0.3404255319148936,0.4615384615384615,0.24390243902439027,0.24390243902439027,0.4102564102564102,0.43243243243243246,0.2857142857142857,0.2631578947368421,0.339622641509434,0.47826086956521735,0.43749999999999994,0.43243243243243246,0.33333333333333326,0.40909090909090917,0.3902439024390244,0.2857142857142857,0.43243243243243246,0.2978723404255319,0.2564102564102564,0.3181818181818182,0.5499999999999999,0.37209302325581395,0.46153846153846156,0.30769230769230765,0.3902439024390244,0.4571428571428572,0.4210526315789474,0.2105263157894737,0.4651162790697674,0.4090909090909091,0.29268292682926833,0.3404255319148936,0.45,0.5,0.3902439024390244,0.4,0.29268292682926833,0.35000000000000003,0.380952380952381,0.4117647058823529,0.4,0.37209302325581395,0.3243243243243243,0.3157894736842105,0.4090909090909091,0.3043478260869565,0.26315789473684204,0.41025641025641024,0.37209302325581395,0.37499999999999994,0.3125,0.31111111111111117,0.4,0.2857142857142857,0.5,0.3888888888888889,0.4102564102564102,0.33333333333333337,0.5116279069767441,0.3243243243243243,0.3,0.47058823529411764,0.2727272727272727,0.17142857142857143,0.42307692307692313,0.27906976744186046,0.4210526315789474,0.4489795918367347,0.33333333333333326,0.4444444444444444,0.3783783783783784,0.41860465116279066,0.4761904761904762,0.38888888888888884,0.32558139534883723,0.25,0.3448275862068965,0.35000000000000003,0.3111111111111111,0.47368421052631576,0.38095238095238093,0.5454545454545454,0.27906976744186046,0.27027027027027023,0.47368421052631576,0.26666666666666666,0.2285714285714286,0.24242424242424243,0.5142857142857142,0.3888888888888889,0.4,0.3783783783783784,0.26666666666666666,0.4375,0.37209302325581395,0.23529411764705882,0.29268292682926833,0.3684210526315789,0.4651162790697674,0.3225806451612903,0.37209302325581395
