,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.6060606060606061,0.5757575757575758,0.45454545454545453,0.6060606060606061,0.6764705882352942,0.48484848484848486,0.5454545454545454,0.6666666666666666,0.5151515151515151,0.6470588235294118,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.4411764705882353,0.5454545454545454,0.6060606060606061,0.6666666666666666,0.5757575757575758,0.5588235294117647,0.5757575757575758,0.3939393939393939,0.5757575757575758,0.5454545454545454,0.7647058823529411,0.42424242424242425,0.5757575757575758,0.6666666666666666,0.6060606060606061,0.38235294117647056,0.5454545454545454,0.7575757575757576,0.5757575757575758,0.7272727272727273,0.5588235294117647,0.6363636363636364,0.45454545454545453,0.48484848484848486,0.6060606060606061,0.6176470588235294,0.5757575757575758,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5882352941176471,0.48484848484848486,0.5454545454545454,0.6060606060606061,0.48484848484848486,0.47058823529411764,0.5757575757575758,0.3939393939393939,0.5454545454545454,0.45454545454545453,0.7058823529411765,0.6363636363636364,0.6363636363636364,0.6060606060606061,0.6060606060606061,0.5588235294117647,0.5757575757575758,0.5454545454545454,0.48484848484848486,0.42424242424242425,0.5294117647058824,0.6060606060606061,0.6060606060606061,0.5454545454545454,0.8181818181818182,0.47058823529411764,0.48484848484848486,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.7352941176470589,0.6060606060606061,0.5151515151515151,0.5757575757575758,0.45454545454545453,0.6470588235294118,0.6060606060606061,0.6060606060606061,0.3939393939393939,0.6666666666666666,0.6176470588235294,0.5757575757575758,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.5294117647058824,0.5454545454545454,0.45454545454545453,0.696969696969697,0.5454545454545454,0.5882352941176471,0.7272727272727273,0.5757575757575758,0.6363636363636364,0.45454545454545453,0.6176470588235294,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6060606060606061,0.4411764705882353,0.6060606060606061,0.6363636363636364,0.5454545454545454,0.6060606060606061,0.5882352941176471,0.5757575757575758,0.45454545454545453,0.5757575757575758,0.5151515151515151,0.6176470588235294,0.5454545454545454,0.5757575757575758,0.6666666666666666,0.5757575757575758,0.4411764705882353,0.5151515151515151,0.48484848484848486,0.6060606060606061,0.5151515151515151,0.7058823529411765,0.5757575757575758,0.5454545454545454,0.5757575757575758,0.42424242424242425,0.7058823529411765,0.6666666666666666,0.5757575757575758,0.5757575757575758,0.5454545454545454,0.5294117647058824,0.5757575757575758,0.5454545454545454,0.3939393939393939,0.6060606060606061,0.4411764705882353,0.6666666666666666,0.5454545454545454,0.6060606060606061,0.6060606060606061,0.5294117647058824,0.6363636363636364,0.48484848484848486,0.696969696969697,0.6060606060606061,0.4411764705882353
arc,0.4,0.6,0.16666666666666666,0.6666666666666666,0.6,0.2,0.4,0.16666666666666666,0.5,0.8,0.2,0.4,0.3333333333333333,0.3333333333333333,0.6,0.8,0.2,0.16666666666666666,0.8333333333333334,0.4,0.4,0.4,0.6666666666666666,0.3333333333333333,0.2,0.4,0.4,0.16666666666666666,0.3333333333333333,0.4,0.4,0.6,0.6666666666666666,0.3333333333333333,0.2,0.2,0.6,0.5,0.5,0.6,0.2,0.2,0.3333333333333333,0.6666666666666666,0.6,0.4,0.6,0.5,0.5,0.4,0.8,0.4,0.16666666666666666,0.5,0.6,0.6,0.4,0.16666666666666666,0.16666666666666666,0.4,0.4,0.4,0.5,0.3333333333333333,0.2,0.4,0.4,0.3333333333333333,0.3333333333333333,0.6,0.2,0.4,0.3333333333333333,0.3333333333333333,0.6,0.0,0.6,0.5,0.3333333333333333,0.4,0.4,0.4,0.5,0.16666666666666666,0.6,0.4,0.4,0.16666666666666666,0.3333333333333333,0.8,0.4,0.2,0.3333333333333333,0.0,0.6,0.8,0.4,0.5,0.5,0.4,0.0,0.2,0.6666666666666666,0.0,0.2,0.4,0.2,0.3333333333333333,0.6666666666666666,0.4,0.4,0.0,0.8333333333333334,0.3333333333333333,0.6,0.4,0.4,0.0,0.16666666666666666,0.4,0.6,0.2,0.6666666666666666,0.3333333333333333,0.2,0.4,0.4,0.3333333333333333,0.5,0.8,0.2,0.6,0.3333333333333333,0.16666666666666666,0.6,0.4,0.8,0.3333333333333333,0.3333333333333333,0.2,0.2,0.4,0.5,0.3333333333333333,0.6,0.4,0.4,0.3333333333333333,0.8333333333333334,0.2
camel-1.6,0.4594594594594595,0.4594594594594595,0.2894736842105263,0.39473684210526316,0.4473684210526316,0.2702702702702703,0.35135135135135137,0.5789473684210527,0.34210526315789475,0.3684210526315789,0.4594594594594595,0.40540540540540543,0.39473684210526316,0.3157894736842105,0.5263157894736842,0.43243243243243246,0.2702702702702703,0.42105263157894735,0.47368421052631576,0.39473684210526316,0.40540540540540543,0.35135135135135137,0.42105263157894735,0.39473684210526316,0.39473684210526316,0.3783783783783784,0.2972972972972973,0.39473684210526316,0.47368421052631576,0.2894736842105263,0.40540540540540543,0.40540540540540543,0.2631578947368421,0.47368421052631576,0.42105263157894735,0.2972972972972973,0.35135135135135137,0.47368421052631576,0.47368421052631576,0.5,0.2702702702702703,0.5135135135135135,0.47368421052631576,0.5,0.2894736842105263,0.4594594594594595,0.40540540540540543,0.39473684210526316,0.3157894736842105,0.39473684210526316,0.4864864864864865,0.35135135135135137,0.3684210526315789,0.42105263157894735,0.3684210526315789,0.40540540540540543,0.5135135135135135,0.39473684210526316,0.39473684210526316,0.23684210526315788,0.3783783783783784,0.4864864864864865,0.18421052631578946,0.47368421052631576,0.47368421052631576,0.4864864864864865,0.2972972972972973,0.4473684210526316,0.2894736842105263,0.2894736842105263,0.4594594594594595,0.5135135135135135,0.34210526315789475,0.39473684210526316,0.5,0.4594594594594595,0.3783783783783784,0.42105263157894735,0.34210526315789475,0.5,0.4864864864864865,0.40540540540540543,0.42105263157894735,0.4473684210526316,0.42105263157894735,0.4864864864864865,0.24324324324324326,0.34210526315789475,0.5789473684210527,0.39473684210526316,0.5405405405405406,0.32432432432432434,0.3157894736842105,0.34210526315789475,0.47368421052631576,0.5945945945945946,0.2972972972972973,0.3157894736842105,0.39473684210526316,0.39473684210526316,0.5945945945945946,0.40540540540540543,0.42105263157894735,0.4473684210526316,0.3684210526315789,0.43243243243243246,0.43243243243243246,0.5526315789473685,0.34210526315789475,0.4473684210526316,0.3783783783783784,0.40540540540540543,0.2894736842105263,0.34210526315789475,0.5526315789473685,0.40540540540540543,0.3783783783783784,0.47368421052631576,0.39473684210526316,0.42105263157894735,0.6486486486486487,0.21621621621621623,0.4473684210526316,0.47368421052631576,0.3157894736842105,0.4864864864864865,0.5135135135135135,0.2894736842105263,0.39473684210526316,0.4473684210526316,0.43243243243243246,0.4594594594594595,0.34210526315789475,0.3157894736842105,0.23684210526315788,0.43243243243243246,0.5135135135135135,0.42105263157894735,0.3157894736842105,0.2894736842105263,0.43243243243243246,0.4594594594594595,0.5,0.2894736842105263,0.42105263157894735,0.4864864864864865,0.4594594594594595,0.39473684210526316,0.3684210526315789,0.4473684210526316
ivy-2.0,0.625,0.25,0.125,0.625,0.375,0.75,0.5,0.25,0.25,0.25,0.5,0.375,0.375,0.125,0.5,0.375,0.625,0.625,0.125,0.375,0.375,0.25,0.125,0.25,0.375,0.25,0.25,0.125,0.25,0.625,0.75,0.25,0.375,0.125,0.25,0.25,0.5,0.0,0.25,0.125,0.25,0.5,0.375,0.125,0.125,0.625,0.375,0.5,0.375,0.125,0.25,0.125,0.5,0.125,0.5,0.125,0.125,0.75,0.5,0.375,0.0,0.0,0.625,0.25,0.625,0.375,0.125,0.125,0.25,0.5,0.125,0.5,0.125,0.25,0.125,0.25,0.625,0.25,0.125,0.375,0.5,0.125,0.625,0.5,0.0,0.25,0.375,0.25,0.25,0.625,0.125,0.25,0.5,0.25,0.5,0.375,0.25,0.5,0.25,0.375,0.5,0.25,0.375,0.5,0.375,0.375,0.375,0.375,0.375,0.375,0.625,0.25,0.125,0.125,0.125,0.0,0.25,0.25,0.25,0.625,0.25,0.0,0.375,0.25,0.5,0.375,0.25,0.5,0.625,0.375,0.25,0.25,0.625,0.25,0.375,0.25,0.5,0.0,0.5,0.125,0.375,0.375,0.375,0.25,0.5,0.125,0.375,0.375,0.125,0.5
jedit-4.3,1.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,1.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.0,0.0,0.5
log4j-1.2,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9210526315789473,0.9459459459459459,0.9736842105263158,0.9210526315789473,1.0,0.868421052631579,0.9459459459459459,0.9473684210526315,0.9736842105263158,0.9210526315789473,1.0,0.972972972972973,0.9210526315789473,0.9736842105263158,0.8157894736842105,0.9473684210526315,0.918918918918919,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.918918918918919,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.8378378378378378,0.9210526315789473,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.972972972972973,0.9473684210526315,0.9210526315789473,0.8421052631578947,0.9473684210526315,0.972972972972973,0.9473684210526315,0.8947368421052632,0.9210526315789473,0.868421052631579,0.9459459459459459,1.0,0.9736842105263158,0.9736842105263158,0.9210526315789473,0.918918918918919,0.9473684210526315,0.9210526315789473,0.9736842105263158,0.9473684210526315,0.972972972972973,0.9473684210526315,0.9736842105263158,0.9473684210526315,0.8947368421052632,0.8918918918918919,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9210526315789473,0.8918918918918919,0.9473684210526315,0.8947368421052632,0.9736842105263158,0.9736842105263158,0.7837837837837838,0.8947368421052632,0.9473684210526315,1.0,0.868421052631579,0.9459459459459459,0.9736842105263158,0.8947368421052632,0.9210526315789473,0.9210526315789473,0.8378378378378378,1.0,0.8947368421052632,0.9736842105263158,0.9210526315789473,0.918918918918919,0.9473684210526315,1.0,0.8947368421052632,0.9210526315789473,0.8918918918918919,0.9210526315789473,0.9473684210526315,0.8947368421052632,1.0,1.0,0.9736842105263158,0.9210526315789473,0.9210526315789473,0.9473684210526315,0.972972972972973,0.9736842105263158,0.9473684210526315,0.868421052631579,0.9473684210526315,0.972972972972973,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.9459459459459459,0.9210526315789473,0.9473684210526315,0.868421052631579,0.9736842105263158,0.8648648648648649,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.972972972972973,0.9736842105263158,0.9736842105263158,0.868421052631579,0.9210526315789473,0.918918918918919,0.9210526315789473,0.8947368421052632,0.9736842105263158,0.9473684210526315,0.972972972972973,0.9210526315789473,0.9210526315789473,0.9736842105263158,0.9473684210526315,0.918918918918919,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.868421052631579,0.9459459459459459,0.9210526315789473,0.9473684210526315,0.868421052631579,0.8947368421052632,0.918918918918919,0.9473684210526315,0.8947368421052632,0.9736842105263158,0.9473684210526315,0.8648648648648649
lucene-2.4,0.6585365853658537,0.7073170731707317,0.7560975609756098,0.65,0.725,0.7560975609756098,0.7317073170731707,0.6585365853658537,0.625,0.625,0.7073170731707317,0.6829268292682927,0.5609756097560976,0.8,0.7,0.7804878048780488,0.7317073170731707,0.6829268292682927,0.75,0.6,0.6829268292682927,0.6585365853658537,0.5609756097560976,0.625,0.7,0.7804878048780488,0.5609756097560976,0.7317073170731707,0.7,0.75,0.6097560975609756,0.7073170731707317,0.7317073170731707,0.675,0.775,0.6829268292682927,0.6341463414634146,0.6829268292682927,0.65,0.725,0.5365853658536586,0.7804878048780488,0.8536585365853658,0.6,0.525,0.7804878048780488,0.6341463414634146,0.7804878048780488,0.7,0.525,0.7317073170731707,0.7073170731707317,0.7073170731707317,0.7,0.575,0.7804878048780488,0.6341463414634146,0.6097560975609756,0.675,0.6,0.6341463414634146,0.8048780487804879,0.7804878048780488,0.825,0.575,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.6,0.725,0.7073170731707317,0.7560975609756098,0.6097560975609756,0.775,0.775,0.7560975609756098,0.6097560975609756,0.7317073170731707,0.725,0.575,0.7073170731707317,0.6341463414634146,0.7073170731707317,0.7,0.625,0.5365853658536586,0.7560975609756098,0.8780487804878049,0.575,0.625,0.6097560975609756,0.7073170731707317,0.6829268292682927,0.7,0.725,0.6829268292682927,0.7560975609756098,0.7804878048780488,0.775,0.725,0.7073170731707317,0.6585365853658537,0.6585365853658537,0.85,0.6,0.6829268292682927,0.6585365853658537,0.6097560975609756,0.725,0.7,0.6097560975609756,0.6585365853658537,0.6829268292682927,0.8,0.75,0.8536585365853658,0.6585365853658537,0.7073170731707317,0.675,0.5,0.7804878048780488,0.6585365853658537,0.7073170731707317,0.625,0.65,0.7073170731707317,0.7073170731707317,0.7560975609756098,0.7,0.55,0.6829268292682927,0.6829268292682927,0.6585365853658537,0.65,0.75,0.5121951219512195,0.8048780487804879,0.8048780487804879,0.675,0.8,0.7804878048780488,0.7073170731707317,0.6829268292682927,0.75,0.7,0.6585365853658537,0.6585365853658537,0.6341463414634146,0.65,0.575
poi-3.0,0.8070175438596491,0.8035714285714286,0.8035714285714286,0.8392857142857143,0.8214285714285714,0.8421052631578947,0.8571428571428571,0.8035714285714286,0.8214285714285714,0.7678571428571429,0.8245614035087719,0.7857142857142857,0.8035714285714286,0.8214285714285714,0.8035714285714286,0.8070175438596491,0.8035714285714286,0.75,0.8928571428571429,0.8214285714285714,0.8245614035087719,0.6964285714285714,0.7857142857142857,0.8214285714285714,0.9285714285714286,0.7894736842105263,0.75,0.8214285714285714,0.8392857142857143,0.75,0.7543859649122807,0.875,0.7678571428571429,0.75,0.8392857142857143,0.8421052631578947,0.7142857142857143,0.8035714285714286,0.9285714285714286,0.75,0.8070175438596491,0.9107142857142857,0.75,0.8928571428571429,0.7142857142857143,0.7894736842105263,0.8214285714285714,0.7857142857142857,0.7678571428571429,0.8214285714285714,0.8947368421052632,0.8035714285714286,0.8035714285714286,0.8214285714285714,0.7321428571428571,0.8245614035087719,0.875,0.8571428571428571,0.7321428571428571,0.8035714285714286,0.7719298245614035,0.8214285714285714,0.7321428571428571,0.8392857142857143,0.7678571428571429,0.7894736842105263,0.7857142857142857,0.8392857142857143,0.875,0.7857142857142857,0.8070175438596491,0.8035714285714286,0.7678571428571429,0.7857142857142857,0.8392857142857143,0.7894736842105263,0.75,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.8771929824561403,0.7678571428571429,0.875,0.8214285714285714,0.75,0.8421052631578947,0.7857142857142857,0.8392857142857143,0.8214285714285714,0.8392857142857143,0.7192982456140351,0.7678571428571429,0.8214285714285714,0.75,0.8035714285714286,0.8070175438596491,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8596491228070176,0.8214285714285714,0.8392857142857143,0.7857142857142857,0.8392857142857143,0.8421052631578947,0.7857142857142857,0.7857142857142857,0.875,0.75,0.8245614035087719,0.8214285714285714,0.7857142857142857,0.7857142857142857,0.8035714285714286,0.9122807017543859,0.7857142857142857,0.75,0.8214285714285714,0.8035714285714286,0.8596491228070176,0.7678571428571429,0.8392857142857143,0.8392857142857143,0.7321428571428571,0.7368421052631579,0.8392857142857143,0.7678571428571429,0.8392857142857143,0.7142857142857143,0.7894736842105263,0.8571428571428571,0.7857142857142857,0.8392857142857143,0.8035714285714286,0.8771929824561403,0.8392857142857143,0.75,0.8035714285714286,0.8035714285714286,0.7017543859649122,0.8392857142857143,0.8392857142857143,0.875,0.8571428571428571,0.7894736842105263,0.875,0.7678571428571429,0.8928571428571429,0.7857142857142857
synapse-1.2,0.7777777777777778,0.6470588235294118,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.6111111111111112,0.5294117647058824,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.7647058823529411,0.6111111111111112,0.5882352941176471,0.5294117647058824,0.7647058823529411,0.47058823529411764,0.5555555555555556,0.7647058823529411,0.7058823529411765,0.5294117647058824,0.6470588235294118,0.3888888888888889,0.7058823529411765,0.35294117647058826,0.5882352941176471,0.5294117647058824,0.4444444444444444,0.5882352941176471,0.5882352941176471,0.7058823529411765,0.5294117647058824,0.7777777777777778,0.7058823529411765,0.5294117647058824,0.7647058823529411,0.47058823529411764,0.6111111111111112,0.6470588235294118,0.35294117647058826,0.5882352941176471,0.5882352941176471,0.4444444444444444,0.5882352941176471,0.5294117647058824,0.7058823529411765,0.35294117647058826,0.5555555555555556,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.6111111111111112,0.5294117647058824,0.5882352941176471,0.8235294117647058,0.5294117647058824,0.6666666666666666,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.7058823529411765,0.8235294117647058,0.47058823529411764,0.4117647058823529,0.5555555555555556,0.8235294117647058,0.47058823529411764,0.47058823529411764,0.6470588235294118,0.6666666666666666,0.47058823529411764,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.7222222222222222,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.5555555555555556,0.4117647058823529,0.7058823529411765,0.7647058823529411,0.6470588235294118,0.6666666666666666,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.6111111111111112,0.6470588235294118,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.4444444444444444,0.7058823529411765,0.7647058823529411,0.4117647058823529,0.6470588235294118,0.5555555555555556,0.5294117647058824,0.7058823529411765,0.47058823529411764,0.7058823529411765,0.5555555555555556,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.47058823529411764,0.6111111111111112,0.5294117647058824,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.6111111111111112,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.6470588235294118,0.8333333333333334,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.4117647058823529,0.6111111111111112,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.47058823529411764,0.5,0.5294117647058824,0.5294117647058824,0.6470588235294118,0.7647058823529411,0.6666666666666666,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.47058823529411764,0.5555555555555556,0.8235294117647058,0.5294117647058824,0.7058823529411765,0.5882352941176471
tomcat,0.4666666666666667,0.375,0.375,0.5333333333333333,0.6666666666666666,0.4,0.5,0.8125,0.4,0.5333333333333333,0.2,0.5625,0.5,0.5333333333333333,0.4,0.6666666666666666,0.1875,0.4375,0.4,0.4666666666666667,0.8,0.4375,0.25,0.6,0.6,0.26666666666666666,0.5625,0.375,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.625,0.625,0.4,0.2,0.4,0.5,0.375,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.5625,0.5,0.4666666666666667,0.4666666666666667,0.4,0.5,0.375,0.5333333333333333,0.5333333333333333,0.6,0.3125,0.3125,0.5333333333333333,0.5333333333333333,0.4,0.3125,0.5625,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.375,0.5625,0.5333333333333333,0.4,0.5333333333333333,0.4375,0.3125,0.4666666666666667,0.7333333333333333,0.5333333333333333,0.5625,0.375,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.25,0.625,0.6,0.4,0.5333333333333333,0.5625,0.5625,0.5333333333333333,0.5333333333333333,0.4,0.4375,0.5,0.4666666666666667,0.6,0.5333333333333333,0.375,0.375,0.6,0.4666666666666667,0.3333333333333333,0.5,0.5,0.6,0.3333333333333333,0.4666666666666667,0.5,0.375,0.6,0.4666666666666667,0.5333333333333333,0.4375,0.6875,0.4,0.4,0.5333333333333333,0.375,0.1875,0.7333333333333333,0.4,0.5333333333333333,0.6875,0.375,0.5333333333333333,0.4666666666666667,0.6,0.625,0.4375,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4375,0.4375,0.6,0.5333333333333333,0.8,0.375,0.3125,0.6,0.26666666666666666,0.26666666666666666,0.25,0.5625,0.4666666666666667,0.6,0.4666666666666667,0.375,0.4375,0.5333333333333333,0.26666666666666666,0.4,0.4375,0.625,0.3333333333333333,0.5333333333333333
