,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.6071428571428571,0.5185185185185185,0.4,0.5862068965517241,0.5769230769230769,0.4074074074074074,0.5,0.6923076923076923,0.48148148148148145,0.5925925925925926,0.5,0.4230769230769231,0.6538461538461539,0.46153846153846156,0.4074074074074074,0.4827586206896552,0.6153846153846154,0.6206896551724138,0.5555555555555556,0.5,0.5714285714285714,0.3103448275862069,0.5384615384615384,0.4642857142857143,0.6923076923076923,0.34615384615384615,0.5833333333333334,0.6451612903225806,0.56,0.3548387096774194,0.46153846153846156,0.7142857142857143,0.5,0.6538461538461539,0.53125,0.5714285714285714,0.4642857142857143,0.4444444444444444,0.5714285714285714,0.6071428571428571,0.5185185185185185,0.5217391304347826,0.6451612903225806,0.48148148148148145,0.5666666666666667,0.4642857142857143,0.5769230769230769,0.5517241379310345,0.4444444444444444,0.43333333333333335,0.5357142857142857,0.38461538461538464,0.5384615384615384,0.4074074074074074,0.6774193548387096,0.6071428571428571,0.6296296296296297,0.56,0.5517241379310345,0.5333333333333333,0.48148148148148145,0.4583333333333333,0.4074074074074074,0.4642857142857143,0.5,0.56,0.48,0.5483870967741935,0.8518518518518519,0.3793103448275862,0.39285714285714285,0.46153846153846156,0.5,0.4375,0.7407407407407407,0.6071428571428571,0.5185185185185185,0.5666666666666667,0.34615384615384615,0.5555555555555556,0.5555555555555556,0.5,0.36666666666666664,0.6296296296296297,0.5714285714285714,0.5,0.48148148148148145,0.5909090909090909,0.5,0.4642857142857143,0.48,0.4827586206896552,0.5833333333333334,0.5172413793103449,0.5517241379310345,0.6785714285714286,0.5,0.6666666666666666,0.41379310344827586,0.5416666666666666,0.5185185185185185,0.625,0.56,0.6296296296296297,0.4,0.5555555555555556,0.5714285714285714,0.5172413793103449,0.5357142857142857,0.5666666666666667,0.56,0.48,0.46153846153846156,0.4230769230769231,0.5517241379310345,0.46153846153846156,0.5357142857142857,0.6538461538461539,0.5357142857142857,0.36,0.4444444444444444,0.44,0.5357142857142857,0.48148148148148145,0.64,0.5172413793103449,0.5925925925925926,0.5185185185185185,0.35714285714285715,0.6923076923076923,0.625,0.5483870967741935,0.5357142857142857,0.5,0.48,0.5185185185185185,0.48,0.3939393939393939,0.5555555555555556,0.39285714285714285,0.6206896551724138,0.48,0.6,0.5555555555555556,0.4827586206896552,0.6206896551724138,0.4444444444444444,0.6551724137931034,0.5384615384615384,0.32142857142857145
arc,0.25,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.25,0.16666666666666666,0.25,0.5,0.0,0.25,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.4,0.25,0.0,0.0,0.25,0.0,0.3333333333333333,0.6,0.0,0.2,0.2,0.3333333333333333,0.25,0.4,0.0,0.0,0.0,0.2,0.5,0.3333333333333333,0.25,0.3333333333333333,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.25,0.5,0.3333333333333333,0.25,0.16666666666666666,0.0,0.25,0.25,0.25,0.4,0.0,0.0,0.25,0.0,0.0,0.2,0.3333333333333333,0.0,0.25,0.2,0.2,0.5,0.0,0.5,0.25,0.2,0.0,0.0,0.4,0.25,0.16666666666666666,0.5,0.0,0.25,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.4,0.25,0.25,0.0,0.2,0.5,0.0,0.0,0.25,0.0,0.2,0.3333333333333333,0.4,0.0,0.0,0.5,0.2,0.3333333333333333,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.2,0.0,0.25,0.25,0.2,0.0,0.6666666666666666,0.0,0.3333333333333333,0.2,0.2,0.5,0.0,0.6666666666666666,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.25
camel-1.6,0.40625,0.3939393939393939,0.24242424242424243,0.3,0.3,0.13333333333333333,0.2413793103448276,0.4666666666666667,0.29411764705882354,0.25,0.36666666666666664,0.2903225806451613,0.35294117647058826,0.22580645161290322,0.48484848484848486,0.32142857142857145,0.13793103448275862,0.36363636363636365,0.3103448275862069,0.27586206896551724,0.36363636363636365,0.20689655172413793,0.34375,0.3103448275862069,0.21428571428571427,0.3125,0.1875,0.26666666666666666,0.42424242424242425,0.16666666666666666,0.3,0.3225806451612903,0.20588235294117646,0.3793103448275862,0.26666666666666666,0.1724137931034483,0.29411764705882354,0.3333333333333333,0.4117647058823529,0.47058823529411764,0.1935483870967742,0.3793103448275862,0.3103448275862069,0.4,0.21212121212121213,0.375,0.3,0.3125,0.24242424242424243,0.25925925925925924,0.42424242424242425,0.22580645161290322,0.3333333333333333,0.3225806451612903,0.3235294117647059,0.34375,0.41935483870967744,0.30303030303030304,0.25806451612903225,0.12121212121212122,0.28125,0.41379310344827586,0.09375,0.42424242424242425,0.3793103448275862,0.36666666666666664,0.21212121212121213,0.3333333333333333,0.21212121212121213,0.2571428571428571,0.375,0.39285714285714285,0.20689655172413793,0.27586206896551724,0.42424242424242425,0.375,0.28125,0.2903225806451613,0.25,0.3870967741935484,0.36666666666666664,0.3225806451612903,0.2903225806451613,0.375,0.3333333333333333,0.42424242424242425,0.15625,0.28125,0.5294117647058824,0.25806451612903225,0.37037037037037035,0.28125,0.2647058823529412,0.28125,0.3548387096774194,0.5161290322580645,0.13793103448275862,0.21875,0.30303030303030304,0.3333333333333333,0.5172413793103449,0.34375,0.32142857142857145,0.36363636363636365,0.30303030303030304,0.3548387096774194,0.3,0.48484848484848486,0.2727272727272727,0.3103448275862069,0.2857142857142857,0.2903225806451613,0.23529411764705882,0.1724137931034483,0.45161290322580644,0.27586206896551724,0.27586206896551724,0.41935483870967744,0.3225806451612903,0.2903225806451613,0.6,0.15151515151515152,0.32142857142857145,0.36666666666666664,0.22580645161290322,0.40625,0.45161290322580644,0.2571428571428571,0.20689655172413793,0.375,0.4,0.2692307692307692,0.3142857142857143,0.2727272727272727,0.17142857142857143,0.3448275862068966,0.3333333333333333,0.3125,0.1724137931034483,0.2702702702702703,0.3103448275862069,0.375,0.3333333333333333,0.22857142857142856,0.375,0.35714285714285715,0.36666666666666664,0.3,0.22580645161290322,0.4117647058823529
ivy-2.0,0.5,0.14285714285714285,0.0,0.6,0.16666666666666666,0.7142857142857143,0.4,0.0,0.14285714285714285,0.0,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5714285714285714,0.25,0.0,0.2857142857142857,0.16666666666666666,0.0,0.0,0.14285714285714285,0.375,0.14285714285714285,0.25,0.125,0.14285714285714285,0.4,0.7142857142857143,0.16666666666666666,0.0,0.14285714285714285,0.25,0.2,0.42857142857142855,0.0,0.14285714285714285,0.125,0.16666666666666666,0.42857142857142855,0.16666666666666666,0.125,0.0,0.5,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.25,0.0,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.0,0.0,0.25,0.14285714285714285,0.5,0.16666666666666666,0.14285714285714285,0.0,0.25,0.5,0.14285714285714285,0.3333333333333333,0.0,0.0,0.125,0.0,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.0,0.5714285714285714,0.42857142857142855,0.0,0.25,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.0,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.0,0.0,0.5,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.2857142857142857,0.5,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.625,0.2,0.0,0.0,0.25,0.3333333333333333,0.2857142857142857,0.0,0.3333333333333333,0.625,0.16666666666666666,0.25,0.14285714285714285,0.5,0.25,0.2857142857142857,0.0,0.5,0.0,0.42857142857142855,0.125,0.2,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5
jedit-4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log4j-1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,0.9714285714285714,0.9117647058823529,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,1.0,1.0,1.0,0.9714285714285714,0.9393939393939394,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9705882352941176,1.0,0.9705882352941176,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,1.0,0.9696969696969697,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697
lucene-2.4,0.6842105263157895,0.7105263157894737,0.8611111111111112,0.7142857142857143,0.7777777777777778,0.8333333333333334,0.7894736842105263,0.6842105263157895,0.7352941176470589,0.6756756756756757,0.7631578947368421,0.7297297297297297,0.6216216216216216,0.8611111111111112,0.7368421052631579,0.8378378378378378,0.7837837837837838,0.717948717948718,0.8333333333333334,0.6388888888888888,0.7222222222222222,0.7105263157894737,0.6216216216216216,0.6666666666666666,0.7567567567567568,0.8333333333333334,0.6111111111111112,0.8055555555555556,0.7941176470588235,0.7631578947368421,0.6857142857142857,0.7567567567567568,0.7105263157894737,0.7647058823529411,0.8378378378378378,0.75,0.6842105263157895,0.75,0.7647058823529411,0.7837837837837838,0.6111111111111112,0.8157894736842105,0.8611111111111112,0.6857142857142857,0.5555555555555556,0.8611111111111112,0.6944444444444444,0.8157894736842105,0.7941176470588235,0.5428571428571428,0.7894736842105263,0.7837837837837838,0.75,0.8,0.6111111111111112,0.8108108108108109,0.6944444444444444,0.6756756756756757,0.7058823529411765,0.6764705882352942,0.6486486486486487,0.8611111111111112,0.8157894736842105,0.8918918918918919,0.5897435897435898,0.6216216216216216,0.7222222222222222,0.7894736842105263,0.6,0.8235294117647058,0.7777777777777778,0.7894736842105263,0.6216216216216216,0.8055555555555556,0.8108108108108109,0.7435897435897436,0.6756756756756757,0.8108108108108109,0.8055555555555556,0.6470588235294118,0.7777777777777778,0.6578947368421053,0.75,0.7777777777777778,0.7058823529411765,0.5675675675675675,0.7894736842105263,0.918918918918919,0.6571428571428571,0.6666666666666666,0.6486486486486487,0.7297297297297297,0.75,0.75,0.7837837837837838,0.7297297297297297,0.7631578947368421,0.8157894736842105,0.7777777777777778,0.7297297297297297,0.7567567567567568,0.7027027027027027,0.7105263157894737,0.8888888888888888,0.6857142857142857,0.8235294117647058,0.6578947368421053,0.6216216216216216,0.8055555555555556,0.7777777777777778,0.6857142857142857,0.7105263157894737,0.7777777777777778,0.8333333333333334,0.8571428571428571,0.868421052631579,0.7027027027027027,0.7714285714285715,0.6756756756756757,0.5428571428571428,0.8611111111111112,0.6944444444444444,0.7777777777777778,0.6857142857142857,0.7027027027027027,0.7567567567567568,0.7567567567567568,0.8055555555555556,0.8,0.6176470588235294,0.8235294117647058,0.717948717948718,0.7222222222222222,0.7222222222222222,0.7878787878787878,0.5833333333333334,0.8157894736842105,0.8108108108108109,0.7027027027027027,0.8611111111111112,0.8108108108108109,0.7631578947368421,0.7777777777777778,0.8108108108108109,0.7058823529411765,0.6944444444444444,0.6842105263157895,0.6944444444444444,0.7428571428571429,0.6388888888888888
poi-3.0,0.8181818181818182,0.86,0.86,0.8269230769230769,0.8518518518518519,0.9038461538461539,0.9038461538461539,0.8301886792452831,0.8679245283018868,0.7962962962962963,0.8545454545454545,0.7884615384615384,0.8431372549019608,0.8653846153846154,0.88,0.8518518518518519,0.88,0.803921568627451,0.9074074074074074,0.8461538461538461,0.8333333333333334,0.7755102040816326,0.88,0.8461538461538461,0.9272727272727272,0.8113207547169812,0.7636363636363637,0.8823529411764706,0.8679245283018868,0.82,0.8269230769230769,0.8888888888888888,0.803921568627451,0.75,0.8703703703703703,0.8867924528301887,0.7307692307692307,0.8301886792452831,0.9272727272727272,0.803921568627451,0.8461538461538461,0.9038461538461539,0.7647058823529411,0.9074074074074074,0.7692307692307693,0.8,0.8653846153846154,0.8269230769230769,0.8431372549019608,0.8627450980392157,0.9074074074074074,0.8461538461538461,0.8076923076923077,0.8846153846153846,0.7735849056603774,0.8823529411764706,0.8846153846153846,0.9230769230769231,0.7547169811320755,0.8823529411764706,0.84,0.8490566037735849,0.7692307692307693,0.8653846153846154,0.803921568627451,0.8333333333333334,0.84,0.88,0.9038461538461539,0.8113207547169812,0.8518518518518519,0.8076923076923077,0.8113207547169812,0.82,0.9387755102040817,0.7924528301886793,0.803921568627451,0.7547169811320755,0.94,0.8235294117647058,0.9074074074074074,0.7884615384615384,0.9056603773584906,0.8269230769230769,0.7924528301886793,0.8653846153846154,0.8461538461538461,0.8627450980392157,0.8627450980392157,0.8653846153846154,0.8,0.86,0.8846153846153846,0.8367346938775511,0.8269230769230769,0.8490566037735849,0.8431372549019608,0.94,0.9019607843137255,0.7450980392156863,0.8727272727272727,0.88,0.8867924528301887,0.8076923076923077,0.8775510204081632,0.8679245283018868,0.8113207547169812,0.8235294117647058,0.8846153846153846,0.82,0.8653846153846154,0.8461538461538461,0.8367346938775511,0.8301886792452831,0.8269230769230769,0.9629629629629629,0.8431372549019608,0.7735849056603774,0.8431372549019608,0.8461538461538461,0.9215686274509803,0.7818181818181819,0.9038461538461539,0.8867924528301887,0.7884615384615384,0.7636363636363637,0.8461538461538461,0.8431372549019608,0.8703703703703703,0.7959183673469388,0.8461538461538461,0.8888888888888888,0.8269230769230769,0.8703703703703703,0.8653846153846154,0.8846153846153846,0.8867924528301887,0.7884615384615384,0.8301886792452831,0.86,0.75,0.8823529411764706,0.8703703703703703,0.8888888888888888,0.8653846153846154,0.7843137254901961,0.8888888888888888,0.8431372549019608,0.9090909090909091,0.8301886792452831
synapse-1.2,0.8125,0.6428571428571429,0.5333333333333333,0.5714285714285714,0.6,0.6666666666666666,0.6153846153846154,0.5,0.6,0.6923076923076923,0.5714285714285714,0.5384615384615384,0.5,0.5714285714285714,0.8666666666666667,0.6428571428571429,0.5625,0.5714285714285714,0.6923076923076923,0.4,0.4666666666666667,0.8571428571428571,0.7142857142857143,0.46153846153846156,0.7333333333333333,0.3333333333333333,0.7333333333333333,0.2857142857142857,0.6923076923076923,0.5714285714285714,0.4375,0.6153846153846154,0.5454545454545454,0.6428571428571429,0.5,0.75,0.6923076923076923,0.5,0.8461538461538461,0.35714285714285715,0.6,0.6875,0.35714285714285715,0.6,0.625,0.35714285714285715,0.6428571428571429,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.5833333333333334,0.6,0.7142857142857143,0.6923076923076923,0.6666666666666666,0.5,0.6428571428571429,0.7692307692307693,0.46153846153846156,0.625,0.7857142857142857,0.6153846153846154,0.75,0.5833333333333334,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.5,0.4,0.5,0.7857142857142857,0.4,0.42857142857142855,0.7692307692307693,0.6923076923076923,0.38461538461538464,0.5384615384615384,0.7142857142857143,0.6666666666666666,0.7058823529411765,0.6923076923076923,0.7142857142857143,0.5333333333333333,0.42857142857142855,0.5,0.4166666666666667,0.6666666666666666,0.75,0.6153846153846154,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.5625,0.6,0.6923076923076923,0.5,0.4166666666666667,0.5,0.5,0.6428571428571429,0.7692307692307693,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.4666666666666667,0.6666666666666666,0.4375,0.6923076923076923,0.5714285714285714,0.7333333333333333,0.6923076923076923,0.7142857142857143,0.4666666666666667,0.5714285714285714,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.5714285714285714,0.5384615384615384,0.46153846153846156,0.7142857142857143,0.6923076923076923,0.9166666666666666,0.6,0.6428571428571429,0.5882352941176471,0.4666666666666667,0.5333333333333333,0.5384615384615384,0.5833333333333334,0.6,0.46153846153846156,0.5,0.5714285714285714,0.5,0.6,0.75,0.625,0.75,0.5833333333333334,0.6,0.4666666666666667,0.5714285714285714,0.7692307692307693,0.5,0.7272727272727273,0.6
tomcat,0.1111111111111111,0.23076923076923078,0.09090909090909091,0.3,0.5,0.2,0.38461538461538464,0.7272727272727273,0.25,0.125,0.0,0.4,0.2727272727272727,0.3,0.25,0.375,0.07142857142857142,0.1111111111111111,0.1,0.2727272727272727,0.625,0.25,0.0,0.5,0.3333333333333333,0.09090909090909091,0.3,0.1,0.36363636363636365,0.5,0.0,0.45454545454545453,0.45454545454545453,0.25,0.0,0.18181818181818182,0.2727272727272727,0.16666666666666666,0.1111111111111111,0.0,0.2727272727272727,0.3,0.2,0.2727272727272727,0.0,0.0,0.38461538461538464,0.1,0.36363636363636365,0.2222222222222222,0.3333333333333333,0.15384615384615385,0.15384615384615385,0.2857142857142857,0.2222222222222222,0.18181818181818182,0.08333333333333333,0.4166666666666667,0.6923076923076923,0.0,0.25,0.09090909090909091,0.36363636363636365,0.3,0.18181818181818182,0.2222222222222222,0.3076923076923077,0.15384615384615385,0.2727272727272727,0.42857142857142855,0.45454545454545453,0.3,0.09090909090909091,0.2222222222222222,0.36363636363636365,0.125,0.09090909090909091,0.4,0.3333333333333333,0.25,0.3,0.36363636363636365,0.2222222222222222,0.36363636363636365,0.125,0.2,0.18181818181818182,0.38461538461538464,0.2,0.4,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.1,0.2,0.2727272727272727,0.5,0.09090909090909091,0.3333333333333333,0.2,0.3076923076923077,0.14285714285714285,0.1111111111111111,0.0,0.18181818181818182,0.4444444444444444,0.2,0.25,0.125,0.09090909090909091,0.07142857142857142,0.6666666666666666,0.3076923076923077,0.2222222222222222,0.5833333333333334,0.09090909090909091,0.0,0.3333333333333333,0.45454545454545453,0.25,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.1,0.3076923076923077,0.35714285714285715,0.3333333333333333,0.2222222222222222,0.625,0.23076923076923078,0.15384615384615385,0.25,0.0,0.18181818181818182,0.0,0.3,0.2,0.3333333333333333,0.2727272727272727,0.23076923076923078,0.1,0.2222222222222222,0.0,0.2727272727272727,0.1,0.4,0.0,0.3
