,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.4634146341463415,0.5,0.37209302325581395,0.42424242424242425,0.40476190476190477,0.4375,0.4375,0.4117647058823529,0.5263157894736842,0.5142857142857142,0.4186046511627907,0.42424242424242425,0.4791666666666667,0.46875,0.43902439024390244,0.5,0.4358974358974359,0.3235294117647059,0.34782608695652173,0.3333333333333333,0.41935483870967744,0.25806451612903225,0.5,0.4473684210526316,0.44680851063829785,0.3793103448275862,0.45,0.5681818181818182,0.3783783783783784,0.4722222222222222,0.41379310344827586,0.2916666666666667,0.3783783783783784,0.5128205128205128,0.38235294117647056,0.40625,0.4857142857142857,0.43243243243243246,0.4444444444444444,0.4375,0.475,0.46511627906976744,0.47368421052631576,0.5,0.40816326530612246,0.3902439024390244,0.4,0.4634146341463415,0.4523809523809524,0.46153846153846156,0.4489795918367347,0.4722222222222222,0.46153846153846156,0.4482758620689655,0.5,0.425,0.5,0.5151515151515151,0.4594594594594595,0.5,0.3617021276595745,0.4523809523809524,0.4318181818181818,0.3684210526315789,0.4411764705882353,0.43902439024390244,0.38461538461538464,0.4146341463414634,0.44680851063829785,0.4166666666666667,0.5135135135135135,0.3170731707317073,0.4482758620689655,0.2826086956521739,0.4146341463414634,0.40816326530612246,0.4090909090909091,0.3448275862068966,0.4166666666666667,0.5,0.5263157894736842,0.46153846153846156,0.45714285714285713,0.45454545454545453,0.4864864864864865,0.45652173913043476,0.4418604651162791,0.5714285714285714,0.38461538461538464,0.5,0.42857142857142855,0.475,0.3333333333333333,0.46511627906976744,0.42105263157894735,0.3902439024390244,0.3235294117647059,0.45454545454545453,0.42424242424242425,0.42857142857142855,0.46875,0.5,0.3611111111111111,0.4222222222222222,0.35,0.4444444444444444,0.38095238095238093,0.45,0.4523809523809524,0.42105263157894735,0.4318181818181818,0.42105263157894735,0.4473684210526316,0.3902439024390244,0.53125,0.3611111111111111,0.4523809523809524,0.5116279069767442,0.46875,0.5142857142857142,0.48484848484848486,0.38461538461538464,0.4642857142857143,0.3448275862068966,0.4594594594594595,0.44680851063829785,0.3783783783783784,0.358974358974359,0.5142857142857142,0.4444444444444444,0.575,0.3877551020408163,0.4418604651162791,0.5,0.3953488372093023,0.4444444444444444,0.41025641025641024,0.5,0.45,0.43902439024390244,0.45454545454545453,0.43902439024390244,0.42857142857142855,0.45652173913043476,0.4411764705882353,0.4473684210526316,0.36,0.3111111111111111,0.5714285714285714,0.42857142857142855
arc,0.4444444444444444,0.25,0.25,0.3333333333333333,0.2,0.0,0.0,0.23076923076923078,0.2,0.36363636363636365,0.16666666666666666,0.3,0.25,0.14285714285714285,0.3333333333333333,0.4,0.125,0.2222222222222222,0.18181818181818182,0.0,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.125,0.2,0.09090909090909091,0.0,0.1111111111111111,0.0,0.1,0.5,0.2222222222222222,0.3,0.42857142857142855,0.15384615384615385,0.2857142857142857,0.125,0.3333333333333333,0.2,0.3333333333333333,0.0,0.25,0.3,0.3,0.2222222222222222,0.14285714285714285,0.18181818181818182,0.3333333333333333,0.2222222222222222,0.36363636363636365,0.3333333333333333,0.0,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.375,0.18181818181818182,0.3,0.125,0.14285714285714285,0.2,0.25,0.18181818181818182,0.0,0.08333333333333333,0.29411764705882354,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.23076923076923078,0.13333333333333333,0.3333333333333333,0.2727272727272727,0.25,0.16666666666666666,0.0,0.21428571428571427,0.25,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.25,0.16666666666666666,0.2727272727272727,0.25,0.0,0.2727272727272727,0.0,0.2,0.3333333333333333,0.3333333333333333,0.125,0.0,0.07692307692307693,0.09090909090909091,0.15384615384615385,0.0,0.42857142857142855,0.0,0.25,0.0,0.14285714285714285,0.25,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.0,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.2,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.2,0.08333333333333333,0.3,0.1111111111111111,0.14285714285714285,0.42857142857142855,0.2,0.2857142857142857,0.36363636363636365,0.25,0.25,0.2857142857142857,0.2,0.2857142857142857,0.0,0.23076923076923078,0.2,0.25,0.18181818181818182,0.3333333333333333,0.42857142857142855,0.0,0.42857142857142855,0.16666666666666666,0.2857142857142857,0.25,0.1,0.25,0.3,0.3,0.2222222222222222,0.25,0.2727272727272727,0.375,0.42857142857142855,0.25
camel-1.6,0.2558139534883721,0.2549019607843137,0.3673469387755102,0.24324324324324326,0.2857142857142857,0.32,0.3170731707317073,0.26666666666666666,0.2558139534883721,0.20512820512820512,0.23636363636363636,0.3695652173913043,0.3333333333333333,0.2894736842105263,0.3333333333333333,0.25,0.40625,0.2037037037037037,0.2857142857142857,0.32432432432432434,0.3125,0.2826086956521739,0.2727272727272727,0.2708333333333333,0.38095238095238093,0.2564102564102564,0.28205128205128205,0.24074074074074073,0.36363636363636365,0.2708333333333333,0.32608695652173914,0.375,0.2549019607843137,0.22,0.4,0.3148148148148148,0.35555555555555557,0.2564102564102564,0.32608695652173914,0.25925925925925924,0.24489795918367346,0.3488372093023256,0.2682926829268293,0.2413793103448276,0.35714285714285715,0.30303030303030304,0.275,0.2727272727272727,0.21739130434782608,0.3181818181818182,0.3142857142857143,0.25925925925925924,0.28846153846153844,0.41304347826086957,0.29545454545454547,0.34146341463414637,0.27586206896551724,0.24,0.3333333333333333,0.3695652173913043,0.4,0.3333333333333333,0.3333333333333333,0.37777777777777777,0.30952380952380953,0.4,0.3333333333333333,0.40425531914893614,0.30612244897959184,0.26666666666666666,0.2857142857142857,0.3333333333333333,0.22916666666666666,0.36,0.2564102564102564,0.2857142857142857,0.24489795918367346,0.34,0.3333333333333333,0.275,0.19148936170212766,0.3269230769230769,0.35714285714285715,0.28846153846153844,0.37777777777777777,0.32,0.27906976744186046,0.2978723404255319,0.3103448275862069,0.25,0.2682926829268293,0.2830188679245283,0.2127659574468085,0.23255813953488372,0.3137254901960784,0.12195121951219512,0.29310344827586204,0.29545454545454547,0.24,0.28888888888888886,0.325,0.2653061224489796,0.30952380952380953,0.32653061224489793,0.2222222222222222,0.2857142857142857,0.34782608695652173,0.27906976744186046,0.3076923076923077,0.3333333333333333,0.32558139534883723,0.3333333333333333,0.1896551724137931,0.39215686274509803,0.32558139534883723,0.2553191489361702,0.2619047619047619,0.37209302325581395,0.3023255813953488,0.18,0.2978723404255319,0.16666666666666666,0.35714285714285715,0.3488372093023256,0.3404255319148936,0.2391304347826087,0.3,0.32653061224489793,0.38235294117647056,0.22448979591836735,0.27906976744186046,0.3023255813953488,0.2558139534883721,0.3137254901960784,0.23529411764705882,0.22727272727272727,0.34782608695652173,0.21428571428571427,0.3333333333333333,0.2553191489361702,0.3191489361702128,0.225,0.375,0.3055555555555556,0.3333333333333333,0.30612244897959184,0.32558139534883723,0.25,0.2692307692307692,0.3409090909090909
ivy-2.0,0.3333333333333333,0.18181818181818182,0.0,0.4444444444444444,0.0,0.1875,0.26666666666666666,0.09090909090909091,0.4444444444444444,0.0,0.3076923076923077,0.0,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.42857142857142855,0.26666666666666666,0.25,0.36363636363636365,0.17647058823529413,0.2857142857142857,0.3333333333333333,0.2,0.36363636363636365,0.16666666666666666,0.5454545454545454,0.125,0.16666666666666666,0.25,0.14285714285714285,0.3076923076923077,0.23529411764705882,0.25,0.0,0.125,0.2222222222222222,0.3333333333333333,0.4,0.2857142857142857,0.375,0.2,0.5,0.2,0.14285714285714285,0.16666666666666666,0.3076923076923077,0.3,0.26666666666666666,0.18181818181818182,0.14285714285714285,0.3333333333333333,0.3,0.3333333333333333,0.2,0.25,0.2,0.16666666666666666,0.3076923076923077,0.1111111111111111,0.25,0.1111111111111111,0.4,0.18181818181818182,0.125,0.2857142857142857,0.1875,0.3333333333333333,0.3333333333333333,0.4,0.23076923076923078,0.1111111111111111,0.16666666666666666,0.36363636363636365,0.1,0.2857142857142857,0.0,0.08333333333333333,0.2857142857142857,0.25,0.2,0.3333333333333333,0.125,0.08333333333333333,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.125,0.3125,0.125,0.2857142857142857,0.16666666666666666,0.4444444444444444,0.375,0.4166666666666667,0.09090909090909091,0.2857142857142857,0.0,0.3125,0.3333333333333333,0.25,0.375,0.23076923076923078,0.3333333333333333,0.2222222222222222,0.2857142857142857,0.2,0.1111111111111111,0.26666666666666666,0.25,0.0,0.2727272727272727,0.25,0.25,0.125,0.21428571428571427,0.5,0.4444444444444444,0.4444444444444444,0.1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.23529411764705882,0.09090909090909091,0.3333333333333333,0.2,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.4444444444444444,0.18181818181818182,0.14285714285714285,0.23076923076923078,0.08333333333333333,0.3333333333333333,0.1875,0.25,0.16666666666666666,0.09090909090909091,0.25,0.2,0.4,0.15,0.25,0.3076923076923077,0.13333333333333333,0.2857142857142857,0.25,0.3076923076923077
jedit-4.3,0.16666666666666666,0.2,0.0,0.125,0.25,0.16666666666666666,0.1111111111111111,0.14285714285714285,0.0,0.2,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.16666666666666666,0.0,0.25,0.5,0.2,0.0,0.25,0.16666666666666666,0.3333333333333333,0.2,0.25,0.0,0.2,0.2,0.0,0.0,0.2857142857142857,0.0,0.2222222222222222,0.0,0.2857142857142857,0.2,0.0,0.25,0.2857142857142857,0.42857142857142855,0.125,0.0,0.125,0.0,0.3333333333333333,0.1111111111111111,0.25,0.16666666666666666,0.1111111111111111,0.25,0.25,0.0,0.2,0.0,0.2222222222222222,0.125,0.14285714285714285,0.2,0.0,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.1,0.0,0.6666666666666666,0.1,0.0,0.25,0.2,0.0,0.1,0.0,0.25,0.2,0.2,0.14285714285714285,1.0,0.1,0.25,0.0,0.0,0.2,0.25,0.2857142857142857,0.0,0.125,0.0,0.3333333333333333,0.2,0.16666666666666666,0.125,0.25,0.4,0.3333333333333333,0.14285714285714285,0.0,0.3333333333333333,0.2,0.125,0.16666666666666666,0.25,0.2857142857142857,0.3333333333333333,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.4,0.0,0.2,0.0,0.25,0.2857142857142857,0.1111111111111111,0.16666666666666666,0.5,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0,0.25,0.0,0.25,0.125,0.5,0.0,0.0,0.16666666666666666,0.18181818181818182,0.2857142857142857,0.25,0.0,0.0,0.0
log4j-1.2,0.9459459459459459,0.925,0.972972972972973,0.9487179487179487,0.9210526315789473,0.926829268292683,0.9722222222222222,0.9696969696969697,0.9705882352941176,0.8888888888888888,0.9459459459459459,0.9487179487179487,0.9166666666666666,0.9722222222222222,0.8947368421052632,0.9473684210526315,0.9411764705882353,0.9090909090909091,0.9411764705882353,0.918918918918919,0.9428571428571428,0.9210526315789473,1.0,0.9459459459459459,0.8918918918918919,0.9444444444444444,0.9210526315789473,0.9444444444444444,0.9459459459459459,0.9714285714285714,0.9736842105263158,0.9117647058823529,0.9473684210526315,1.0,0.8974358974358975,0.918918918918919,0.918918918918919,0.9722222222222222,0.9743589743589743,0.9714285714285714,0.9743589743589743,0.9393939393939394,0.9166666666666666,0.9142857142857143,0.9428571428571428,0.9487179487179487,0.9473684210526315,0.9210526315789473,0.9166666666666666,0.8974358974358975,0.9714285714285714,0.9696969696969697,0.972972972972973,0.9459459459459459,0.9117647058823529,0.9428571428571428,0.9428571428571428,0.9444444444444444,0.9473684210526315,0.918918918918919,0.9743589743589743,0.9705882352941176,0.925,0.925,0.918918918918919,0.918918918918919,0.9444444444444444,0.9210526315789473,0.9459459459459459,0.96875,0.9696969696969697,0.9459459459459459,0.9230769230769231,0.925,0.9166666666666666,0.9230769230769231,0.9696969696969697,0.972972972972973,0.96875,0.8918918918918919,0.9166666666666666,0.918918918918919,0.9210526315789473,0.9444444444444444,0.9142857142857143,0.9722222222222222,0.9487179487179487,0.9714285714285714,0.9736842105263158,0.9117647058823529,0.9722222222222222,0.925,0.96875,0.9705882352941176,0.9230769230769231,1.0,0.9444444444444444,0.9473684210526315,0.9736842105263158,0.9024390243902439,0.972972972972973,0.9459459459459459,0.9411764705882353,0.9117647058823529,0.918918918918919,0.918918918918919,0.9459459459459459,0.9210526315789473,0.9428571428571428,0.9210526315789473,0.9714285714285714,0.9459459459459459,0.918918918918919,0.9473684210526315,0.9166666666666666,0.9473684210526315,1.0,0.9459459459459459,0.926829268292683,0.9210526315789473,0.9210526315789473,0.9696969696969697,0.9393939393939394,0.9210526315789473,0.9459459459459459,0.9393939393939394,0.9473684210526315,0.9428571428571428,0.918918918918919,0.918918918918919,0.9210526315789473,0.9117647058823529,0.972972972972973,0.9473684210526315,0.918918918918919,0.9705882352941176,0.918918918918919,0.9473684210526315,0.9714285714285714,0.9142857142857143,0.9459459459459459,0.95,0.9117647058823529,1.0,0.8857142857142857,0.9210526315789473,0.918918918918919,0.967741935483871,0.9705882352941176,0.9230769230769231
lucene-2.4,0.6363636363636364,0.7560975609756098,0.7333333333333333,0.6875,0.7317073170731707,0.8285714285714286,0.6341463414634146,0.7142857142857143,0.7714285714285715,0.6818181818181818,0.675,0.7027027027027027,0.6578947368421053,0.6410256410256411,0.6923076923076923,0.7368421052631579,0.7105263157894737,0.7105263157894737,0.6976744186046512,0.7352941176470589,0.6744186046511628,0.6944444444444444,0.6585365853658537,0.696969696969697,0.6888888888888889,0.6944444444444444,0.7027027027027027,0.8048780487804879,0.6818181818181818,0.7272727272727273,0.8529411764705882,0.6222222222222222,0.7058823529411765,0.627906976744186,0.6346153846153846,0.627906976744186,0.7027027027027027,0.7941176470588235,0.6363636363636364,0.6842105263157895,0.7209302325581395,0.7352941176470589,0.6304347826086957,0.6153846153846154,0.5882352941176471,0.7045454545454546,0.7297297297297297,0.6486486486486487,0.6923076923076923,0.7058823529411765,0.7297297297297297,0.7222222222222222,0.65,0.6956521739130435,0.7142857142857143,0.8,0.6818181818181818,0.675,0.6744186046511628,0.7435897435897436,0.8235294117647058,0.8108108108108109,0.65,0.6388888888888888,0.6842105263157895,0.6842105263157895,0.6571428571428571,0.6521739130434783,0.717948717948718,0.7105263157894737,0.6511627906976745,0.7073170731707317,0.65,0.7804878048780488,0.7142857142857143,0.8,0.7297297297297297,0.7105263157894737,0.6976744186046512,0.7142857142857143,0.75,0.75,0.7272727272727273,0.6382978723404256,0.7297297297297297,0.696969696969697,0.65625,0.7333333333333333,0.6944444444444444,0.7333333333333333,0.575,0.6410256410256411,0.7297297297297297,0.7317073170731707,0.6666666666666666,0.7297297297297297,0.5641025641025641,0.6578947368421053,0.7111111111111111,0.7419354838709677,0.6976744186046512,0.7428571428571429,0.6341463414634146,0.723404255319149,0.7352941176470589,0.6730769230769231,0.7027027027027027,0.6944444444444444,0.6666666666666666,0.7428571428571429,0.7567567567567568,0.75,0.7027027027027027,0.6530612244897959,0.75,0.7142857142857143,0.6976744186046512,0.6764705882352942,0.6341463414634146,0.631578947368421,0.7631578947368421,0.7209302325581395,0.6923076923076923,0.7096774193548387,0.8125,0.7317073170731707,0.78125,0.6363636363636364,0.7,0.65,0.717391304347826,0.7647058823529411,0.6585365853658537,0.6153846153846154,0.6666666666666666,0.7142857142857143,0.7441860465116279,0.7027027027027027,0.6875,0.6341463414634146,0.7567567567567568,0.675,0.7560975609756098,0.7435897435897436,0.7567567567567568,0.7272727272727273,0.6756756756756757,0.7837837837837838,0.7428571428571429,0.6764705882352942
poi-3.0,0.8275862068965517,0.8490566037735849,0.8363636363636363,0.8823529411764706,0.8867924528301887,0.8627450980392157,0.8181818181818182,0.9148936170212766,0.8490566037735849,0.7704918032786885,0.8275862068965517,0.7966101694915254,0.82,0.8846153846153846,0.8837209302325582,0.8305084745762712,0.8392857142857143,0.88,0.7692307692307693,0.8596491228070176,0.8545454545454545,0.8076923076923077,0.7288135593220338,0.7857142857142857,0.8225806451612904,0.8333333333333334,0.8035714285714286,0.8181818181818182,0.8,0.8421052631578947,0.8490566037735849,0.8245614035087719,0.8392857142857143,0.8518518518518519,0.8225806451612904,0.8627450980392157,0.8076923076923077,0.8333333333333334,0.7966101694915254,0.8571428571428571,0.88,0.7758620689655172,0.8035714285714286,0.8305084745762712,0.875,0.8846153846153846,0.8148148148148148,0.8571428571428571,0.8571428571428571,0.8363636363636363,0.8095238095238095,0.7868852459016393,0.8518518518518519,0.8653846153846154,0.8125,0.7096774193548387,0.8490566037735849,0.8214285714285714,0.8723404255319149,0.8596491228070176,0.8771929824561403,0.7454545454545455,0.8269230769230769,0.8070175438596491,0.7636363636363637,0.8214285714285714,0.8958333333333334,0.8518518518518519,0.8545454545454545,0.8095238095238095,0.8846153846153846,0.8431372549019608,0.8653846153846154,0.8245614035087719,0.7796610169491526,0.8032786885245902,0.7758620689655172,0.8235294117647058,0.8392857142857143,0.8723404255319149,0.7666666666666667,0.7843137254901961,0.746031746031746,0.8490566037735849,0.7755102040816326,0.8214285714285714,0.8,0.8333333333333334,0.851063829787234,0.9056603773584906,0.7547169811320755,0.9056603773584906,0.7924528301886793,0.84,0.9230769230769231,0.8,0.8727272727272727,0.8275862068965517,0.8571428571428571,0.8636363636363636,0.8518518518518519,0.8,0.8461538461538461,0.8392857142857143,0.8333333333333334,0.7833333333333333,0.7894736842105263,0.7857142857142857,0.875,0.875,0.8518518518518519,0.7580645161290323,0.8103448275862069,0.8070175438596491,0.8461538461538461,0.746268656716418,0.88,0.7931034482758621,0.8478260869565217,0.875,0.8245614035087719,0.8461538461538461,0.8103448275862069,0.8333333333333334,0.7692307692307693,0.803921568627451,0.8421052631578947,0.8421052631578947,0.8,0.8431372549019608,0.8545454545454545,0.8214285714285714,0.7818181818181819,0.8148148148148148,0.8333333333333334,0.9574468085106383,0.8305084745762712,0.7586206896551724,0.8421052631578947,0.8809523809523809,0.7959183673469388,0.8461538461538461,0.8490566037735849,0.7580645161290323,0.8793103448275862,0.7924528301886793,0.8070175438596491,0.8679245283018868,0.7966101694915254,0.8269230769230769
synapse-1.2,0.4,0.52,0.5384615384615384,0.5,0.52,0.6,0.6153846153846154,0.625,0.5238095238095238,0.48148148148148145,0.6,0.35,0.625,0.5,0.5454545454545454,0.6470588235294118,0.65,0.5,0.6470588235294118,0.55,0.42857142857142855,0.56,0.4375,0.5833333333333334,0.5,0.47058823529411764,0.55,0.47368421052631576,0.4090909090909091,0.5,0.42857142857142855,0.52,0.5,0.5,0.4444444444444444,0.48,0.5882352941176471,0.6428571428571429,0.6086956521739131,0.42857142857142855,0.6,0.7857142857142857,0.5263157894736842,0.5294117647058824,0.5,0.5333333333333333,0.47619047619047616,0.5909090909090909,0.6842105263157895,0.4666666666666667,0.3333333333333333,0.4782608695652174,0.6,0.6666666666666666,0.625,0.42857142857142855,0.44,0.5238095238095238,0.6666666666666666,0.5555555555555556,0.5,0.47058823529411764,0.5,0.65,0.5294117647058824,0.4782608695652174,0.5238095238095238,0.5238095238095238,0.42105263157894735,0.45454545454545453,0.5,0.5,0.5263157894736842,0.5625,0.5294117647058824,0.625,0.631578947368421,0.5625,0.6111111111111112,0.42105263157894735,0.5,0.5,0.5,0.6363636363636364,0.6,0.6428571428571429,0.6,0.47368421052631576,0.5416666666666666,0.5263157894736842,0.4583333333333333,0.55,0.5882352941176471,0.5625,0.6875,0.7647058823529411,0.5,0.4,0.4090909090909091,0.6,0.5625,0.4375,0.4166666666666667,0.6190476190476191,0.5,0.5,0.5789473684210527,0.6,0.5882352941176471,0.5625,0.625,0.5294117647058824,0.7368421052631579,0.5217391304347826,0.3684210526315789,0.47368421052631576,0.6153846153846154,0.5,0.47058823529411764,0.5238095238095238,0.6470588235294118,0.4782608695652174,0.5,0.5625,0.5555555555555556,0.6086956521739131,0.5263157894736842,0.5,0.5,0.5384615384615384,0.5,0.6111111111111112,0.47368421052631576,0.5,0.4782608695652174,0.375,0.5217391304347826,0.5263157894736842,0.42857142857142855,0.5384615384615384,0.6,0.5833333333333334,0.5294117647058824,0.4375,0.36363636363636365,0.391304347826087,0.6190476190476191,0.5,0.5,0.6923076923076923
tomcat,0.25,0.17857142857142858,0.1724137931034483,0.3157894736842105,0.16,0.36363636363636365,0.29411764705882354,0.3,0.2857142857142857,0.2222222222222222,0.2,0.3157894736842105,0.25,0.2692307692307692,0.09523809523809523,0.058823529411764705,0.14285714285714285,0.125,0.2777777777777778,0.16,0.2608695652173913,0.35294117647058826,0.1,0.21428571428571427,0.17391304347826086,0.4117647058823529,0.3333333333333333,0.2727272727272727,0.10526315789473684,0.26666666666666666,0.11538461538461539,0.28,0.2916666666666667,0.21739130434782608,0.11764705882352941,0.14285714285714285,0.2777777777777778,0.36363636363636365,0.21212121212121213,0.21052631578947367,0.14285714285714285,0.4,0.32,0.11764705882352941,0.2857142857142857,0.45454545454545453,0.26666666666666666,0.21052631578947367,0.15,0.22727272727272727,0.21052631578947367,0.2222222222222222,0.18181818181818182,0.23809523809523808,0.2608695652173913,0.24,0.23529411764705882,0.2857142857142857,0.25,0.25,0.08333333333333333,0.36,0.29411764705882354,0.15384615384615385,0.16,0.23076923076923078,0.2,0.3181818181818182,0.1875,0.26666666666666666,0.2,0.2727272727272727,0.21739130434782608,0.25,0.2,0.125,0.23076923076923078,0.25,0.25,0.17391304347826086,0.21428571428571427,0.2222222222222222,0.32,0.25,0.2777777777777778,0.21428571428571427,0.25,0.14285714285714285,0.26666666666666666,0.15789473684210525,0.25,0.25,0.21052631578947367,0.15384615384615385,0.14285714285714285,0.25,0.2,0.23333333333333334,0.2413793103448276,0.16666666666666666,0.3,0.09523809523809523,0.09523809523809523,0.28,0.2222222222222222,0.2727272727272727,0.25925925925925924,0.35294117647058826,0.16666666666666666,0.2857142857142857,0.2,0.32,0.05555555555555555,0.3333333333333333,0.17391304347826086,0.24,0.19230769230769232,0.16666666666666666,0.25,0.3181818181818182,0.2857142857142857,0.1111111111111111,0.16,0.34782608695652173,0.2608695652173913,0.2222222222222222,0.26666666666666666,0.2857142857142857,0.1875,0.15384615384615385,0.3,0.35,0.1111111111111111,0.2692307692307692,0.16666666666666666,0.11764705882352941,0.23529411764705882,0.28,0.125,0.2,0.22727272727272727,0.2,0.2631578947368421,0.2857142857142857,0.17647058823529413,0.2222222222222222,0.3125,0.23529411764705882,0.15789473684210525,0.10526315789473684
