,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.24806201550387597,0.25384615384615383,0.2283464566929134,0.2283464566929134,0.20175438596491227,0.23622047244094488,0.23809523809523808,0.234375,0.24812030075187969,0.16091954022988506,0.25,0.2440944881889764,0.21951219512195122,0.23622047244094488,0.25,0.16129032258064516,0.23255813953488372,0.25384615384615383,0.23140495867768596,0.2396694214876033,0.224,0.23809523809523808,0.24603174603174602,0.24031007751937986,0.23809523809523808,0.24031007751937986,0.1111111111111111,0.18018018018018017,0.22900763358778625,0.26153846153846155,0.23809523809523808,0.2440944881889764,0.15555555555555556,0.2283464566929134,0.23846153846153847,0.23255813953488372,0.24390243902439024,0.24806201550387597,0.24812030075187969,0.22608695652173913,0.264,0.2440944881889764,0.2421875,0.2366412213740458,0.2184873949579832,0.24603174603174602,0.15,0.2421875,0.23255813953488372,0.2619047619047619,0.24060150375939848,0.21818181818181817,0.22580645161290322,0.24,0.272,0.2631578947368421,0.21774193548387097,0.25190839694656486,0.24427480916030533,0.16326530612244897,0.2558139534883721,0.20535714285714285,0.16326530612244897,0.232,0.24806201550387597,0.24615384615384617,0.24806201550387597,0.25384615384615383,0.13592233009708737,0.24806201550387597,0.234375,0.25,0.23577235772357724,0.2440944881889764,0.25,0.13978494623655913,0.24615384615384617,0.24242424242424243,0.2661290322580645,0.248,0.1702127659574468,0.22764227642276422,0.24615384615384617,0.24615384615384617,0.2558139534883721,0.24060150375939848,0.24806201550387597,0.12941176470588237,0.2366412213740458,0.23622047244094488,0.23255813953488372,0.25,0.2396694214876033,0.24603174603174602,0.22608695652173913,0.18181818181818182,0.1794871794871795,0.24806201550387597,0.2459016393442623,0.25757575757575757,0.24812030075187969,0.2578125,0.22131147540983606,0.22580645161290322,0.24031007751937986,0.23255813953488372,0.23387096774193547,0.24242424242424243,0.23333333333333334,0.0,0.24615384615384617,0.24060150375939848,0.24615384615384617,0.24806201550387597,0.03773584905660377,0.23577235772357724,0.23846153846153847,0.25,0.23577235772357724,0.24427480916030533,0.2558139534883721,0.23622047244094488,0.23577235772357724,0.24031007751937986,0.25757575757575757,0.24615384615384617,0.17525773195876287,0.24427480916030533,0.24806201550387597,0.226890756302521,0.25,0.2283464566929134,0.25190839694656486,0.12903225806451613,0.2556390977443609,0.24812030075187969,0.24812030075187969,0.1568627450980392,0.25396825396825395,0.2018348623853211,0.1568627450980392,0.25384615384615383,0.24427480916030533,0.11688311688311688,0.25,0.12345679012345678,0.24242424242424243,0.24806201550387597,0.24242424242424243,0.15476190476190477
arc,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.25,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.25,0.0625,0.0,0.0,0.2,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.125,0.2,0.1724137931034483,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.13043478260869565,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.16,0.0,0.0,0.11538461538461539,0.11764705882352941,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
camel-1.6,0.3333333333333333,0.3157894736842105,0.28846153846153844,0.3103448275862069,0.3191489361702128,0.2727272727272727,0.25,0.25862068965517243,0.25,0.1968503937007874,0.4,0.20652173913043478,0.2125984251968504,0.15789473684210525,0.3,0.0,0.0,0.30357142857142855,0.23648648648648649,0.21476510067114093,0.3125,0.22580645161290322,0.5555555555555556,0.375,0.2206896551724138,0.28846153846153844,0.14285714285714285,0.25,0.21804511278195488,0.20134228187919462,0.18012422360248448,0.4,0.19090909090909092,0.28,0.5,0.18181818181818182,0.1925925925925926,0.2857142857142857,0.42857142857142855,0.22535211267605634,0.2608695652173913,0.2564102564102564,0.08333333333333333,0.2,0.0,0.21311475409836064,0.23529411764705882,0.3783783783783784,0.36363636363636365,0.25,0.3333333333333333,0.19424460431654678,0.35294117647058826,0.42857142857142855,0.2727272727272727,0.21678321678321677,0.2,0.2916666666666667,0.47058823529411764,0.14285714285714285,0.14084507042253522,0.1509433962264151,0.16666666666666666,0.23776223776223776,0.24193548387096775,0.2,0.2014388489208633,0.21768707482993196,0.3333333333333333,0.375,0.18867924528301888,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.21951219512195122,0.2465753424657534,0.21487603305785125,0.20512820512820512,0.216,0.5555555555555556,0.3076923076923077,0.0,0.24060150375939848,0.25,0.22580645161290322,0.36363636363636365,0.3333333333333333,0.203125,0.19298245614035087,0.2,0.2857142857142857,0.2,0.20454545454545456,0.26582278481012656,0.23076923076923078,0.42857142857142855,0.25316455696202533,0.21951219512195122,0.2692307692307692,0.14285714285714285,0.3225806451612903,0.1870967741935484,0.14285714285714285,0.17647058823529413,0.21739130434782608,0.23076923076923078,0.22018348623853212,0.20689655172413793,0.25,0.2169811320754717,0.4482758620689655,0.16666666666666666,0.35294117647058826,0.23728813559322035,0.20625,0.22695035460992907,0.2839506172839506,0.5,0.24528301886792453,0.3125,0.2153846153846154,0.2222222222222222,0.2631578947368421,0.1724137931034483,0.6666666666666666,0.22641509433962265,0.2653061224489796,0.24489795918367346,0.24299065420560748,0.2,0.625,0.2222222222222222,0.1875,0.20155038759689922,0.2549019607843137,0.2564102564102564,0.0,0.2857142857142857,0.3333333333333333,0.19753086419753085,0.23484848484848486,0.375,0.22549019607843138,0.2698412698412698,0.20833333333333334,0.125,0.5714285714285714,0.23308270676691728
ivy-2.0,0.10714285714285714,0.10344827586206896,0.12698412698412698,0.12280701754385964,0.08163265306122448,0.11864406779661017,0.024390243902439025,0.13793103448275862,0.11864406779661017,0.12698412698412698,0.12962962962962962,0.1206896551724138,0.11864406779661017,0.11864406779661017,0.1,0.10714285714285714,0.09090909090909091,0.12698412698412698,0.13333333333333333,0.11290322580645161,0.10526315789473684,0.13333333333333333,0.13333333333333333,0.11538461538461539,0.0784313725490196,0.13333333333333333,0.10526315789473684,0.09090909090909091,0.10344827586206896,0.11538461538461539,0.1,0.13114754098360656,0.11666666666666667,0.09615384615384616,0.1016949152542373,0.05555555555555555,0.1016949152542373,0.11864406779661017,0.09803921568627451,0.09836065573770492,0.1111111111111111,0.022727272727272728,0.10344827586206896,0.1346153846153846,0.13559322033898305,0.12698412698412698,0.07547169811320754,0.09433962264150944,0.10526315789473684,0.1016949152542373,0.13333333333333333,0.13793103448275862,0.11666666666666667,0.0425531914893617,0.13114754098360656,0.10526315789473684,0.11666666666666667,0.11320754716981132,0.12280701754385964,0.125,0.13793103448275862,0.10714285714285714,0.07142857142857142,0.11475409836065574,0.13333333333333333,0.12727272727272726,0.1111111111111111,0.11475409836065574,0.1,0.10909090909090909,0.11320754716981132,0.08771929824561403,0.1016949152542373,0.12903225806451613,0.13793103448275862,0.11864406779661017,0.13114754098360656,0.12280701754385964,0.09433962264150944,0.12698412698412698,0.1016949152542373,0.12903225806451613,0.07317073170731707,0.12727272727272726,0.11290322580645161,0.13114754098360656,0.13793103448275862,0.125,0.09259259259259259,0.12280701754385964,0.12280701754385964,0.07272727272727272,0.12698412698412698,0.11666666666666667,0.12,0.08333333333333333,0.08333333333333333,0.12903225806451613,0.1206896551724138,0.10714285714285714,0.11290322580645161,0.10344827586206896,0.041666666666666664,0.11538461538461539,0.13114754098360656,0.14035087719298245,0.12698412698412698,0.1016949152542373,0.08620689655172414,0.0851063829787234,0.09090909090909091,0.043478260869565216,0.12903225806451613,0.11864406779661017,0.10526315789473684,0.12903225806451613,0.08,0.10714285714285714,0.16,0.13114754098360656,0.0,0.1206896551724138,0.125,0.14035087719298245,0.09090909090909091,0.11538461538461539,0.12903225806451613,0.10909090909090909,0.058823529411764705,0.11475409836065574,0.10909090909090909,0.10204081632653061,0.12903225806451613,0.11666666666666667,0.11666666666666667,0.13793103448275862,0.10526315789473684,0.11290322580645161,0.09615384615384616,0.11666666666666667,0.13114754098360656,0.10526315789473684,0.1206896551724138,0.07142857142857142,0.12280701754385964,0.11666666666666667,0.10909090909090909,0.12962962962962962,0.13114754098360656,0.11864406779661017
jedit-4.3,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.027777777777777776,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0136986301369863,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.016129032258064516,0.0,0.0,0.014705882352941176,0.01694915254237288,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.017857142857142856,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log4j-1.2,1.0,0.95,0.9130434782608695,0.9142857142857143,1.0,1.0,0.9444444444444444,0.9166666666666666,0.95,0.9333333333333333,0.9090909090909091,1.0,0.9166666666666666,0.8695652173913043,0.8709677419354839,0.9411764705882353,0.9090909090909091,0.9444444444444444,0.875,0.8888888888888888,0.9333333333333333,0.9166666666666666,0.8333333333333334,0.9142857142857143,0.9285714285714286,0.9473684210526315,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.8,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9166666666666666,1.0,1.0,0.9142857142857143,0.9444444444444444,0.8888888888888888,0.9090909090909091,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9117647058823529,1.0,0.8333333333333334,1.0,1.0,0.9032258064516129,0.9333333333333333,0.9166666666666666,0.9,0.9117647058823529,1.0,0.9166666666666666,1.0,1.0,0.9444444444444444,1.0,0.9375,0.9090909090909091,1.0,0.9473684210526315,0.9166666666666666,1.0,0.8571428571428571,0.8888888888888888,0.9166666666666666,1.0,1.0,0.9047619047619048,0.9333333333333333,1.0,0.875,0.9444444444444444,0.9166666666666666,1.0,1.0,0.8636363636363636,1.0,0.9285714285714286,0.75,0.875,0.7142857142857143,1.0,0.9166666666666666,0.95,1.0,0.6666666666666666,0.9333333333333333,0.9166666666666666,0.9285714285714286,0.75,0.7272727272727273,0.9166666666666666,1.0,1.0,1.0,0.8888888888888888,0.8,0.9166666666666666,0.8461538461538461,0.9285714285714286,0.9285714285714286,1.0,0.8333333333333334,0.9166666666666666,0.9444444444444444,1.0,0.9,1.0,0.896551724137931,0.9166666666666666,0.9722222222222222,0.9375,1.0,0.8571428571428571,0.9375,1.0,0.875,1.0,0.9166666666666666,1.0,0.9166666666666666,0.8888888888888888,0.8181818181818182,0.8461538461538461,1.0,0.9230769230769231,0.90625,1.0,0.88,0.9444444444444444,0.9166666666666666,0.9375,1.0,0.8,0.9,0.9,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9696969696969697,0.9411764705882353,0.8888888888888888,0.8888888888888888,0.7142857142857143
lucene-2.4,0.6557377049180327,0.5217391304347826,0.6721311475409836,0.6229508196721312,0.6129032258064516,0.6333333333333333,0.6229508196721312,0.6111111111111112,0.639344262295082,0.6229508196721312,0.6557377049180327,0.42857142857142855,0.639344262295082,0.6166666666666667,0.6229508196721312,0.5384615384615384,0.6557377049180327,0.639344262295082,0.6557377049180327,0.639344262295082,0.639344262295082,0.639344262295082,0.6458333333333334,0.6451612903225806,0.5,0.5454545454545454,0.6166666666666667,0.5625,0.6229508196721312,0.53125,0.6166666666666667,0.6,0.6122448979591837,0.5333333333333333,0.639344262295082,0.5454545454545454,0.4883720930232558,0.6226415094339622,0.6229508196721312,0.6557377049180327,0.6557377049180327,0.5555555555555556,0.6065573770491803,0.5531914893617021,0.5625,0.6785714285714286,0.6557377049180327,0.6229508196721312,0.6229508196721312,0.5,0.47619047619047616,0.6440677966101694,0.6229508196721312,0.5333333333333333,0.65,0.6229508196721312,0.5185185185185185,0.6721311475409836,0.6578947368421053,0.5238095238095238,0.65,0.6,0.6229508196721312,0.6190476190476191,0.6333333333333333,0.625,0.6557377049180327,0.5882352941176471,0.6065573770491803,0.5901639344262295,0.6666666666666666,0.6610169491525424,0.639344262295082,0.6557377049180327,0.6046511627906976,0.6153846153846154,0.639344262295082,0.5555555555555556,0.6666666666666666,0.6557377049180327,0.6140350877192983,0.6557377049180327,0.6271186440677966,0.38461538461538464,0.6166666666666667,0.6229508196721312,0.5849056603773585,0.6666666666666666,0.47619047619047616,0.6065573770491803,0.6557377049180327,0.639344262295082,0.6557377049180327,0.75,0.6557377049180327,0.5384615384615384,0.5769230769230769,0.6274509803921569,0.6229508196721312,0.6181818181818182,0.6666666666666666,0.5813953488372093,0.6557377049180327,0.5833333333333334,0.639344262295082,0.5208333333333334,0.5675675675675675,0.6166666666666667,0.6229508196721312,0.5714285714285714,0.6875,0.6785714285714286,0.6557377049180327,0.5901639344262295,0.47619047619047616,0.6557377049180327,0.4666666666666667,0.6,0.6078431372549019,0.639344262295082,0.4666666666666667,0.6229508196721312,0.6111111111111112,0.6206896551724138,0.6229508196721312,0.6764705882352942,0.5,0.6557377049180327,0.5652173913043478,0.6229508196721312,0.6721311475409836,0.625,0.5263157894736842,0.5957446808510638,0.6229508196721312,0.6557377049180327,0.6229508196721312,0.6,0.59375,0.6065573770491803,0.6440677966101694,0.5862068965517241,0.5813953488372093,0.6065573770491803,0.5901639344262295,0.639344262295082,0.6285714285714286,0.65,0.625,0.5740740740740741
poi-3.0,0.675,0.6875,0.6962025316455697,0.7333333333333333,0.7012987012987013,0.7714285714285715,0.7,0.6666666666666666,0.5957446808510638,0.6753246753246753,0.6923076923076923,0.16666666666666666,0.704225352112676,0.7088607594936709,0.7321428571428571,0.7125,0.6984126984126984,0.7021276595744681,0.717948717948718,0.6792452830188679,0.6764705882352942,0.6835443037974683,0.6962025316455697,0.75,0.6835443037974683,0.8157894736842105,0.7,0.6835443037974683,0.7555555555555555,0.6835443037974683,0.6964285714285714,0.675,0.71875,0.5714285714285714,0.7088607594936709,0.76,0.675,0.7142857142857143,0.14285714285714285,0.6962025316455697,0.7,0.7,0.6708860759493671,0.6153846153846154,0.7037037037037037,0.45454545454545453,0.6625,0.6923076923076923,0.7209302325581395,0.6190476190476191,0.8,0.6086956521739131,0.7105263157894737,0.7162162162162162,0.6835443037974683,0.7,0.675,0.7051282051282052,0.2,0.6835443037974683,0.6875,0.6875,0.7413793103448276,0.6216216216216216,0.7,0.6835443037974683,0.4666666666666667,0.6538461538461539,0.6962025316455697,0.6851851851851852,0.4,0.675,0.7291666666666666,0.7115384615384616,0.7142857142857143,0.6363636363636364,0.6551724137931034,0.6949152542372882,0.6962025316455697,0.7088607594936709,0.7454545454545455,0.7948717948717948,0.6842105263157895,0.7346938775510204,0.6708860759493671,0.6666666666666666,0.6944444444444444,0.6962025316455697,0.7608695652173914,0.6962025316455697,0.7,0.675,0.6956521739130435,0.6666666666666666,0.6875,0.7125,0.75,0.6835443037974683,0.7088607594936709,0.46153846153846156,0.6875,0.4642857142857143,0.7045454545454546,0.7368421052631579,0.6962025316455697,0.7317073170731707,0.5333333333333333,0.5384615384615384,0.7088607594936709,0.7088607594936709,0.45,0.6875,0.6835443037974683,0.7088607594936709,0.7088607594936709,0.6949152542372882,0.7088607594936709,0.4166666666666667,0.7,0.7333333333333333,0.75,0.6973684210526315,0.7088607594936709,0.6666666666666666,0.5,0.6794871794871795,0.6363636363636364,0.7121212121212122,0.7037037037037037,0.6962025316455697,0.7125,0.6666666666666666,0.72,0.6901408450704225,0.2727272727272727,0.6222222222222222,0.7,0.673469387755102,0.5,0.7,0.7,0.6875,0.7804878048780488,0.6962025316455697,0.6571428571428571,0.675,0.56,0.5952380952380952,0.6923076923076923,0.6857142857142857
synapse-1.2,0.4,0.3953488372093023,0.3953488372093023,0.35555555555555557,0.36363636363636365,0.4090909090909091,0.3953488372093023,0.37209302325581395,0.3953488372093023,0.37777777777777777,0.4,0.35555555555555557,0.40476190476190477,0.37209302325581395,0.3953488372093023,0.4,0.37777777777777777,0.3953488372093023,0.36585365853658536,0.3953488372093023,0.4090909090909091,0.38095238095238093,0.37209302325581395,0.37777777777777777,0.37777777777777777,0.391304347826087,0.3953488372093023,0.38636363636363635,0.37209302325581395,0.375,0.4,0.3953488372093023,0.36585365853658536,0.37777777777777777,0.36363636363636365,0.4,0.3953488372093023,0.3953488372093023,0.37209302325581395,0.3953488372093023,0.3953488372093023,0.3409090909090909,0.40476190476190477,0.38636363636363635,0.38636363636363635,0.4,0.3488372093023256,0.37777777777777777,0.4146341463414634,0.3953488372093023,0.35555555555555557,0.38636363636363635,0.38636363636363635,0.3953488372093023,0.3953488372093023,0.4,0.38636363636363635,0.3953488372093023,0.36363636363636365,0.3902439024390244,0.4,0.36363636363636365,0.38636363636363635,0.4146341463414634,0.37209302325581395,0.4090909090909091,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.38095238095238093,0.391304347826087,0.3953488372093023,0.38095238095238093,0.35555555555555557,0.3953488372093023,0.391304347826087,0.38636363636363635,0.40476190476190477,0.36363636363636365,0.37209302325581395,0.391304347826087,0.3953488372093023,0.40476190476190477,0.36363636363636365,0.38636363636363635,0.4090909090909091,0.3953488372093023,0.36363636363636365,0.37777777777777777,0.38095238095238093,0.391304347826087,0.3902439024390244,0.37777777777777777,0.38636363636363635,0.37209302325581395,0.4,0.38095238095238093,0.38095238095238093,0.38636363636363635,0.38636363636363635,0.3953488372093023,0.38636363636363635,0.3953488372093023,0.37777777777777777,0.37777777777777777,0.4,0.3953488372093023,0.37777777777777777,0.37209302325581395,0.40476190476190477,0.391304347826087,0.3953488372093023,0.3684210526315789,0.36363636363636365,0.38636363636363635,0.4090909090909091,0.3953488372093023,0.38636363636363635,0.37777777777777777,0.38095238095238093,0.4,0.38636363636363635,0.40476190476190477,0.37777777777777777,0.36363636363636365,0.4,0.37777777777777777,0.3953488372093023,0.3953488372093023,0.3902439024390244,0.4,0.37209302325581395,0.38636363636363635,0.37777777777777777,0.3953488372093023,0.391304347826087,0.4,0.38095238095238093,0.38636363636363635,0.38636363636363635,0.4090909090909091,0.38636363636363635,0.37209302325581395,0.37209302325581395,0.38636363636363635,0.37777777777777777,0.38636363636363635,0.40476190476190477,0.38636363636363635,0.40476190476190477
tomcat,0.034482758620689655,0.02702702702702703,0.05263157894736842,0.0,0.0,0.061224489795918366,0.1111111111111111,0.06666666666666667,0.041666666666666664,0.0,0.0,0.047619047619047616,0.07258064516129033,0.07692307692307693,0.0,0.030927835051546393,0.07017543859649122,0.06666666666666667,0.022727272727272728,0.034482758620689655,0.06666666666666667,0.0,0.09523809523809523,0.09917355371900827,0.0,0.0,0.1056338028169014,0.104,0.0,0.04938271604938271,0.10526315789473684,0.018867924528301886,0.0,0.08450704225352113,0.0,0.03571428571428571,0.0,0.02857142857142857,0.10084033613445378,0.0,0.0,0.0,0.11267605633802817,0.109375,0.0,0.0,0.0,0.1,0.0,0.09154929577464789,0.043478260869565216,0.0,0.0625,0.0,0.09219858156028368,0.045454545454545456,0.0,0.0,0.05714285714285714,0.09722222222222222,0.02666666666666667,0.0,0.075,0.0,0.08333333333333333,0.0,0.05555555555555555,0.0,0.09722222222222222,0.036585365853658534,0.025,0.07017543859649122,0.0,1.0,0.018867924528301886,0.05263157894736842,0.1171875,0.045454545454545456,0.07142857142857142,0.0,0.0,0.11347517730496454,0.08,0.0,0.0,0.07272727272727272,0.0,0.02127659574468085,0.0,0.04081632653061224,0.09782608695652174,0.0,0.041666666666666664,0.0,0.037037037037037035,0.05555555555555555,0.058823529411764705,0.041666666666666664,0.023809523809523808,0.0,0.05555555555555555,0.0,0.0,0.03333333333333333,0.07462686567164178,0.0,0.04081632653061224,0.0,0.07142857142857142,0.0,0.045454545454545456,0.0,0.09803921568627451,0.10416666666666667,0.0,0.10869565217391304,0.0,0.0,0.05555555555555555,0.08,0.0945945945945946,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.10294117647058823,0.04,0.038461538461538464,0.12244897959183673,0.07058823529411765,0.0,0.05825242718446602,0.07407407407407407,0.0,0.0,0.0859375,0.0,0.0,0.0625,0.0,0.0,0.10569105691056911,0.0,0.0,1.0,0.125
