,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.9696969696969697,1.0,0.9090909090909091,0.9090909090909091,0.6764705882352942,0.9393939393939394,0.9090909090909091,0.9393939393939394,1.0,0.4117647058823529,1.0,0.9696969696969697,0.8181818181818182,0.9090909090909091,0.9705882352941176,0.30303030303030304,0.9393939393939394,1.0,0.8484848484848485,0.8529411764705882,0.8484848484848485,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.8823529411764706,1.0,0.24242424242424243,0.6060606060606061,0.9393939393939394,1.0,0.9393939393939394,0.9393939393939394,0.42424242424242425,0.9090909090909091,1.0,0.9393939393939394,0.9393939393939394,0.9696969696969697,1.0,0.7647058823529411,1.0,0.9696969696969697,0.9393939393939394,0.9393939393939394,0.7647058823529411,0.9696969696969697,0.5151515151515151,0.9393939393939394,0.9393939393939394,0.9705882352941176,1.0,0.7575757575757576,0.8484848484848485,0.9090909090909091,1.0,0.9090909090909091,0.8787878787878788,1.0,0.9696969696969697,0.47058823529411764,1.0,0.7272727272727273,0.48484848484848486,0.8787878787878788,0.9705882352941176,1.0,0.9696969696969697,1.0,0.42424242424242425,0.9411764705882353,0.9090909090909091,0.9696969696969697,0.8787878787878788,0.9696969696969697,0.8823529411764706,0.3939393939393939,1.0,0.9696969696969697,1.0,0.9411764705882353,0.48484848484848486,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9705882352941176,1.0,1.0,0.3333333333333333,0.9696969696969697,0.8823529411764706,0.9393939393939394,1.0,0.8787878787878788,0.9393939393939394,0.7941176470588235,0.696969696969697,0.6666666666666666,1.0,0.9090909090909091,1.0,1.0,1.0,0.8787878787878788,0.8787878787878788,0.9411764705882353,0.9090909090909091,0.8787878787878788,1.0,0.8787878787878788,0.029411764705882353,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.058823529411764705,0.9090909090909091,0.9696969696969697,0.9696969696969697,0.8787878787878788,0.9705882352941176,1.0,0.9090909090909091,0.9090909090909091,0.9393939393939394,1.0,1.0,0.5151515151515151,0.9696969696969697,1.0,0.8235294117647058,0.9696969696969697,0.8787878787878788,1.0,0.3939393939393939,1.0,1.0,1.0,0.48484848484848486,0.9696969696969697,0.6764705882352942,0.5151515151515151,1.0,0.9696969696969697,0.2727272727272727,1.0,0.30303030303030304,1.0,0.9696969696969697,0.9696969696969697,0.38235294117647056
arc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.2,0.8333333333333334,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.3333333333333333,0.5,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.16666666666666666,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.2,0.6,0.3333333333333333,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.2,0.0,0.0,0.2
camel-1.6,0.32432432432432434,0.1891891891891892,0.47368421052631576,0.2894736842105263,0.47368421052631576,0.08108108108108109,0.08108108108108109,0.5263157894736842,0.4473684210526316,0.7631578947368421,0.05405405405405406,0.5945945945945946,0.7368421052631579,0.18421052631578946,0.2894736842105263,0.08108108108108109,0.02702702702702703,0.5263157894736842,0.9736842105263158,0.9210526315789473,0.1891891891891892,0.6486486486486487,0.18421052631578946,0.2894736842105263,0.868421052631579,0.4864864864864865,0.21621621621621623,0.47368421052631576,0.7631578947368421,0.9210526315789473,0.9459459459459459,0.08108108108108109,0.631578947368421,0.4473684210526316,0.23684210526315788,0.2972972972972973,0.7837837837837838,0.2894736842105263,0.15789473684210525,0.47368421052631576,0.6756756756756757,0.32432432432432434,0.18421052631578946,0.8947368421052632,0.10526315789473684,0.7837837837837838,0.24324324324324326,0.3684210526315789,0.2631578947368421,0.07894736842105263,0.21621621621621623,0.8378378378378378,0.21052631578947367,0.15789473684210525,0.2894736842105263,0.8918918918918919,0.21621621621621623,0.2631578947368421,0.2631578947368421,0.07894736842105263,0.35135135135135137,0.32432432432432434,0.10526315789473684,0.8947368421052632,0.8421052631578947,0.16216216216216217,0.8108108108108109,0.8947368421052632,0.15789473684210525,0.15789473684210525,0.8918918918918919,0.8108108108108109,0.18421052631578946,0.10526315789473684,0.18421052631578946,0.08108108108108109,1.0,0.631578947368421,0.7631578947368421,0.3157894736842105,0.7837837837837838,0.16216216216216217,0.18421052631578946,0.05263157894736842,0.8947368421052632,0.08108108108108109,0.8378378378378378,0.15789473684210525,0.10526315789473684,0.868421052631579,0.8108108108108109,0.24324324324324326,0.3157894736842105,0.10526315789473684,0.7368421052631579,0.5945945945945946,0.13513513513513514,0.18421052631578946,0.6578947368421053,0.5263157894736842,0.43243243243243246,0.08108108108108109,0.3157894736842105,0.8157894736842105,0.13157894736842105,0.1891891891891892,0.8378378378378378,0.868421052631579,0.7105263157894737,0.5263157894736842,0.3783783783783784,0.6756756756756757,0.3684210526315789,0.18421052631578946,0.39473684210526316,0.4864864864864865,0.972972972972973,0.9210526315789473,0.6578947368421053,0.07894736842105263,0.40540540540540543,0.21621621621621623,0.42105263157894735,0.13157894736842105,0.7631578947368421,0.24324324324324326,0.13513513513513514,0.3684210526315789,0.47368421052631576,0.4473684210526316,0.7567567567567568,0.8918918918918919,0.21052631578947367,0.15789473684210525,0.13157894736842105,0.8108108108108109,0.7837837837837838,0.3684210526315789,0.10526315789473684,0.21052631578947367,0.02702702702702703,0.5675675675675675,0.9473684210526315,0.13157894736842105,0.7105263157894737,0.5135135135135135,0.21621621621621623,0.13157894736842105,0.13157894736842105,0.9473684210526315
ivy-2.0,0.75,0.75,1.0,0.875,0.625,0.875,0.25,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.75,0.875,0.625,1.0,1.0,0.875,0.75,1.0,1.0,0.75,0.5,1.0,0.75,0.625,0.875,0.75,0.5,1.0,1.0,0.625,0.75,0.25,0.75,0.875,0.625,0.875,0.75,0.25,0.875,0.875,1.0,1.0,0.625,0.625,0.75,0.75,1.0,1.0,0.875,0.25,1.0,0.75,0.875,0.75,0.875,0.875,1.0,0.75,0.375,0.875,1.0,0.875,0.625,0.875,0.75,0.75,0.75,0.625,0.875,1.0,1.0,1.0,1.0,0.875,0.625,1.0,0.875,1.0,0.375,0.875,0.875,1.0,1.0,0.875,0.625,0.875,0.875,0.625,1.0,0.875,0.75,0.5,0.375,1.0,0.875,0.75,1.0,0.75,0.125,0.75,1.0,1.0,1.0,0.75,0.75,0.5,0.625,0.125,1.0,0.875,0.75,1.0,0.625,0.75,1.0,1.0,0.0,0.875,0.875,1.0,0.625,0.75,1.0,0.75,0.375,0.875,0.75,0.625,1.0,0.875,1.0,1.0,0.75,1.0,0.625,0.875,1.0,0.75,1.0,0.375,0.875,0.875,0.75,0.875,1.0,0.875
jedit-4.3,0.5,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,1.0,0.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.6666666666666666,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,0.0
log4j-1.2,0.2894736842105263,0.5,0.5526315789473685,0.8421052631578947,0.16216216216216217,0.18421052631578946,0.9210526315789473,0.9473684210526315,0.5,0.3783783783783784,0.2631578947368421,0.21052631578947367,0.9736842105263158,0.5263157894736842,0.7297297297297297,0.42105263157894735,0.2631578947368421,0.9210526315789473,0.18421052631578946,0.918918918918919,0.7368421052631579,1.0,0.13157894736842105,0.8421052631578947,0.35135135135135137,0.47368421052631576,1.0,0.9473684210526315,0.21052631578947367,0.10810810810810811,0.9210526315789473,0.23684210526315788,0.23684210526315788,0.9736842105263158,0.8918918918918919,0.15789473684210525,0.21052631578947367,0.8421052631578947,0.8947368421052632,0.9459459459459459,0.2631578947368421,0.23684210526315788,0.2894736842105263,0.2894736842105263,0.972972972972973,1.0,0.8157894736842105,0.2631578947368421,0.2631578947368421,0.16216216216216217,0.2894736842105263,0.7368421052631579,0.3684210526315789,1.0,0.24324324324324326,0.8157894736842105,0.4473684210526316,0.9736842105263158,0.13157894736842105,0.1891891891891892,0.9210526315789473,0.07894736842105263,0.7894736842105263,0.5263157894736842,0.2972972972972973,0.47368421052631576,0.9736842105263158,0.18421052631578946,0.15789473684210525,0.918918918918919,0.868421052631579,0.18421052631578946,0.3157894736842105,0.5,0.3783783783783784,0.18421052631578946,0.18421052631578946,1.0,0.9210526315789473,0.5135135135135135,0.34210526315789475,0.5,0.2631578947368421,0.6842105263157895,0.16216216216216217,0.18421052631578946,0.13157894736842105,0.47368421052631576,0.9473684210526315,0.5135135135135135,0.21052631578947367,0.05263157894736842,0.3684210526315789,0.8947368421052632,0.35135135135135137,0.15789473684210525,0.21052631578947367,1.0,0.5526315789473685,0.24324324324324326,0.5,0.21052631578947367,0.10526315789473684,1.0,0.2972972972972973,0.34210526315789475,0.6842105263157895,0.18421052631578946,0.13157894736842105,0.972972972972973,0.9736842105263158,0.3157894736842105,0.47368421052631576,0.13157894736842105,0.7027027027027027,0.9210526315789473,1.0,0.7894736842105263,0.13157894736842105,0.16216216216216217,0.39473684210526316,0.3157894736842105,0.18421052631578946,0.18421052631578946,0.9459459459459459,0.2631578947368421,0.9210526315789473,0.21052631578947367,0.23684210526315788,0.2972972972972973,0.15789473684210525,0.3157894736842105,0.7631578947368421,0.4473684210526316,0.5945945945945946,0.4473684210526316,0.9473684210526315,0.7894736842105263,0.3157894736842105,0.10810810810810811,0.23684210526315788,0.23684210526315788,0.8947368421052632,0.21052631578947367,0.9459459459459459,0.8421052631578947,0.8421052631578947,0.21052631578947367,0.21052631578947367,0.13513513513513514
lucene-2.4,1.0,0.2926829268292683,1.0,1.0,0.475,0.4634146341463415,1.0,0.2926829268292683,1.0,1.0,1.0,0.3170731707317073,1.0,0.925,1.0,0.1951219512195122,1.0,1.0,1.0,1.0,1.0,1.0,0.7560975609756098,0.5,0.375,0.43902439024390244,0.9512195121951219,0.43902439024390244,1.0,0.425,0.9512195121951219,0.5853658536585366,0.7317073170731707,0.425,1.0,0.3170731707317073,0.5121951219512195,0.8048780487804879,1.0,1.0,1.0,0.36585365853658536,1.0,0.65,0.475,0.4634146341463415,1.0,1.0,1.0,0.35,0.24390243902439024,0.9512195121951219,1.0,0.6,0.325,1.0,0.34146341463414637,1.0,0.625,0.275,0.975609756097561,0.5121951219512195,1.0,0.325,0.975,0.7560975609756098,1.0,0.24390243902439024,1.0,1.0,0.2926829268292683,0.9512195121951219,1.0,1.0,0.65,0.4146341463414634,1.0,0.36585365853658536,0.425,1.0,0.8536585365853658,1.0,0.926829268292683,0.125,0.95,1.0,0.7560975609756098,0.975609756097561,0.25,0.975,1.0,1.0,1.0,0.175,1.0,0.5121951219512195,0.7560975609756098,0.7804878048780488,1.0,0.85,0.4878048780487805,0.6341463414634146,1.0,0.35,1.0,0.6097560975609756,0.5121951219512195,0.9512195121951219,1.0,0.4,0.2682926829268293,0.5121951219512195,1.0,1.0,0.25,1.0,0.1951219512195122,0.4634146341463415,0.775,0.975,0.34146341463414637,1.0,0.2682926829268293,0.9,1.0,0.5609756097560976,0.21951219512195122,1.0,0.65,1.0,1.0,0.8536585365853658,0.24390243902439024,0.7,1.0,1.0,0.975609756097561,0.7560975609756098,0.475,1.0,0.9512195121951219,0.4146341463414634,0.6097560975609756,1.0,0.975,1.0,0.5365853658536586,0.9512195121951219,0.75,0.825
poi-3.0,1.0,1.0,1.0,0.8214285714285714,0.9642857142857143,0.47368421052631576,1.0,0.75,0.5,0.9642857142857143,0.9824561403508771,0.03571428571428571,0.9464285714285714,1.0,0.7321428571428571,1.0,0.7857142857142857,0.625,1.0,0.6428571428571429,0.8245614035087719,1.0,1.0,0.48214285714285715,1.0,0.543859649122807,1.0,1.0,0.6071428571428571,1.0,0.7017543859649122,1.0,0.8571428571428571,0.17857142857142858,1.0,0.6842105263157895,1.0,1.0,0.017857142857142856,1.0,1.0,1.0,1.0,0.2857142857142857,0.7142857142857143,0.08771929824561403,1.0,0.9821428571428571,0.5714285714285714,0.4642857142857143,0.7894736842105263,0.25,0.9642857142857143,0.9464285714285714,1.0,1.0,1.0,1.0,0.017857142857142856,1.0,1.0,1.0,0.7857142857142857,0.4107142857142857,0.5357142857142857,0.9824561403508771,0.125,0.30357142857142855,1.0,0.6607142857142857,0.07017543859649122,1.0,0.6428571428571429,0.6785714285714286,0.9821428571428571,0.24561403508771928,0.7142857142857143,0.7678571428571429,1.0,1.0,0.7368421052631579,0.5535714285714286,0.48214285714285715,0.6428571428571429,1.0,0.7368421052631579,0.4642857142857143,1.0,0.6428571428571429,1.0,1.0,1.0,0.2857142857142857,0.5178571428571429,0.39285714285714285,1.0,0.6964285714285714,1.0,1.0,0.10714285714285714,1.0,0.23214285714285715,0.5714285714285714,0.75,1.0,0.543859649122807,0.17857142857142858,0.25,1.0,1.0,0.15789473684210525,1.0,1.0,1.0,1.0,0.7192982456140351,1.0,0.08928571428571429,0.6607142857142857,0.8214285714285714,0.8421052631578947,0.9464285714285714,1.0,0.4107142857142857,0.03571428571428571,0.9649122807017544,0.375,0.8571428571428571,0.6785714285714286,1.0,1.0,0.8571428571428571,0.3392857142857143,0.8928571428571429,0.05357142857142857,0.49122807017543857,1.0,0.6071428571428571,0.05357142857142857,0.8928571428571429,1.0,0.625,0.5714285714285714,1.0,0.4107142857142857,1.0,0.25,0.44642857142857145,0.8035714285714286,0.42857142857142855
synapse-1.2,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tomcat,0.06666666666666667,0.0625,0.125,0.0,0.0,0.2,0.875,0.0625,0.2,0.0,0.0,0.0625,0.5625,0.5333333333333333,0.0,0.2,0.25,0.0625,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.75,0.8,0.0,0.0,0.9375,0.8125,0.0,0.26666666666666666,0.13333333333333333,0.0625,0.0,0.4,0.06666666666666667,0.06666666666666667,0.0,0.0625,0.8,0.0,0.0,0.0,1.0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.5,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0625,0.0,0.8666666666666667,0.2,0.0625,0.0,0.13333333333333333,0.9333333333333333,0.13333333333333333,0.0,0.1875,0.0,0.6666666666666666,0.0,0.25,0.0,0.9333333333333333,0.2,0.06666666666666667,0.25,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9375,0.125,0.06666666666666667,0.0,0.0,1.0,0.125,0.0,0.0,0.26666666666666666,0.0625,0.0625,0.0,0.13333333333333333,0.6,0.0,0.0625,0.0,0.06666666666666667,0.06666666666666667,0.125,0.0625,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.125,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.3125,1.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.4,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0625,0.375,0.4,0.0,0.4,0.375,0.0,0.0,0.7333333333333333,0.0,0.0625,0.3125,0.0,0.0,0.8666666666666667,0.0,0.0,0.06666666666666667,0.3333333333333333
