,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.9696969696969697,1.0,0.90625,0.90625,0.6764705882352942,0.9375,0.9090909090909091,0.9375,1.0,0.4117647058823529,1.0,0.96875,0.8181818181818182,0.9090909090909091,0.9696969696969697,0.30303030303030304,0.9375,1.0,0.8484848484848485,0.8529411764705882,0.8484848484848485,0.9375,0.9393939393939394,0.9393939393939394,0.8823529411764706,1.0,0.24242424242424243,0.6060606060606061,0.9375,1.0,0.9375,0.9393939393939394,0.42424242424242425,0.90625,1.0,0.9375,0.9375,0.9696969696969697,1.0,0.7647058823529411,1.0,0.96875,0.9393939393939394,0.9393939393939394,0.7647058823529411,0.96875,0.4838709677419355,0.9393939393939394,0.9375,0.9705882352941176,1.0,0.75,0.8484848484848485,0.9090909090909091,1.0,0.9090909090909091,0.8709677419354839,1.0,0.9696969696969697,0.47058823529411764,1.0,0.71875,0.48484848484848486,0.8787878787878788,0.9696969696969697,1.0,0.9696969696969697,1.0,0.42424242424242425,0.9411764705882353,0.9090909090909091,0.9696969696969697,0.8787878787878788,0.96875,0.8823529411764706,0.3939393939393939,1.0,0.9696969696969697,1.0,0.9393939393939394,0.48484848484848486,0.875,0.9696969696969697,0.9696969696969697,0.9705882352941176,1.0,1.0,0.3333333333333333,0.96875,0.8823529411764706,0.9375,1.0,0.8787878787878788,0.9393939393939394,0.7878787878787878,0.6666666666666666,0.65625,1.0,0.9090909090909091,1.0,1.0,1.0,0.8709677419354839,0.875,0.9393939393939394,0.9090909090909091,0.8787878787878788,1.0,0.875,0.0,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.058823529411764705,0.90625,0.96875,0.9696969696969697,0.8787878787878788,0.9696969696969697,1.0,0.9090909090909091,0.90625,0.9393939393939394,1.0,1.0,0.5151515151515151,0.9696969696969697,1.0,0.8181818181818182,0.9696969696969697,0.8787878787878788,1.0,0.375,1.0,1.0,1.0,0.48484848484848486,0.9696969696969697,0.6666666666666666,0.5,1.0,0.9696969696969697,0.2727272727272727,1.0,0.30303030303030304,1.0,0.9696969696969697,0.9696969696969697,0.38235294117647056
arc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8333333333333334,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0
camel-1.6,0.22580645161290322,0.16666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.08333333333333333,0.030303030303030304,0.45454545454545453,0.42857142857142855,0.7352941176470589,0.05714285714285714,0.5588235294117647,0.7297297297297297,0.08823529411764706,0.1875,0.0,0.0,0.4857142857142857,0.9722222222222222,0.9142857142857143,0.14705882352941177,0.6176470588235294,0.14285714285714285,0.1875,0.8648648648648649,0.4411764705882353,0.03333333333333333,0.4117647058823529,0.7631578947368421,0.9090909090909091,0.9354838709677419,0.058823529411764705,0.6176470588235294,0.4,0.18181818181818182,0.23529411764705882,0.7647058823529411,0.22857142857142856,0.08571428571428572,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.03225806451612903,0.90625,0.0,0.7647058823529411,0.125,0.3783783783783784,0.22857142857142856,0.058823529411764705,0.09375,0.8181818181818182,0.17142857142857143,0.09090909090909091,0.2571428571428571,0.8857142857142857,0.09375,0.2,0.2222222222222222,0.05405405405405406,0.29411764705882354,0.25,0.029411764705882353,0.8947368421052632,0.8333333333333334,0.08823529411764706,0.8,0.8888888888888888,0.0625,0.16216216216216217,0.8823529411764706,0.8,0.09090909090909091,0.08108108108108109,0.11764705882352941,0.029411764705882353,1.0,0.5625,0.7647058823529411,0.23529411764705882,0.7714285714285715,0.14285714285714285,0.11428571428571428,0.0,0.8888888888888888,0.02857142857142857,0.8235294117647058,0.1111111111111111,0.058823529411764705,0.8387096774193549,0.7586206896551724,0.15625,0.2857142857142857,0.029411764705882353,0.7297297297297297,0.5833333333333334,0.08571428571428572,0.09090909090909091,0.6060606060606061,0.5,0.4117647058823529,0.029411764705882353,0.2857142857142857,0.8055555555555556,0.030303030303030304,0.09090909090909091,0.8333333333333334,0.8571428571428571,0.6857142857142857,0.5,0.35294117647058826,0.6571428571428571,0.3611111111111111,0.09090909090909091,0.34285714285714286,0.42424242424242425,0.9705882352941176,0.9142857142857143,0.6571428571428571,0.030303030303030304,0.38235294117647056,0.15151515151515152,0.3888888888888889,0.06060606060606061,0.7352941176470589,0.15151515151515152,0.1111111111111111,0.3333333333333333,0.3939393939393939,0.36363636363636365,0.7428571428571429,0.8823529411764706,0.14705882352941177,0.06060606060606061,0.08333333333333333,0.7878787878787878,0.7647058823529411,0.29411764705882354,0.0,0.16666666666666666,0.029411764705882353,0.5,0.9393939393939394,0.08571428571428572,0.696969696969697,0.5,0.15151515151515152,0.05714285714285714,0.10810810810810811,0.9393939393939394
ivy-2.0,0.75,0.75,1.0,0.875,0.5714285714285714,0.875,0.14285714285714285,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.75,0.8571428571428571,0.625,1.0,1.0,0.875,0.75,1.0,1.0,0.75,0.5,1.0,0.75,0.625,0.8571428571428571,0.75,0.5,1.0,1.0,0.625,0.75,0.25,0.75,0.875,0.625,0.8571428571428571,0.75,0.14285714285714285,0.8571428571428571,0.875,1.0,1.0,0.5714285714285714,0.625,0.75,0.75,1.0,1.0,0.875,0.25,1.0,0.75,0.875,0.75,0.875,0.875,1.0,0.75,0.375,0.875,1.0,0.875,0.625,0.875,0.75,0.75,0.75,0.625,0.8571428571428571,1.0,1.0,1.0,1.0,0.875,0.625,1.0,0.8571428571428571,1.0,0.375,0.875,0.875,1.0,1.0,0.875,0.625,0.875,0.875,0.5714285714285714,1.0,0.875,0.75,0.5,0.375,1.0,0.875,0.75,1.0,0.75,0.125,0.75,1.0,1.0,1.0,0.75,0.7142857142857143,0.5,0.625,0.125,1.0,0.875,0.75,1.0,0.5714285714285714,0.75,1.0,1.0,0.0,0.875,0.875,1.0,0.625,0.75,1.0,0.75,0.375,0.875,0.75,0.625,1.0,0.875,1.0,1.0,0.75,1.0,0.625,0.875,1.0,0.75,1.0,0.375,0.875,0.875,0.75,0.875,1.0,0.875
jedit-4.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log4j-1.2,0.3333333333333333,0.5588235294117647,0.6363636363636364,0.9696969696969697,0.18181818181818182,0.21212121212121213,1.0,1.0,0.5428571428571428,0.4375,0.29411764705882354,0.23529411764705882,1.0,0.6060606060606061,0.84375,0.47058823529411764,0.30303030303030304,1.0,0.21212121212121213,1.0,0.8484848484848485,1.0,0.15151515151515152,0.9696969696969697,0.40625,0.5294117647058824,1.0,1.0,0.23529411764705882,0.12121212121212122,1.0,0.2727272727272727,0.2727272727272727,1.0,1.0,0.18181818181818182,0.23529411764705882,0.9696969696969697,1.0,1.0,0.29411764705882354,0.2727272727272727,0.3235294117647059,0.3333333333333333,1.0,1.0,0.9393939393939394,0.30303030303030304,0.30303030303030304,0.17647058823529413,0.3333333333333333,0.8484848484848485,0.42424242424242425,1.0,0.28125,0.9393939393939394,0.5151515151515151,1.0,0.15151515151515152,0.21875,1.0,0.09090909090909091,0.9090909090909091,0.5882352941176471,0.3333333333333333,0.5454545454545454,1.0,0.21212121212121213,0.18181818181818182,1.0,1.0,0.20588235294117646,0.36363636363636365,0.5588235294117647,0.4375,0.20588235294117646,0.20588235294117646,1.0,1.0,0.5757575757575758,0.3939393939393939,0.5757575757575758,0.29411764705882354,0.7878787878787878,0.1875,0.21212121212121213,0.15151515151515152,0.5454545454545454,1.0,0.59375,0.23529411764705882,0.06060606060606061,0.42424242424242425,1.0,0.3939393939393939,0.18181818181818182,0.24242424242424243,1.0,0.6,0.28125,0.5428571428571428,0.24242424242424243,0.11764705882352941,1.0,0.3333333333333333,0.3939393939393939,0.7878787878787878,0.20588235294117646,0.15151515151515152,1.0,1.0,0.35294117647058826,0.5454545454545454,0.15151515151515152,0.7878787878787878,1.0,1.0,0.9090909090909091,0.14705882352941177,0.1875,0.45454545454545453,0.36363636363636365,0.20588235294117646,0.20588235294117646,1.0,0.29411764705882354,1.0,0.24242424242424243,0.2727272727272727,0.3333333333333333,0.18181818181818182,0.36363636363636365,0.8787878787878788,0.5,0.6875,0.5151515151515151,1.0,0.8823529411764706,0.36363636363636365,0.12121212121212122,0.2647058823529412,0.2647058823529412,1.0,0.24242424242424243,1.0,0.9142857142857143,0.9411764705882353,0.23529411764705882,0.24242424242424243,0.15625
lucene-2.4,1.0,0.34285714285714286,1.0,1.0,0.5588235294117647,0.5135135135135135,1.0,0.3235294117647059,1.0,1.0,1.0,0.3333333333333333,1.0,0.9736842105263158,1.0,0.19444444444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.7948717948717948,0.5714285714285714,0.4166666666666667,0.5,0.9736842105263158,0.47368421052631576,1.0,0.4594594594594595,0.9736842105263158,0.631578947368421,0.8108108108108109,0.45714285714285713,1.0,0.32432432432432434,0.5833333333333334,0.868421052631579,1.0,1.0,1.0,0.39473684210526316,1.0,0.6842105263157895,0.5142857142857142,0.5135135135135135,1.0,1.0,1.0,0.3611111111111111,0.2777777777777778,0.95,1.0,0.6666666666666666,0.38235294117647056,1.0,0.3888888888888889,1.0,0.6578947368421053,0.3235294117647059,0.975,0.5526315789473685,1.0,0.37142857142857144,0.9743589743589743,0.7894736842105263,1.0,0.2702702702702703,1.0,1.0,0.3333333333333333,0.975,1.0,1.0,0.7027027027027027,0.43243243243243246,1.0,0.4166666666666667,0.4444444444444444,1.0,0.8974358974358975,1.0,0.9487179487179487,0.14285714285714285,0.9736842105263158,1.0,0.8157894736842105,0.975609756097561,0.29411764705882354,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.5675675675675675,0.8333333333333334,0.8205128205128205,1.0,0.8717948717948718,0.5555555555555556,0.6756756756756757,1.0,0.3888888888888889,1.0,0.7352941176470589,0.5675675675675675,0.9736842105263158,1.0,0.4444444444444444,0.28205128205128205,0.48717948717948717,1.0,1.0,0.2702702702702703,1.0,0.1794871794871795,0.5142857142857142,0.8611111111111112,1.0,0.3888888888888889,1.0,0.3142857142857143,0.9230769230769231,1.0,0.5897435897435898,0.25,1.0,0.6842105263157895,1.0,1.0,0.9210526315789473,0.2631578947368421,0.7368421052631579,1.0,1.0,1.0,0.7894736842105263,0.5277777777777778,1.0,0.95,0.4722222222222222,0.6756756756756757,1.0,1.0,1.0,0.6111111111111112,0.975,0.7894736842105263,0.8857142857142857
poi-3.0,1.0,1.0,1.0,0.8301886792452831,0.9642857142857143,0.5,1.0,0.7636363636363637,0.5714285714285714,0.9629629629629629,0.9818181818181818,0.041666666666666664,0.9433962264150944,1.0,0.7592592592592593,1.0,0.8301886792452831,0.6470588235294118,1.0,0.6923076923076923,0.8363636363636363,1.0,1.0,0.47058823529411764,1.0,0.5636363636363636,1.0,1.0,0.6666666666666666,1.0,0.7222222222222222,1.0,0.8518518518518519,0.16,1.0,0.6909090909090909,1.0,1.0,0.020833333333333332,1.0,1.0,1.0,1.0,0.32653061224489793,0.7037037037037037,0.10416666666666667,1.0,0.9818181818181818,0.5849056603773585,0.5098039215686274,0.7857142857142857,0.28,0.9642857142857143,0.9636363636363636,1.0,1.0,1.0,1.0,0.02,1.0,1.0,1.0,0.7962962962962963,0.4423076923076923,0.5283018867924528,0.9818181818181818,0.14285714285714285,0.34,1.0,0.6981132075471698,0.08163265306122448,1.0,0.660377358490566,0.6727272727272727,0.9821428571428571,0.28,0.7169811320754716,0.7735849056603774,1.0,1.0,0.7321428571428571,0.5961538461538461,0.52,0.6545454545454545,1.0,0.7368421052631579,0.5,1.0,0.7,1.0,1.0,1.0,0.3333333333333333,0.5490196078431373,0.43137254901960786,1.0,0.7358490566037735,1.0,1.0,0.12244897959183673,1.0,0.2708333333333333,0.5961538461538461,0.7924528301886793,1.0,0.5769230769230769,0.1702127659574468,0.2916666666666667,1.0,1.0,0.18,1.0,1.0,1.0,1.0,0.7454545454545455,1.0,0.10416666666666667,0.660377358490566,0.8148148148148148,0.8571428571428571,0.9636363636363636,1.0,0.4489795918367347,0.041666666666666664,0.9636363636363636,0.4375,0.8703703703703703,0.7307692307692307,1.0,1.0,0.8727272727272727,0.36,0.9245283018867925,0.061224489795918366,0.5283018867924528,1.0,0.6346153846153846,0.06382978723404255,0.9074074074074074,1.0,0.6226415094339622,0.6153846153846154,1.0,0.45098039215686275,1.0,0.28,0.5,0.8181818181818182,0.46153846153846156
synapse-1.2,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tomcat,0.06666666666666667,0.0625,0.125,0.0,0.0,0.2,0.875,0.0625,0.2,0.0,0.0,0.0625,0.5625,0.5333333333333333,0.0,0.2,0.25,0.0625,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.75,0.8,0.0,0.0,0.9375,0.8125,0.0,0.26666666666666666,0.13333333333333333,0.0625,0.0,0.4,0.0,0.06666666666666667,0.0,0.0625,0.8,0.0,0.0,0.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.5,0.0,0.8666666666666667,0.07142857142857142,0.0,0.0625,0.0,0.8666666666666667,0.2,0.0,0.0,0.13333333333333333,0.9333333333333333,0.13333333333333333,0.0,0.1875,0.0,0.6666666666666666,0.0,0.25,0.0,0.9333333333333333,0.2,0.06666666666666667,0.25,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9375,0.125,0.06666666666666667,0.0,0.0,1.0,0.125,0.0,0.0,0.26666666666666666,0.0,0.0625,0.0,0.13333333333333333,0.6,0.0,0.0625,0.0,0.06666666666666667,0.06666666666666667,0.125,0.0625,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.125,0.0,0.07142857142857142,0.0,0.06666666666666667,0.0,0.3125,1.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.4,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0625,0.375,0.4,0.0,0.4,0.375,0.0,0.0,0.7333333333333333,0.0,0.0,0.3125,0.0,0.0,0.8666666666666667,0.0,0.0,0.06666666666666667,0.3333333333333333
