,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.4049079754601227,0.4203821656050955,0.38554216867469876,0.0,0.0,0.39506172839506176,0.4049079754601227,0.0,0.39520958083832336,0.0,0.0,0.38271604938271603,0.4025157232704403,0.0,0.4024390243902439,0.4,0.3902439024390244,0.4049079754601227,0.0,0.42236024844720504,0.40993788819875776,0.0,0.39520958083832336,0.4025157232704403,0.40963855421686746,0.3875,0.0,0.0,0.38271604938271603,0.4125,0.0,0.4049079754601227,0.0,0.39263803680981596,0.3803680981595092,0.37267080745341613,0.4,0.4125,0.41509433962264153,0.0,0.40993788819875776,0.39506172839506176,0.0,0.40522875816993464,0.40476190476190477,0.39263803680981596,0.0,0.40993788819875776,0.0,0.4276729559748428,0.3878787878787879,0.39506172839506176,0.40740740740740744,0.4,0.0,0.0,0.37419354838709673,0.40993788819875776,0.4049079754601227,0.42236024844720504,0.4024390243902439,0.39751552795031053,0.0,0.0,0.0,0.39751552795031053,0.4049079754601227,0.40993788819875776,0.39263803680981596,0.0,0.4049079754601227,0.0,0.0,0.3878787878787879,0.4049079754601227,0.4,0.0,0.4125,0.4125,0.0,0.40740740740740744,0.0,0.4125,0.4,0.41975308641975306,0.38554216867469876,0.4024390243902439,0.0,0.39751552795031053,0.40476190476190477,0.39751552795031053,0.0,0.4050632911392405,0.4125,0.4024390243902439,0.37735849056603776,0.39506172839506176,0.0,0.40993788819875776,0.0,0.4125,0.4203821656050955,0.3875,0.3878787878787879,0.0,0.40740740740740744,0.4049079754601227,0.3902439024390244,0.41025641025641024,0.0,0.4125,0.39263803680981596,0.42580645161290326,0.0,0.0,0.39751552795031053,0.3924050632911393,0.4050632911392405,0.0,0.3975903614457831,0.4203821656050955,0.4,0.0,0.0,0.4121212121212121,0.39506172839506176,0.0,0.40740740740740744,0.39263803680981596,0.0,0.4024390243902439,0.0,0.0,0.4,0.39506172839506176,0.4049079754601227,0.0,0.4025157232704403,0.4024390243902439,0.0,0.0,0.4125,0.4,0.4177215189873418,0.3924050632911393,0.4,0.3902439024390244,0.4024390243902439,0.4025157232704403,0.0
arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camel-1.6,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05555555555555556,0.05555555555555556,0.0,0.05555555555555555,0.0,0.0,0.0,0.05405405405405405,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05714285714285715,0.0,0.05555555555555556,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368425,0.052631578947368425,0.0,0.0,0.05405405405405405,0.05555555555555556,0.0,0.0,0.0,0.05405405405405406,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.05128205128205129,0.0,0.05263157894736842,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05405405405405405,0.0,0.0,0.0,0.05714285714285715,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.05,0.05714285714285715,0.0,0.0,0.05128205128205129,0.0,0.0,0.0,0.0,0.052631578947368425,0.0
ivy-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jedit-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log4j-1.2,0.9565217391304348,0.9714285714285714,0.9859154929577464,0.9714285714285714,0.9411764705882353,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9411764705882353,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9859154929577464,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.9859154929577464,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9859154929577464,0.9411764705882353,0.9714285714285714,0.9859154929577464,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9859154929577464,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9411764705882353,0.9714285714285714,0.9714285714285714,0.9859154929577464,0.9565217391304348,0.9411764705882353,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9859154929577464,0.9565217391304348,0.9859154929577464,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9411764705882353,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9859154929577464,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9411764705882353,0.9565217391304348,0.9859154929577464,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9859154929577464,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9859154929577464,0.9714285714285714,0.9565217391304348,0.9411764705882353,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9859154929577464,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9565217391304348,0.9859154929577464,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9565217391304348,0.9714285714285714,0.9411764705882353,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9714285714285714,0.9714285714285714
lucene-2.4,0.7920792079207921,0.7676767676767677,0.8039215686274509,0.7676767676767677,0.78,0.78,0.7676767676767677,0.78,0.78,0.7676767676767677,0.7920792079207921,0.78,0.78,0.78,0.7676767676767677,0.7676767676767677,0.78,0.78,0.7920792079207921,0.78,0.78,0.78,0.8039215686274509,0.78,0.7920792079207921,0.7920792079207921,0.7676767676767677,0.8039215686274509,0.7676767676767677,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.7920792079207921,0.78,0.7676767676767677,0.7920792079207921,0.7920792079207921,0.8039215686274509,0.7551020408163265,0.7676767676767677,0.7676767676767677,0.8039215686274509,0.7920792079207921,0.7676767676767677,0.7676767676767677,0.7676767676767677,0.7920792079207921,0.7920792079207921,0.7676767676767677,0.7551020408163265,0.78,0.7676767676767677,0.78,0.8039215686274509,0.7551020408163265,0.7920792079207921,0.7920792079207921,0.8039215686274509,0.7676767676767677,0.7920792079207921,0.78,0.78,0.7920792079207921,0.78,0.7551020408163265,0.7422680412371134,0.7920792079207921,0.78,0.78,0.7920792079207921,0.7676767676767677,0.78,0.78,0.7920792079207921,0.7551020408163265,0.7920792079207921,0.8039215686274509,0.7920792079207921,0.7676767676767677,0.78,0.7551020408163265,0.7676767676767677,0.7676767676767677,0.7920792079207921,0.78,0.7676767676767677,0.7920792079207921,0.78,0.7920792079207921,0.7676767676767677,0.7920792079207921,0.8039215686274509,0.7422680412371134,0.7920792079207921,0.7676767676767677,0.78,0.78,0.78,0.7920792079207921,0.7676767676767677,0.78,0.8039215686274509,0.7551020408163265,0.7676767676767677,0.7676767676767677,0.78,0.7920792079207921,0.78,0.7920792079207921,0.7422680412371134,0.78,0.7920792079207921,0.78,0.78,0.7551020408163265,0.7920792079207921,0.7920792079207921,0.7676767676767677,0.78,0.7920792079207921,0.7676767676767677,0.8039215686274509,0.78,0.7920792079207921,0.7920792079207921,0.7676767676767677,0.8039215686274509,0.7920792079207921,0.8039215686274509,0.7920792079207921,0.7676767676767677,0.7920792079207921,0.78,0.78,0.7676767676767677,0.7551020408163265,0.7920792079207921,0.78,0.8039215686274509,0.7551020408163265,0.7422680412371134,0.78,0.78,0.8039215686274509,0.7920792079207921,0.7676767676767677
poi-3.0,0.8059701492537313,0.8148148148148148,0.8208955223880596,0.8120300751879699,0.8296296296296296,0.8148148148148148,0.8235294117647058,0.8296296296296296,0.8030303030303031,0.8120300751879699,0.8148148148148148,0.8235294117647058,0.8030303030303031,0.8296296296296296,0.8208955223880596,0.832116788321168,0.8148148148148148,0.8030303030303031,0.835820895522388,0.8208955223880596,0.8235294117647058,0.8120300751879699,0.8208955223880596,0.8030303030303031,0.8120300751879699,0.832116788321168,0.8235294117647058,0.8120300751879699,0.8208955223880596,0.8120300751879699,0.8235294117647058,0.8059701492537313,0.8120300751879699,0.8120300751879699,0.8296296296296296,0.8235294117647058,0.8120300751879699,0.8208955223880596,0.8296296296296296,0.8208955223880596,0.8235294117647058,0.8235294117647058,0.8030303030303031,0.8296296296296296,0.8120300751879699,0.8148148148148148,0.7969924812030075,0.8208955223880596,0.8208955223880596,0.8296296296296296,0.8235294117647058,0.8235294117647058,0.8296296296296296,0.8296296296296296,0.8120300751879699,0.8235294117647058,0.8059701492537313,0.8208955223880596,0.8296296296296296,0.8120300751879699,0.8148148148148148,0.8148148148148148,0.8208955223880596,0.8296296296296296,0.8120300751879699,0.8148148148148148,0.8148148148148148,0.835820895522388,0.8208955223880596,0.8296296296296296,0.8235294117647058,0.8059701492537313,0.8208955223880596,0.8208955223880596,0.8296296296296296,0.832116788321168,0.8059701492537313,0.8120300751879699,0.8208955223880596,0.8296296296296296,0.8235294117647058,0.8059701492537313,0.8208955223880596,0.8296296296296296,0.8030303030303031,0.832116788321168,0.8059701492537313,0.8208955223880596,0.8120300751879699,0.8208955223880596,0.8235294117647058,0.8059701492537313,0.8208955223880596,0.8208955223880596,0.8208955223880596,0.832116788321168,0.8235294117647058,0.8120300751879699,0.8296296296296296,0.8030303030303031,0.8148148148148148,0.8235294117647058,0.8208955223880596,0.8120300751879699,0.8208955223880596,0.8148148148148148,0.787878787878788,0.8208955223880596,0.8296296296296296,0.8296296296296296,0.8148148148148148,0.8148148148148148,0.8120300751879699,0.8296296296296296,0.8296296296296296,0.832116788321168,0.8296296296296296,0.8296296296296296,0.8120300751879699,0.8296296296296296,0.832116788321168,0.8235294117647058,0.8296296296296296,0.8208955223880596,0.8030303030303031,0.8148148148148148,0.8148148148148148,0.8208955223880596,0.8296296296296296,0.8208955223880596,0.832116788321168,0.8235294117647058,0.7938931297709924,0.8208955223880596,0.8208955223880596,0.832116788321168,0.8235294117647058,0.8208955223880596,0.8120300751879699,0.8208955223880596,0.8235294117647058,0.8059701492537313,0.8120300751879699,0.8208955223880596,0.8296296296296296,0.8059701492537313,0.8148148148148148,0.8296296296296296,0.8208955223880596,0.8208955223880596
synapse-1.2,0.0,0.5483870967741935,0.5483870967741935,0.0,0.5573770491803279,0.5714285714285715,0.5573770491803279,0.5245901639344263,0.0,0.5483870967741935,0.5625,0.5245901639344263,0.0,0.5483870967741935,0.5573770491803279,0.5625,0.5483870967741935,0.5573770491803279,0.5517241379310345,0.5483870967741935,0.5714285714285715,0.0,0.5245901639344263,0.5666666666666667,0.5666666666666667,0.0,0.5573770491803279,0.5483870967741935,0.5245901639344263,0.0,0.5714285714285715,0.5573770491803279,0.5573770491803279,0.5483870967741935,0.5245901639344263,0.0,0.5666666666666667,0.5483870967741935,0.5245901639344263,0.0,0.0,0.0,0.5483870967741935,0.5483870967741935,0.0,0.0,0.5245901639344263,0.5483870967741935,0.5666666666666667,0.5483870967741935,0.5396825396825397,0.576271186440678,0.0,0.5483870967741935,0.5573770491803279,0.5714285714285715,0.5483870967741935,0.5483870967741935,0.0,0.0,0.5714285714285715,0.5245901639344263,0.5483870967741935,0.5573770491803279,0.0,0.5714285714285715,0.0,0.5573770491803279,0.5483870967741935,0.5245901639344263,0.5806451612903226,0.5573770491803279,0.5333333333333333,0.5245901639344263,0.0,0.5625,0.5483870967741935,0.5573770491803279,0.0,0.5245901639344263,0.5625,0.5483870967741935,0.5573770491803279,0.5333333333333333,0.0,0.5625,0.5573770491803279,0.5245901639344263,0.5483870967741935,0.5573770491803279,0.0,0.0,0.0,0.5483870967741935,0.5245901639344263,0.0,0.5483870967741935,0.5333333333333333,0.5483870967741935,0.0,0.5396825396825397,0.0,0.5573770491803279,0.0,0.5483870967741935,0.5625,0.5483870967741935,0.5333333333333333,0.0,0.5573770491803279,0.0,0.5573770491803279,0.0,0.5245901639344263,0.5483870967741935,0.0,0.5423728813559322,0.5483870967741935,0.0,0.5573770491803279,0.5625,0.5483870967741935,0.5573770491803279,0.0,0.5245901639344263,0.5806451612903226,0.0,0.5333333333333333,0.5573770491803279,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333,0.5573770491803279,0.5901639344262295,0.5245901639344263,0.5666666666666667,0.5483870967741935,0.0,0.5714285714285715,0.5573770491803279,0.5245901639344263,0.0,0.5666666666666667,0.5396825396825397,0.0,0.5483870967741935,0.5573770491803279,0.5573770491803279
tomcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
