,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
ant-1.7,0.25384615384615383,0.2661290322580645,0.23880597014925373,0.0,0.0,0.24615384615384617,0.25384615384615383,0.0,0.2462686567164179,0.0,0.0,0.2366412213740458,0.25196850393700787,0.0,0.25190839694656486,0.25,0.24242424242424243,0.25384615384615383,0.0,0.2677165354330709,0.2578125,0.0,0.2462686567164179,0.25196850393700787,0.25757575757575757,0.24031007751937986,0.0,0.0,0.2366412213740458,0.25984251968503935,0.0,0.25384615384615383,0.0,0.24427480916030533,0.23484848484848486,0.22900763358778625,0.25,0.25984251968503935,0.2619047619047619,0.0,0.2578125,0.24615384615384617,0.0,0.2540983606557377,0.2537313432835821,0.24427480916030533,0.0,0.2578125,0.0,0.272,0.24060150375939848,0.24615384615384617,0.2558139534883721,0.25,0.0,0.0,0.23015873015873015,0.2578125,0.25384615384615383,0.2677165354330709,0.25190839694656486,0.24806201550387597,0.0,0.0,0.0,0.24806201550387597,0.25384615384615383,0.2578125,0.24427480916030533,0.0,0.25384615384615383,0.0,0.0,0.24060150375939848,0.25384615384615383,0.25,0.0,0.25984251968503935,0.25984251968503935,0.0,0.2558139534883721,0.0,0.25984251968503935,0.25,0.265625,0.23880597014925373,0.25190839694656486,0.0,0.24806201550387597,0.2537313432835821,0.24806201550387597,0.0,0.25396825396825395,0.25984251968503935,0.25190839694656486,0.23255813953488372,0.24615384615384617,0.0,0.2578125,0.0,0.25984251968503935,0.2661290322580645,0.24031007751937986,0.24060150375939848,0.0,0.2558139534883721,0.25384615384615383,0.24242424242424243,0.25806451612903225,0.0,0.25984251968503935,0.24427480916030533,0.27049180327868855,0.0,0.0,0.24806201550387597,0.2440944881889764,0.25396825396825395,0.0,0.24812030075187969,0.2661290322580645,0.25,0.0,0.0,0.2595419847328244,0.24615384615384617,0.0,0.2558139534883721,0.24427480916030533,0.0,0.25190839694656486,0.0,0.0,0.25,0.24615384615384617,0.25384615384615383,0.0,0.25196850393700787,0.25190839694656486,0.0,0.0,0.25984251968503935,0.25,0.264,0.2440944881889764,0.25,0.24242424242424243,0.25190839694656486,0.25196850393700787,0.0
arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camel-1.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
ivy-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jedit-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log4j-1.2,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9722222222222222,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.8888888888888888,0.9444444444444444,0.9722222222222222,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9722222222222222,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9444444444444444,0.9166666666666666,0.8888888888888888,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444
lucene-2.4,0.6557377049180327,0.6229508196721312,0.6721311475409836,0.6229508196721312,0.639344262295082,0.639344262295082,0.6229508196721312,0.639344262295082,0.639344262295082,0.6229508196721312,0.6557377049180327,0.639344262295082,0.639344262295082,0.639344262295082,0.6229508196721312,0.6229508196721312,0.639344262295082,0.639344262295082,0.6557377049180327,0.639344262295082,0.639344262295082,0.639344262295082,0.6721311475409836,0.639344262295082,0.6557377049180327,0.6557377049180327,0.6229508196721312,0.6721311475409836,0.6229508196721312,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.6557377049180327,0.639344262295082,0.6229508196721312,0.6557377049180327,0.6557377049180327,0.6721311475409836,0.6065573770491803,0.6229508196721312,0.6229508196721312,0.6721311475409836,0.6557377049180327,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6557377049180327,0.6557377049180327,0.6229508196721312,0.6065573770491803,0.639344262295082,0.6229508196721312,0.639344262295082,0.6721311475409836,0.6065573770491803,0.6557377049180327,0.6557377049180327,0.6721311475409836,0.6229508196721312,0.6557377049180327,0.639344262295082,0.639344262295082,0.6557377049180327,0.639344262295082,0.6065573770491803,0.5901639344262295,0.6557377049180327,0.639344262295082,0.639344262295082,0.6557377049180327,0.6229508196721312,0.639344262295082,0.639344262295082,0.6557377049180327,0.6065573770491803,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.6229508196721312,0.639344262295082,0.6065573770491803,0.6229508196721312,0.6229508196721312,0.6557377049180327,0.639344262295082,0.6229508196721312,0.6557377049180327,0.639344262295082,0.6557377049180327,0.6229508196721312,0.6557377049180327,0.6721311475409836,0.5901639344262295,0.6557377049180327,0.6229508196721312,0.639344262295082,0.639344262295082,0.639344262295082,0.6557377049180327,0.6229508196721312,0.639344262295082,0.6721311475409836,0.6065573770491803,0.6229508196721312,0.6229508196721312,0.639344262295082,0.6557377049180327,0.639344262295082,0.6557377049180327,0.5901639344262295,0.639344262295082,0.6557377049180327,0.639344262295082,0.639344262295082,0.6065573770491803,0.6557377049180327,0.6557377049180327,0.6229508196721312,0.639344262295082,0.6557377049180327,0.6229508196721312,0.6721311475409836,0.639344262295082,0.6557377049180327,0.6557377049180327,0.6229508196721312,0.6721311475409836,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.6229508196721312,0.6557377049180327,0.639344262295082,0.639344262295082,0.6229508196721312,0.6065573770491803,0.6557377049180327,0.639344262295082,0.6721311475409836,0.6065573770491803,0.5901639344262295,0.639344262295082,0.639344262295082,0.6721311475409836,0.6557377049180327,0.6229508196721312
poi-3.0,0.675,0.6875,0.6962025316455697,0.6835443037974683,0.7088607594936709,0.6875,0.7,0.7088607594936709,0.6708860759493671,0.6835443037974683,0.6875,0.7,0.6708860759493671,0.7088607594936709,0.6962025316455697,0.7125,0.6875,0.6708860759493671,0.717948717948718,0.6962025316455697,0.7,0.6835443037974683,0.6962025316455697,0.6708860759493671,0.6835443037974683,0.7125,0.7,0.6835443037974683,0.6962025316455697,0.6835443037974683,0.7,0.675,0.6835443037974683,0.6835443037974683,0.7088607594936709,0.7,0.6835443037974683,0.6962025316455697,0.7088607594936709,0.6962025316455697,0.7,0.7,0.6708860759493671,0.7088607594936709,0.6835443037974683,0.6875,0.6625,0.6962025316455697,0.6962025316455697,0.7088607594936709,0.7,0.7,0.7088607594936709,0.7088607594936709,0.6835443037974683,0.7,0.675,0.6962025316455697,0.7088607594936709,0.6835443037974683,0.6875,0.6875,0.6962025316455697,0.7088607594936709,0.6835443037974683,0.6875,0.6875,0.717948717948718,0.6962025316455697,0.7088607594936709,0.7,0.675,0.6962025316455697,0.6962025316455697,0.7088607594936709,0.7125,0.675,0.6835443037974683,0.6962025316455697,0.7088607594936709,0.7,0.675,0.6962025316455697,0.7088607594936709,0.6708860759493671,0.7125,0.675,0.6962025316455697,0.6835443037974683,0.6962025316455697,0.7,0.675,0.6962025316455697,0.6962025316455697,0.6962025316455697,0.7125,0.7,0.6835443037974683,0.7088607594936709,0.6708860759493671,0.6875,0.7,0.6962025316455697,0.6835443037974683,0.6962025316455697,0.6875,0.65,0.6962025316455697,0.7088607594936709,0.7088607594936709,0.6875,0.6875,0.6835443037974683,0.7088607594936709,0.7088607594936709,0.7125,0.7088607594936709,0.7088607594936709,0.6835443037974683,0.7088607594936709,0.7125,0.7,0.7088607594936709,0.6962025316455697,0.6708860759493671,0.6875,0.6875,0.6962025316455697,0.7088607594936709,0.6962025316455697,0.7125,0.7,0.6582278481012658,0.6962025316455697,0.6962025316455697,0.7125,0.7,0.6962025316455697,0.6835443037974683,0.6962025316455697,0.7,0.675,0.6835443037974683,0.6962025316455697,0.7088607594936709,0.675,0.6875,0.7088607594936709,0.6962025316455697,0.6962025316455697
synapse-1.2,0.0,0.37777777777777777,0.37777777777777777,0.0,0.38636363636363635,0.4,0.38636363636363635,0.35555555555555557,0.0,0.37777777777777777,0.391304347826087,0.35555555555555557,0.0,0.37777777777777777,0.38636363636363635,0.391304347826087,0.37777777777777777,0.38636363636363635,0.38095238095238093,0.37777777777777777,0.4,0.0,0.35555555555555557,0.3953488372093023,0.3953488372093023,0.0,0.38636363636363635,0.37777777777777777,0.35555555555555557,0.0,0.4,0.38636363636363635,0.38636363636363635,0.37777777777777777,0.35555555555555557,0.0,0.3953488372093023,0.37777777777777777,0.35555555555555557,0.0,0.0,0.0,0.37777777777777777,0.37777777777777777,0.0,0.0,0.35555555555555557,0.37777777777777777,0.3953488372093023,0.37777777777777777,0.3695652173913043,0.40476190476190477,0.0,0.37777777777777777,0.38636363636363635,0.4,0.37777777777777777,0.37777777777777777,0.0,0.0,0.4,0.35555555555555557,0.37777777777777777,0.38636363636363635,0.0,0.4,0.0,0.38636363636363635,0.37777777777777777,0.35555555555555557,0.4090909090909091,0.38636363636363635,0.36363636363636365,0.35555555555555557,0.0,0.391304347826087,0.37777777777777777,0.38636363636363635,0.0,0.35555555555555557,0.391304347826087,0.37777777777777777,0.38636363636363635,0.36363636363636365,0.0,0.391304347826087,0.38636363636363635,0.35555555555555557,0.37777777777777777,0.38636363636363635,0.0,0.0,0.0,0.37777777777777777,0.35555555555555557,0.0,0.37777777777777777,0.36363636363636365,0.37777777777777777,0.0,0.3695652173913043,0.0,0.38636363636363635,0.0,0.37777777777777777,0.391304347826087,0.37777777777777777,0.36363636363636365,0.0,0.38636363636363635,0.0,0.38636363636363635,0.0,0.35555555555555557,0.37777777777777777,0.0,0.37209302325581395,0.37777777777777777,0.0,0.38636363636363635,0.391304347826087,0.37777777777777777,0.38636363636363635,0.0,0.35555555555555557,0.4090909090909091,0.0,0.36363636363636365,0.38636363636363635,0.36363636363636365,0.0,0.36363636363636365,0.0,0.36363636363636365,0.38636363636363635,0.4186046511627907,0.35555555555555557,0.3953488372093023,0.37777777777777777,0.0,0.4,0.38636363636363635,0.35555555555555557,0.0,0.3953488372093023,0.3695652173913043,0.0,0.37777777777777777,0.38636363636363635,0.38636363636363635
tomcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
